	Calb2_tdTpositive_cell_54	Chrna2_tdTpositive_cell_62	Cux2_tdTpositive_cell_9	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_55	Gad2_tdTpositive_cell_70	Htr3a_tdTpositive_cell_72	Htr3a_tdTpositive_cell_107	Htr3a_tdTpositive_cell_114	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_55	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_70	Pvalb_tdTpositive_cell_72	Pvalb_tdTpositive_cell_78	Pvalb_tdTpositive_cell_80	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_27	PvalbD.Slc32a1_tdTpositive_cell_37	PvalbD.Slc32a1_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_78	PvalbF.Gad2_tdTpositive_cell_86	Rbp4_tdTpositive_cell_91	Scnn1a.Tg2_tdTpositive_cell_21	Scnn1a.Tg2_tdTnegative_cell_9	Scnn1a.Tg3_tdTpositive_cell_68	Scnn1a.Tg3_tdTnegative_cell_11	Vip_tdTpositive_cell_24
1110018G07Rik	0.0	65.63	10.76	0.17	0.0	62.94	0.09	50.43	29.52	79.49	31.0	15.22	78.65	47.76	60.25	38.37	89.33	53.75	23.17	0.0	0.0	75.32	32.85	72.98	73.05	86.44	0.0	0.14	0.0	0.0	181.79
6230409E13Rik	0.0	3.0	0.04	0.0	0.0	2.0	0.0	1.68	3.72	7.77	19.0	0.27	2.81	22.49	9.17	6.6	6.83	3.36	11.6	0.0	4.13	1.12	2.65	21.65	42.16	17.04	0.0	0.0	0.0	0.0	97.8
Ap1g1	0.0	29.68	0.0	4.58	0.0	5.32	0.5	3.11	33.79	7.23	0.87	0.05	4.07	9.95	1.29	0.0	3.98	44.15	2.41	0.0	6.89	14.85	30.79	0.21	3.49	57.97	0.0	0.0	0.0	0.0	117.36
BC003331	54.91	58.46	63.85	127.57	0.0	70.79	224.28	0.82	16.19	54.49	27.83	47.12	33.3	41.05	42.51	9.35	0.0	93.71	52.9	0.0	30.06	50.53	48.83	122.16	45.85	12.72	0.97	0.0	0.0	0.0	85.83
Btrc	0.12	100.73	31.28	2.63	0.0	9.14	42.96	71.52	90.86	87.03	14.58	19.54	3.52	69.57	58.29	45.63	74.63	72.59	23.05	0.0	62.33	47.27	21.21	9.24	3.58	97.8	2.24	0.0	0.0	0.0	100.2
C330007P06Rik	0.0	37.53	241.99	0.06	0.0	47.46	45.69	0.0	48.86	49.29	9.1	44.14	70.13	121.61	36.22	41.3	12.67	0.0	0.91	73.16	135.78	0.0	152.68	48.74	73.89	60.56	0.0	0.0	0.0	0.0	423.75
Camsap2	0.0	41.86	0.0	0.12	0.0	36.4	0.0	39.53	22.53	26.6	21.45	19.32	0.25	7.57	4.15	8.8	36.36	13.86	10.54	3.1	34.01	0.18	14.81	18.64	0.99	32.33	0.08	0.0	0.0	0.13	69.8
Ctnnd2	97.08	123.55	79.98	72.49	18.57	157.25	128.03	131.03	68.13	106.75	94.29	28.27	95.53	137.13	165.06	53.14	123.91	100.87	74.97	91.45	95.89	98.2	87.05	96.88	52.22	130.31	80.33	297.14	10.39	0.0	24.86
Dffa	0.0	66.44	0.39	0.18	0.0	63.13	0.0	29.95	87.47	62.33	34.41	0.25	60.13	48.02	90.47	55.22	98.44	53.75	116.58	0.0	0.24	0.12	86.54	4.81	149.79	86.31	0.0	0.0	0.0	0.0	15.38
Dgat1	0.0	0.0	26.27	2.5	0.0	0.0	4.0	11.95	0.0	40.05	44.39	0.0	0.0	0.46	0.47	56.58	21.65	0.17	64.57	40.84	3.68	1.65	2.53	1.18	9.39	77.23	0.0	0.0	0.0	0.0	6.99
Exosc7	164.98	298.84	157.04	0.75	0.0	66.1	434.76	182.86	141.44	74.05	73.04	15.52	232.23	154.89	234.66	154.62	251.16	319.65	323.25	25.33	159.98	187.63	162.75	240.57	321.31	160.81	0.0	0.0	18.79	0.0	294.66
