	Cux2_tdTnegative_cell_6	Gad2_tdTpositive_cell_30	Rbp4_tdTnegative_cell_14	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110038D17Rik	0.0	0.0	0.0	11.76	10.72	11.23
1700109H08Rik	0.0	0.0	0.0	1.91	2.56	2.62
2010300C02Rik	0.0	0.0	0.0	161.02	175.9	165.27
4831440E17Rik	0.0	0.11	0.07	2.73	2.53	3.78
4930505A04Rik	0.0	0.0	0.0	1.75	0.62	0.79
4930507D05Rik	0.0	0.25	0.0	1.34	1.03	1.28
Abca7	0.0	0.0	0.0	10.95	11.18	12.84
Acr	0.0	0.0	0.0	1.73	2.33	2.21
Actr5	0.0	0.0	0.0	7.61	7.48	7.0
Akt1	0.0	0.0	0.0	127.05	134.23	125.75
Ammecr1	0.0	0.0	0.0	2.4	2.07	1.86
Asb14	0.0	0.0	0.0	0.47	0.45	0.3
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
BC022687	0.0	0.0	0.0	14.03	14.31	15.19
BC049635	0.0	0.0	0.0	11.12	7.9	9.85
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cadm3	0.0	0.0	0.0	266.15	258.6	271.92
Ccdc149	0.0	0.0	0.0	39.05	41.65	37.22
Ccdc64	0.0	0.0	0.0	39.07	40.24	36.84
Ccdc94	0.0	0.0	0.0	9.31	10.05	10.17
Cenph	0.0	0.0	0.0	0.81	0.84	0.75
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Chrnb3	0.0	0.0	0.0	1.58	1.35	1.32
Cpne5	0.0	0.0	0.0	52.16	53.1	55.01
Cstad	0.0	0.0	0.0	3.74	3.53	3.48
Ctgf	0.0	0.0	0.0	34.53	38.98	27.32
Cxcl9	0.0	0.0	0.0	0.07	0.05	0.03
D330028D13Rik	0.0	0.0	0.0	0.85	1.34	1.32
D630042P16Rik	0.0	0.0	0.0	0.08	0.14	0.16
Dda1	0.0	0.0	0.0	61.26	67.17	58.93
Dennd2c	0.0	0.0	0.0	0.32	0.43	0.41
