	Gad2_tdTpositive_cell_34	Htr3a_tdTpositive_cell_35	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.04	0.0	0.04
1700001K23Rik	0.0	0.0	0.22	0.2	0.22
1700003L19Rik	0.0	0.0	0.14	0.0	0.14
1700009J07Rik	0.0	0.0	0.11	0.0	0.11
1700023A16Rik	0.0	0.0	0.16	0.07	0.16
1700034F02Rik	0.0	0.0	0.14	0.13	0.14
1700061J05Rik	0.0	0.0	0.11	0.0	0.11
2310043L19Rik	0.0	0.0	0.15	0.14	0.15
4930403N07Rik	0.0	0.0	0.04	0.04	0.04
4930528F23Rik	0.0	0.0	0.06	0.0	0.06
4930544D05Rik	0.0	0.0	0.16	0.0	0.16
5830411N06Rik	0.0	0.0	0.07	0.03	0.07
9230102K24Rik	0.0	0.0	0.15	0.14	0.16
9230104L09Rik	0.0	0.0	0.16	0.0	0.16
A930004D18Rik	0.0	0.0	3.04	3.56	3.04
Abca13	0.0	0.0	0.03	0.02	0.03
Abhd16b	0.0	0.0	0.06	0.05	0.06
Acat3	0.0	0.0	7.08	8.2	4.66
Acsf2	0.0	0.0	11.92	12.41	12.76
Adamts12	0.0	0.0	0.19	0.22	0.19
Akr1c12	0.0	0.0	0.08	0.0	0.08
Ank2	7.96	14.59	250.02	222.38	264.29
Apob	0.0	0.0	0.01	0.0	0.01
Atp8b3	0.0	0.0	0.04	0.04	0.09
BC051537	0.0	0.0	0.24	0.11	0.24
Blk	0.0	0.0	0.04	0.04	0.04
Bnip1	3.99	0.0	30.09	31.23	32.12
Bsnd	0.0	0.0	0.04	0.03	0.04
C8b	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.1	0.09	0.1
Capn13	0.0	0.0	0.04	0.0	0.04
Car11	0.0	0.0	214.47	236.01	224.75
Ccdc159	0.0	0.0	15.65	17.8	15.3
Ccr3	0.0	0.0	0.03	0.0	0.03
Ceacam15	0.0	0.0	0.07	0.0	0.07
Ces1a	0.0	0.0	0.05	0.05	0.05
Clec12b	0.0	0.0	0.07	0.0	0.07
Cpa3	0.0	0.0	0.07	0.06	0.07
Csgalnact2	0.0	0.0	13.09	11.23	10.73
Cyp3a57	0.0	0.0	0.06	0.0	0.06
D6Mm5e	0.0	0.0	0.1	0.09	0.1
Dnajc5b	0.0	0.0	0.11	0.0	0.11
Dnmt3l	0.0	0.0	0.12	0.06	0.12
Dspp	0.0	0.0	0.11	0.1	0.11
Dyrk4	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.1	0.09	0.1
Ehbp1	0.0	0.91	29.47	28.16	27.18
Fam116a	0.06	1.0	25.77	24.91	25.12
Fam89a	0.0	0.0	2.44	2.15	2.44
Fmo4	0.0	0.0	0.06	0.0	0.06
Fndc3c1	0.0	0.0	0.02	0.0	0.02
Foxi1	0.0	0.0	0.04	0.04	0.09
Gabrr3	0.0	0.0	0.07	0.06	0.07
Galr3	0.0	0.0	0.25	0.32	0.25
Gm12633	0.0	0.0	0.06	0.0	0.06
Gm1647	0.0	0.0	0.14	0.0	0.14
Gm4598	0.0	0.0	0.19	0.18	0.19
Gm4745	0.0	0.0	0.08	0.0	0.08
Gpn2	0.0	0.0	12.18	12.17	11.66
Gpr65	0.0	0.0	0.15	0.05	0.15
Gzma	0.0	0.0	0.12	0.0	0.12
Haao	0.0	0.0	0.25	0.31	0.25
Hal	0.0	0.0	0.04	0.0	0.04
Hhla1	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.07	0.07	0.07
Il17c	0.0	0.0	0.16	0.15	0.16
Kcna2	0.06	59.69	82.83	70.58	84.29
Kctd19	0.0	0.0	0.03	0.0	0.03
Kel	0.0	0.0	0.04	0.0	0.04
Kera	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.05	0.05	0.05
Lect2	0.0	0.0	0.12	0.0	0.12
Lipm	0.0	0.0	0.11	0.1	0.11
Lmnb2	0.0	16.42	17.25	17.82	16.94
Ltbp2	0.0	0.0	0.3	0.2	0.3
Ltf	0.0	0.0	0.04	0.0	0.04
Mamstr	0.0	0.0	1.82	1.63	1.82
Mctp2	0.0	0.0	0.73	0.65	0.73
Mest	0.0	0.0	42.11	34.76	37.98
Muc4	0.0	0.0	0.02	0.0	0.02
Myog	0.0	0.0	0.07	0.0	0.07
Myom2	0.0	0.0	0.08	0.07	0.08
