	Ndnf_tdTpositive_cell_7	Ntsr1_tdTnegative_cell_44	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110001J03Rik	0.0	0.0	40.48	46.53	49.74
1110008P14Rik	0.0	0.0	219.79	237.06	257.04
1700031M16Rik	0.0	0.0	0.12	0.0	0.0
4833422C13Rik	0.0	0.21	5.41	5.08	7.02
4930403N07Rik	0.0	0.0	0.04	0.04	0.04
4930419G24Rik	0.0	0.0	0.19	0.18	0.2
4930563E22Rik	0.0	0.0	2.38	1.6	2.61
4931440J10Rik	0.0	0.0	0.11	0.0	0.24
5031439G07Rik	0.0	0.0	59.96	60.35	65.54
5730494N06Rik	1.88	0.0	39.61	38.28	36.33
A730098P11Rik	0.0	0.11	0.34	0.42	0.31
A930041C12Rik	0.0	0.0	0.19	0.18	0.2
AA960436	0.0	0.0	10.31	9.45	8.2
AI118078	0.0	0.0	7.88	8.9	7.25
Aqp9	0.0	0.0	0.82	1.06	0.93
Arhgdib	0.0	0.0	18.31	14.23	13.52
Art3	0.0	0.0	4.78	5.41	3.88
Asb4	0.0	0.0	0.51	0.4	0.71
Atp8b3	0.0	0.0	0.04	0.04	0.09
B230312A22Rik	0.0	0.0	29.4	30.16	29.99
Bcan	0.0	0.14	178.7	198.72	211.04
Blk	0.0	0.0	0.04	0.04	0.04
C86187	0.0	0.0	0.25	0.13	0.4
C8b	0.0	0.0	0.04	0.04	0.09
Cacng4	0.0	0.0	32.89	29.9	34.59
Casp7	0.0	0.0	3.66	3.29	3.43
Ccdc164	0.0	0.0	18.17	16.04	16.72
Ccdc17	0.0	0.0	1.11	2.02	2.49
Ces1a	0.0	0.0	0.05	0.05	0.05
Cldn22	0.0	0.0	2.34	2.78	2.94
Clk2	0.0	0.0	28.78	30.63	29.43
Coro7	0.0	0.0	54.21	55.82	55.2
Crkl	0.0	0.0	31.14	28.3	26.35
Ctbp2	0.0	0.0	15.14	14.93	15.54
Dennd2a	0.0	0.0	13.72	13.99	14.37
Dna2	0.0	0.0	1.38	1.66	1.25
