	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_56	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_30	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_38	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
1110007C09Rik	0.0	0.0	0.0	19.89	0.0	0.0	0.0	0.0	0.0	1.18	2.35	0.45	2.28
1700054N08Rik	0.0	0.04	0.08	25.03	0.0	0.14	59.51	101.86	2.13	2.65	20.66	24.09	12.74
1700121L16Rik	0.0	0.0	0.0	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1810062O18Rik	0.0	0.0	0.98	44.83	0.0	0.0	0.0	0.0	0.0	0.0	1.27	1.94	4.41
2310005G13Rik	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0
2310022B05Rik	0.0	0.03	0.0	53.29	0.16	0.0	0.0	0.0	0.0	0.0	2.16	1.04	1.99
2310042D19Rik	0.0	0.29	0.0	0.35	0.0	0.1	0.0	0.0	0.0	0.0	0.07	0.0	0.27
2310050B05Rik	0.0	0.0	0.0	7.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2310068J16Rik	0.0	0.0	0.0	2.91	0.0	0.0	0.0	0.8	0.0	0.11	0.0	0.0	0.65
2500004C02Rik	7.36	9.98	4.51	141.54	1.91	59.87	14.81	18.36	2.09	203.87	61.42	60.24	46.84
4921531C22Rik	0.0	0.11	84.15	166.6	0.0	0.7	0.0	0.0	0.0	0.06	8.54	18.78	9.2
4930429F24Rik	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.69	0.0
4930546K05Rik	0.65	0.08	0.14	2.36	0.16	0.06	0.33	0.0	0.39	0.11	0.11	0.29	0.0
4931406B18Rik	0.53	0.34	1.43	2.92	0.93	1.6	1.8	0.0	0.83	0.81	0.27	0.6	0.37
4932438A13Rik	0.0	12.72	27.26	38.4	9.79	0.86	35.96	0.04	9.97	20.88	9.57	7.3	6.74
4933409G03Rik	0.0	0.0	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5330437I02Rik	0.0	0.12	0.0	105.57	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.1	0.0
A830007P12Rik	32.5	27.82	29.61	108.69	54.02	99.07	94.3	70.67	51.89	25.97	88.52	83.55	73.36
AI314180	0.13	62.81	2.47	33.06	0.0	3.22	0.0	0.11	0.0	116.15	24.78	11.42	16.17
Acvr2b	0.0	0.0	0.0	30.51	0.0	0.0	0.0	0.0	0.0	0.0	0.36	0.21	2.07
Agbl3	0.0	0.0	0.0	27.14	0.0	35.48	0.0	0.0	0.0	0.0	3.03	3.4	2.97
Alg14	0.0	175.68	0.0	307.01	0.0	25.32	0.0	0.0	313.25	0.0	47.68	21.74	55.84
Alx4	0.13	0.38	0.41	1.31	0.33	0.88	0.74	0.0	0.0	0.34	0.27	0.29	0.23
Amy2a2	0.47	0.13	0.14	0.71	0.43	0.04	0.04	0.09	0.0	0.23	0.24	0.11	0.21
Amy2a3	0.47	0.13	0.14	0.71	0.43	0.04	0.04	0.09	0.0	0.23	0.24	0.11	0.21
Amy2a4	0.47	0.13	0.14	0.71	0.43	0.04	0.04	0.09	0.0	0.23	0.24	0.11	0.21
Ankle2	27.59	23.29	6.48	75.74	4.72	1.01	2.26	13.07	20.87	25.16	12.99	12.96	14.44
Aplf	14.88	3.62	18.51	33.19	2.01	10.94	19.77	10.2	0.6	1.27	5.4	9.34	8.81
Arfrp1	0.0	0.0	134.07	152.03	0.66	0.0	13.37	0.0	80.59	0.0	48.16	29.28	35.6
Arl6ip1	672.62	479.43	403.59	1055.73	387.39	112.8	966.57	460.28	0.0	708.6	872.05	727.49	697.92
Ascc2	0.0	0.0	0.09	33.49	6.1	0.0	1.37	0.0	0.0	0.0	8.83	4.5	5.47
Atp8b4	0.0	0.02	0.0	0.08	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0
Bcl11b	0.0	0.0	0.05	0.19	0.0	0.05	0.15	0.0	0.0	0.0	14.6	12.33	9.07
C2cd3	28.25	0.1	0.0	69.7	8.57	0.64	0.0	0.0	0.0	0.0	1.09	2.39	3.29
C87414	0.0	0.0	0.0	0.17	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0
Cacng2	0.0	15.7	26.77	44.61	0.0	23.33	0.0	5.46	0.0	0.0	3.41	4.05	4.93
Ccdc155	0.0	0.0	0.0	73.33	0.0	0.0	0.0	0.0	0.0	1.25	3.66	5.63	3.95
Ccdc62	0.0	0.0	0.0	4.33	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.26	0.7
Cd38	1.9	3.21	0.94	5.26	3.87	2.27	2.29	0.0	3.58	0.53	5.52	1.24	0.98
Cd44	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	1.88	0.31	0.39
Cd96	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Celf1	59.8	56.96	97.67	77.11	37.08	17.19	35.53	1.11	43.37	13.58	22.94	20.4	15.27
Cenpf	1.31	0.22	0.89	2.05	0.11	0.79	1.07	2.02	1.11	0.45	0.94	1.56	1.62
Chchd8	0.0	0.0	0.0	280.86	0.0	0.0	0.0	0.0	0.0	0.0	15.82	14.77	15.76
Cir1	57.55	0.16	0.11	84.32	0.0	0.0	49.87	10.05	0.0	48.4	30.34	34.09	23.77
Cog4	10.29	0.66	0.0	252.94	0.0	0.0	0.0	1.99	0.0	0.16	61.85	60.21	66.56
Csrnp2	0.18	82.6	0.08	107.97	0.13	28.33	38.25	44.06	26.91	47.44	19.97	14.08	13.28
Cts8-ps	0.0	0.0	0.32	1.08	0.0	0.1	0.18	0.0	0.0	0.05	0.0	0.0	0.08
D17H6S56E-3	0.0	0.96	0.16	3.5	0.26	0.23	0.19	0.0	0.37	0.27	0.46	0.34	0.42
Dlg3	0.0	0.13	0.09	83.8	0.0	83.57	72.16	59.46	0.0	31.07	21.46	25.53	23.46
Dnajc7	219.23	73.69	110.84	446.71	280.77	88.58	0.17	157.58	19.75	123.79	193.7	190.08	177.48
Echdc1	0.0	0.16	0.0	174.51	0.0	0.23	0.0	0.0	0.0	0.0	30.96	23.11	22.75
Egln2	0.37	0.0	0.43	9.74	0.0	1.08	1.32	123.59	0.0	0.05	7.13	7.39	3.65
Elovl6	0.0	67.05	33.35	119.65	0.0	0.06	0.17	0.0	0.0	17.05	8.23	13.55	11.47
Epha7	6.77	0.12	153.22	332.05	0.0	198.97	59.86	0.0	39.25	179.91	85.23	72.15	71.55
Etnk1	0.0	8.11	113.98	129.19	118.0	77.1	0.24	58.12	2.04	3.77	38.32	31.28	30.87
Fam117a	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	0.0
Fam23a	0.24	0.03	0.0	0.72	0.44	0.24	0.4	0.0	0.27	0.13	0.0	0.19	0.13
Gcet2	0.0	0.03	0.0	0.15	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.1	0.0
Gimap1	21.72	2.61	16.25	43.24	18.22	13.65	7.25	0.46	0.0	1.8	6.18	7.34	6.93
Gm10785	23.87	118.41	4.49	165.37	19.62	33.51	12.84	5.34	17.74	32.05	8.79	10.31	10.87
Gm12830	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0
Gm16894	0.0	0.0	0.0	0.58	0.0	0.0	0.0	0.0	0.0	0.0	2.92	5.05	6.8
Gm2109	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Gm3716	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0
Gm4922	0.17	0.09	0.0	1.41	7.0	0.0	0.0	0.0	8.43	0.05	0.76	0.44	0.3
Gm5088	0.47	0.0	0.14	1.3	0.0	0.0	0.0	0.34	0.0	0.35	0.0	1.14	0.22
Gm5431	0.77	4.22	18.09	36.01	0.74	0.87	1.06	0.0	0.0	3.61	2.41	1.89	2.45
Gm6644	0.0	0.54	270.93	769.3	253.11	225.99	116.39	243.61	0.0	299.71	70.13	58.79	73.78
Gramd1a	0.0	0.04	0.0	153.97	0.0	9.49	0.0	0.0	1.77	0.0	3.67	3.72	4.41
Haus2	1.77	178.99	163.78	175.59	0.34	1.84	3.32	40.77	0.0	21.5	25.13	38.44	20.61
Hist1h2bq	0.19	0.03	0.0	0.34	0.26	0.22	0.09	0.0	0.0	0.03	0.07	0.11	0.53
Hist1h2br	0.19	0.03	0.0	0.34	0.26	0.22	0.09	0.0	0.0	0.03	0.07	0.11	0.53
Hivep1	0.0	0.0	0.0	35.85	0.0	1.27	0.0	0.04	0.0	0.14	6.08	3.91	4.77
Hs2st1	0.0	53.82	83.43	125.72	6.79	0.54	0.49	2.77	0.0	0.07	4.67	8.93	8.87
Hsph1	288.43	351.03	265.38	530.42	87.75	115.99	155.96	237.52	294.03	0.16	213.44	193.74	203.15
Htt	0.97	5.52	0.74	31.89	1.51	27.84	0.0	0.55	4.59	0.03	1.78	3.46	3.49
Il1f9	1.0	0.99	0.43	12.0	0.0	21.55	0.01	0.06	0.59	3.46	2.48	3.84	3.52
Impg2	0.39	0.98	0.74	1.08	0.38	0.77	0.98	0.18	0.72	0.28	1.02	0.2	0.25
Ing5	0.0	0.02	0.0	101.65	0.24	0.0	0.0	0.0	36.42	37.31	16.49	12.56	9.76
Itfg1	0.0	51.84	302.8	121.66	0.0	89.07	149.93	0.0	226.49	0.07	48.62	57.62	52.16
Ivd	14.56	0.1	0.0	204.7	17.34	0.0	0.0	0.0	0.0	27.4	14.1	27.5	22.67
Kcnf1	0.0	0.06	0.0	121.1	0.79	0.0	0.0	40.03	0.0	0.32	22.15	19.15	21.77
Kcnk2	0.0	0.03	0.0	193.07	0.0	104.25	0.0	43.65	80.76	1.63	55.28	40.87	42.42
Klhdc8a	0.0	0.0	0.0	0.07	0.0	0.0	0.46	0.0	0.0	0.06	0.0	0.08	0.32
Llph	0.0	1.0	72.72	463.46	109.89	46.59	127.77	51.41	242.06	16.69	94.86	123.68	111.43
Lrrc14b	0.51	0.12	0.16	46.28	0.0	0.62	2.74	0.16	1.4	0.46	2.72	1.46	1.74
Map3k15	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0
Mlycd	0.0	0.0	0.0	148.2	0.0	0.0	11.75	0.0	0.0	0.59	4.43	6.27	2.16
Mrps33	221.96	308.08	516.19	638.57	788.18	341.44	591.25	376.7	469.09	747.58	537.9	545.57	478.87
Mx1	1.98	0.65	0.0	5.2	0.2	0.13	0.59	0.0	0.35	1.65	1.0	0.38	1.08
Naa40	0.0	0.0	0.0	63.35	0.0	6.88	0.0	0.0	0.0	4.0	3.27	3.14	4.97
Ngdn	0.0	135.97	0.0	301.44	0.0	2.1	142.37	0.0	207.0	0.0	98.76	96.43	102.67
Nmb	0.0	0.0	0.0	2.16	0.0	0.0	0.0	0.0	0.0	0.0	3.64	0.0	0.53
Nme1	837.67	325.89	813.01	2382.5	994.07	581.74	805.0	925.45	247.32	531.55	1054.57	1152.64	1104.13
Npas4	0.0	0.0	0.0	8.51	0.0	0.0	0.0	0.0	0.0	0.0	0.54	0.84	0.11
Nrxn3	127.74	63.63	37.82	207.9	248.04	55.92	64.42	1.48	48.13	178.47	134.4	91.91	91.73
Olfr412	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Omd	106.42	61.98	33.92	157.19	121.26	107.76	153.39	102.68	80.95	78.12	132.23	107.55	109.95
Palb2	0.0	0.0	0.0	1.01	0.0	0.0	0.0	0.0	0.0	0.45	0.32	0.18	0.92
Parp8	0.0	0.03	0.0	27.61	0.0	2.31	0.13	0.0	4.23	0.0	2.31	5.34	2.8
Pdha1	1.39	375.48	341.16	604.84	288.45	389.47	571.65	7.42	491.51	480.02	459.68	350.69	389.93
Pex1	25.7	0.02	0.0	118.2	0.0	26.83	1.27	0.0	0.0	68.35	9.25	7.88	7.04
Phf20l1	1.36	0.02	3.05	52.69	9.08	1.09	0.0	1.09	7.86	2.03	17.26	13.81	12.95
Picalm	1.72	16.09	81.38	64.31	0.55	69.8	19.42	9.04	0.47	29.63	44.49	32.97	38.26
Pigo	0.0	0.14	0.05	30.45	0.0	0.09	0.0	0.0	0.0	0.03	0.49	1.94	1.87
Plxna4	0.0	22.51	1.48	46.42	20.31	0.31	8.59	0.0	0.07	2.65	3.66	2.31	2.74
Polr2i	0.0	75.8	67.34	257.51	93.29	6.41	96.52	5.21	237.43	106.19	56.44	70.31	76.87
Ppp1r3a	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Prpf3	0.0	0.04	0.0	181.14	0.0	48.46	0.0	0.0	0.0	94.49	16.71	23.43	27.58
Prpf4b	59.75	12.5	72.17	169.39	28.08	0.04	0.0	4.85	4.42	28.31	39.79	32.48	31.0
Ptar1	0.0	0.0	1.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	1.86
Ptgs2	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	4.07	6.92	9.15
Ptp4a2	49.19	87.87	102.62	187.92	127.52	119.44	133.92	169.1	113.03	0.96	140.9	127.79	127.41
Ptprn2	71.46	66.46	69.77	72.66	0.0	8.64	28.38	51.72	74.55	43.72	17.57	24.08	21.01
Rab9b	0.0	0.25	0.17	142.9	0.07	0.26	0.22	0.0	0.0	0.03	17.33	13.64	11.04
Rasgef1c	0.0	0.0	0.2	121.27	0.0	79.85	70.47	0.0	0.0	0.1	1.87	4.01	1.24
