	Calb2_tdTpositive_cell_51	Ctgf_tdTpositive_cell_2	Cux2_tdTpositive_cell_7	Cux2_tdTpositive_cell_50	Cux2_tdTpositive_cell_59	Cux2_tdTpositive_cell_90	Cux2_tdTpositive_cell_96	Cux2_tdTpositive_cell_102	Cux2_tdTpositive_cell_108	Cux2_tdTpositive_cell_111	Cux2_tdTpositive_cell_115	Cux2_tdTpositive_cell_118	Cux2_tdTpositive_cell_119	Cux2_tdTpositive_cell_120	Cux2_tdTpositive_cell_121	Cux2_tdTpositive_cell_122	Cux2_tdTnegative_cell_8	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_50	Ndnf_tdTpositive_cell_9	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_11	Nos1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_13	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTnegative_cell_1	Ntsr1_tdTnegative_cell_9	Ntsr1_tdTnegative_cell_40	Rbp4_tdTpositive_cell_109	Rbp4_tdTpositive_cell_140	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_22	Scnn1a.Tg2_tdTnegative_cell_8	Scnn1a.Tg2_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_24	Slc17a6_tdTpositive_cell_2	Slc17a6_tdTpositive_cell_10	Slc17a6_tdTpositive_cell_12	Slc17a6_tdTpositive_cell_19	Slc17a6_tdTpositive_cell_25	Slc17a6_tdTpositive_cell_27	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_29	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_37	Slc17a6_tdTpositive_cell_38	Slc17a6_tdTpositive_cell_41	Slc17a6_tdTpositive_cell_42	Slc17a6_tdTpositive_cell_44	Slc17a6_tdTpositive_cell_46
2610002M06Rik	3.51	0.0	1.54	0.0	21.94	25.01	0.26	42.2	60.19	41.96	1.25	97.2	22.51	35.84	19.47	27.29	29.9	0.0	0.03	0.15	0.0	0.05	0.0	23.87	79.74	0.07	0.07	1.31	0.04	23.48	32.54	0.0	0.51	1.21	42.66	0.0	0.0	0.0	16.84	74.56	35.79	19.39	41.49	0.74	25.54	22.72	16.81	49.72	26.75	0.66	0.25	0.0
5730403I07Rik	0.25	0.0	0.21	0.24	0.0	0.91	0.0	0.79	1.41	0.58	0.8	1.13	0.7	0.97	0.02	1.09	0.27	0.0	0.0	0.0	0.21	0.0	0.0	0.2	0.52	0.19	0.0	0.0	0.0	0.19	0.47	0.0	0.0	0.29	2.19	0.0	0.0	0.0	0.62	0.39	0.0	0.0	0.0	0.8	0.31	0.0	0.0	0.0	1.74	0.0	0.08	0.02
Adcy1	11.34	0.0	1.9	41.53	0.36	26.67	14.42	37.83	90.16	48.72	16.67	70.0	45.13	22.96	22.43	44.86	0.0	0.0	13.85	3.09	0.0	0.0	0.0	53.72	57.32	6.13	8.45	16.74	48.51	38.66	19.07	0.06	0.0	41.69	13.95	0.0	0.0	7.81	2.2	16.24	31.78	47.93	27.09	7.97	13.61	43.76	42.28	21.62	11.07	36.12	44.56	5.95
Ahdc1	0.59	0.0	0.94	0.08	0.85	0.46	0.45	2.22	3.55	0.97	6.73	9.91	0.8	6.65	7.64	0.45	11.96	0.0	0.55	3.45	0.0	0.45	0.11	0.37	1.28	1.23	0.74	0.32	0.59	0.4	2.62	0.05	0.0	0.44	14.3	0.0	0.0	8.65	0.37	0.35	0.52	0.52	4.73	0.75	0.18	5.12	0.62	0.53	0.79	0.39	4.39	0.44
Astn1	25.02	0.0	48.33	0.07	217.5	72.8	19.46	75.45	66.91	20.48	94.92	79.3	15.75	147.41	34.25	0.46	32.28	0.06	5.05	2.22	0.0	0.0	0.0	50.8	70.99	0.0	129.37	53.24	116.37	117.35	52.54	0.1	0.0	68.09	201.68	0.0	0.0	143.37	58.48	2.24	136.72	172.52	39.93	3.59	2.65	92.13	36.52	4.72	26.32	56.4	57.05	2.74
Ccdc21	52.16	0.0	0.0	81.57	0.11	57.06	0.0	0.0	0.0	0.0	0.0	0.05	55.75	0.07	0.04	2.85	0.0	0.0	40.54	46.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.62	0.1	61.14	0.0	0.0	0.08	53.35	0.0	0.0	0.0	0.0	49.81	40.43	0.0	0.0	31.78	0.0	0.0	34.48	0.0	60.49	0.0	0.0	0.0
Celf5	2.7	0.0	30.19	26.6	16.79	41.2	0.54	34.48	42.06	58.81	20.5	28.37	66.56	40.43	32.41	31.31	9.76	0.18	34.68	32.61	0.0	0.0	0.0	34.63	37.57	2.04	34.72	14.66	29.83	7.43	11.5	0.15	0.0	24.12	26.51	0.0	0.0	28.19	33.93	58.76	13.51	59.85	17.06	33.86	16.53	37.38	61.54	31.12	52.91	17.04	17.6	20.21
D430041D05Rik	14.78	0.04	7.99	0.0	69.65	54.79	97.59	30.51	53.79	32.28	25.66	83.52	29.59	45.96	28.83	15.46	4.23	0.0	64.68	25.36	0.0	0.0	0.0	25.53	18.3	23.53	40.93	0.0	93.44	2.35	15.72	0.0	0.0	29.38	19.98	0.0	0.0	1.37	59.78	79.41	72.81	7.68	0.82	18.04	50.51	1.85	35.59	2.71	34.51	25.9	16.13	18.42
Dcaf6	55.04	0.15	9.1	6.97	9.53	55.56	0.91	28.24	14.16	24.66	12.62	15.68	13.88	41.6	15.09	32.45	33.55	0.0	5.23	6.98	54.52	7.61	0.11	35.6	18.81	10.17	16.63	31.12	6.85	123.19	31.06	0.0	0.0	62.19	12.66	0.0	0.0	21.47	21.37	21.82	5.04	11.37	59.23	75.98	15.27	77.39	24.23	56.77	16.59	17.55	12.49	25.02
Dscaml1	3.06	0.0	0.0	0.0	0.26	6.02	0.0	0.3	13.3	1.28	5.23	22.32	0.03	22.73	5.17	15.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03	6.57	0.0	0.98	0.1	3.7	8.51	4.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.53	0.0	5.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.85	0.0	0.05	0.0
