	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Cux2_tdTnegative_cell_5	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_12	Scnn1a.Tg3_tdTnegative_cell_16	Scnn1a.Tg3_tdTnegative_cell_18	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96
2610017I09Rik	0.0	0.0	0.0	0.0	0.0	28.66	17.58	0.0	160.06	101.55	0.0	0.0	100.84	54.46	0.0	229.19	0.0	92.85	45.68	72.67	169.41	39.62	682.28	0.0	0.0	0.0	0.0	177.02	40.38	29.28	45.73	235.62
Arhgap44	232.43	0.0	0.0	0.0	0.0	179.91	71.06	73.14	137.36	185.78	174.21	211.27	144.82	198.56	191.69	161.8	210.74	106.4	197.79	222.72	194.65	209.89	389.87	0.0	0.0	0.0	0.0	186.89	162.09	227.35	165.11	241.63
Atp9a	61.19	0.0	0.0	0.0	0.0	1.08	40.22	43.25	34.07	24.12	8.91	62.28	74.29	31.02	31.48	33.57	45.56	91.22	5.64	5.68	46.76	0.07	52.88	0.0	0.0	0.0	12.98	41.77	46.38	66.26	19.87	100.26
Bpnt1	34.45	1.43	0.18	1.4	0.0	38.51	167.89	39.99	24.73	41.18	89.02	83.7	52.37	13.67	24.42	91.6	14.81	78.76	81.54	25.35	36.57	21.3	190.34	3.0	4.41	2.4	1.6	19.15	31.19	57.67	70.53	238.45
Camk1g	188.24	0.0	0.0	0.0	0.0	274.0	32.81	1.09	73.02	83.45	180.4	42.67	262.38	121.99	246.61	25.58	24.78	120.95	147.75	349.4	114.25	158.23	840.16	0.0	0.0	0.0	0.0	45.19	46.1	179.13	102.91	427.16
Camk2n1	11.12	0.0	0.0	2.53	0.0	21.09	20.06	38.4	21.25	16.31	63.73	16.86	2.53	17.15	30.86	0.0	46.87	47.83	17.06	27.84	38.12	53.25	151.06	0.0	0.19	0.0	0.28	28.87	23.14	69.53	23.35	137.58
Ccl27a	247.16	0.0	0.0	0.0	0.0	98.8	261.51	194.03	265.29	223.95	249.15	151.57	50.41	221.27	247.1	191.12	216.47	256.68	300.58	57.32	358.07	500.78	354.14	0.0	0.0	0.0	0.0	126.32	234.03	209.35	171.39	218.04
Chgb	69.12	0.0	0.0	0.0	0.0	199.67	136.1	79.44	159.35	219.51	203.86	187.7	190.95	127.46	80.99	13.34	118.79	131.64	123.04	110.76	298.34	47.94	300.2	0.34	0.0	0.0	0.0	202.1	96.6	222.98	109.03	248.36
Chl1	60.54	0.0	0.0	0.0	0.0	77.2	98.29	36.01	93.55	42.29	113.88	122.68	25.39	81.75	26.44	57.56	31.55	81.95	94.66	8.82	143.73	53.19	255.41	0.0	0.07	0.0	0.07	87.99	38.1	93.88	63.5	181.65
Dnm1l	225.2	0.0	0.0	0.0	0.0	101.91	163.99	129.91	158.47	176.07	132.04	125.8	159.21	156.69	17.19	52.96	125.79	109.96	113.7	220.89	142.42	174.95	237.15	0.11	0.19	0.0	0.0	75.46	126.74	90.06	148.92	197.84
Dpf1	10.26	0.0	0.0	0.0	0.0	3.01	0.59	9.37	2.02	5.1	19.28	8.66	7.34	6.12	6.68	24.79	10.45	14.35	7.35	4.64	4.95	29.03	125.38	0.0	0.0	0.0	1.8	6.19	4.94	5.16	0.8	8.88
Ehd3	17.69	0.0	0.0	0.0	0.0	21.02	29.41	0.03	49.76	44.43	147.05	22.81	43.48	3.68	2.15	98.52	27.53	5.79	14.76	0.16	10.04	0.0	75.68	0.0	0.0	0.0	9.65	67.61	0.06	25.25	47.89	141.65
Elfn1	30.88	0.0	0.0	0.0	0.0	0.69	0.03	0.0	2.0	0.2	13.62	0.78	0.0	0.0	0.06	0.0	0.07	0.0	0.14	0.06	3.85	0.0	36.13	0.0	0.0	0.0	0.0	17.05	0.43	0.57	1.1	9.32
Gad2	411.41	0.35	0.0	0.06	0.0	245.09	314.59	34.12	333.44	396.67	483.26	360.75	198.65	218.1	348.54	132.94	99.8	305.57	250.6	418.12	372.29	300.55	617.9	1.26	0.0	0.0	0.74	388.23	245.39	194.46	290.56	458.95
Gm14430	2.27	0.0	0.0	0.07	0.0	6.19	15.98	0.27	4.55	0.17	0.0	2.84	0.47	6.27	0.0	0.11	0.0	5.6	4.55	0.54	1.09	12.18	15.13	0.0	0.0	0.41	0.09	2.39	0.82	4.29	0.0	18.35
Gm14434	2.27	0.0	0.0	0.07	0.0	6.19	15.98	0.27	4.55	0.17	0.0	2.84	0.47	6.27	0.0	0.11	0.0	5.6	4.55	0.54	1.09	12.18	15.13	0.0	0.0	0.41	0.09	2.39	0.82	4.29	0.0	18.35
Gm4724	2.27	0.0	0.0	0.07	0.0	6.19	15.98	0.27	4.55	0.17	0.0	2.84	0.47	6.27	0.0	0.11	0.0	5.6	4.55	0.54	1.09	12.18	15.13	0.0	0.0	0.41	0.09	2.39	0.82	4.29	0.0	18.35
Golga7b	338.65	0.0	0.0	0.0	0.0	162.03	196.02	161.66	97.61	160.64	200.64	156.78	11.72	38.26	220.66	208.54	143.78	286.14	185.11	187.55	169.94	55.25	350.43	2.52	0.0	0.0	0.0	172.76	303.85	235.31	74.04	507.42
Hspbp1	105.28	0.0	0.0	0.0	0.0	62.32	6.12	0.16	30.7	92.97	98.94	84.28	22.12	83.51	44.14	0.0	19.88	39.83	0.0	73.4	81.26	0.0	178.42	0.0	0.0	0.0	0.0	132.76	28.66	115.51	41.38	178.66
Ifit2	51.32	0.0	0.0	0.0	0.0	43.45	1.27	35.41	0.0	23.71	17.12	13.74	0.0	0.0	0.0	0.0	0.0	33.32	0.0	0.0	7.5	0.0	211.39	0.0	0.0	0.0	0.0	0.0	0.06	2.06	21.32	84.81
Lgals1	69.4	0.0	0.0	0.0	0.0	578.48	889.26	0.0	363.23	1074.38	588.83	489.79	47.58	805.56	53.84	187.7	408.79	393.93	868.1	511.46	134.55	665.31	1863.85	0.0	0.0	0.0	0.0	353.77	114.08	434.57	305.22	400.52
Lin7b	229.06	0.0	0.0	0.0	0.0	150.62	36.53	67.66	62.05	88.87	31.9	74.51	107.43	56.23	61.69	0.0	0.0	0.0	0.41	0.0	0.0	88.14	181.7	0.0	0.0	0.0	0.0	206.29	133.5	167.6	0.45	188.37
Mtch1	240.52	0.0	0.0	0.0	0.0	148.61	120.65	85.45	35.31	86.27	44.32	60.8	182.72	83.39	79.21	85.67	108.35	179.67	126.78	96.71	102.36	17.53	243.14	0.0	0.0	0.0	0.0	162.52	110.59	150.58	80.24	186.93
Mtfp1	65.55	0.25	0.0	0.67	0.0	98.51	55.95	116.66	108.3	32.65	43.83	113.27	68.75	92.56	140.12	0.0	46.23	47.32	82.73	59.85	59.23	94.42	520.48	0.66	0.0	0.0	0.0	85.09	81.51	80.35	162.71	516.15
Nceh1	109.73	0.0	0.0	0.0	0.0	244.16	94.85	52.36	149.1	70.17	56.05	53.5	47.24	100.57	54.53	29.66	2.07	61.2	73.71	113.03	114.95	73.74	214.14	0.0	0.0	0.0	0.12	13.06	2.58	87.53	86.67	163.77
Ncs1	120.81	0.0	0.0	0.0	0.0	248.89	209.27	39.11	172.76	168.82	301.23	343.88	93.77	31.76	77.16	87.79	165.52	178.43	152.81	190.35	246.34	103.9	322.21	0.11	0.0	0.0	0.0	275.68	132.22	264.3	148.91	274.99
Nppc	6.12	0.0	0.0	0.0	0.0	2.15	0.08	0.0	14.8	79.14	4.43	17.72	0.1	5.46	0.0	24.1	15.71	0.0	0.0	0.0	93.86	0.0	336.8	0.0	0.0	0.0	0.0	230.72	0.0	5.28	19.04	54.03
Npy	173305.25	0.0	0.0	0.0	0.0	132042.44	149629.49	134232.96	122165.94	122154.33	126501.28	117863.77	173863.58	166048.87	191162.16	154857.31	124150.07	134158.33	153405.37	147732.76	141010.39	151963.58	24726.66	0.0	0.0	0.0	0.0	145032.54	180453.32	137945.15	137580.94	65353.97
Nxph1	361.81	0.0	0.0	0.0	0.0	240.13	231.34	89.9	193.07	428.71	238.09	376.22	204.9	227.96	198.67	34.17	175.97	230.53	249.58	237.86	334.99	227.69	475.51	0.0	0.0	0.0	0.0	172.15	197.46	401.24	250.12	431.87
Pak3	2.14	0.0	0.0	0.0	0.0	2.4	28.53	2.13	9.91	49.59	22.41	25.21	57.93	18.23	15.5	0.03	42.18	1.5	14.37	18.46	33.7	80.89	83.07	0.06	0.0	0.0	0.0	25.37	77.11	10.64	54.3	126.98
Pja1	323.4	0.0	0.0	0.0	0.0	323.83	502.94	283.58	525.47	386.11	335.52	328.1	360.13	339.18	69.09	107.2	335.19	439.51	469.26	449.1	464.11	287.7	845.63	0.43	0.0	0.0	0.24	425.46	233.24	393.92	230.79	609.68
Pnmal2	42.44	0.0	0.0	0.0	0.0	33.17	34.05	8.16	4.39	20.19	28.21	21.81	43.5	34.21	16.19	8.02	2.49	21.46	31.0	24.27	28.69	33.07	49.74	0.0	0.0	0.0	0.0	21.4	13.8	12.06	32.79	106.85
Ppp2r2b	157.73	0.0	0.0	0.0	0.0	162.0	51.63	0.31	158.52	214.76	140.55	174.37	18.11	185.07	176.9	7.84	96.96	44.3	170.14	71.65	209.54	148.09	450.86	0.0	0.0	0.0	0.0	68.72	133.8	12.25	48.91	308.44
Ppp3r1	94.77	0.0	0.0	0.0	0.0	74.05	120.95	18.83	91.44	28.46	45.27	45.09	75.94	23.8	86.41	10.64	11.97	106.08	72.55	73.4	124.18	42.26	124.46	0.0	0.0	0.0	0.0	18.32	36.85	97.3	55.38	275.36
Psmd12	215.57	0.0	0.19	0.0	0.0	100.7	145.31	133.67	211.77	213.47	293.26	218.04	52.9	124.65	33.75	33.45	120.29	196.66	235.47	158.37	219.52	247.22	243.29	0.0	0.0	0.0	0.0	134.23	164.9	236.85	143.44	310.19
