	Calb2_tdTpositive_cell_4	Calb2_tdTpositive_cell_22	Calb2_tdTpositive_cell_25	Chat_tdTpositive_cell_2	Chat_tdTpositive_cell_5	Chrna2_tdTpositive_cell_61	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_37	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_74	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_60	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_16	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_19	Vip_tdTpositive_cell_23	Vip_tdTpositive_cell_70	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2610027L16Rik	0.05	0.2	0.15	0.25	0.13	0.21	0.0	0.0	0.19	0.19	0.0	0.05	0.0	0.13	0.06	0.37	0.0	0.2	1.5	0.22	0.18	0.0	0.0	0.48	1.95	0.23	0.0	0.0	0.0	0.0	0.51	0.0	3.05	8.48	9.03	7.62
6330407A03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.37	0.0	0.0	0.43	0.11	0.24	0.22
9230009I02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.0	0.0	0.0	0.15	0.0	0.0	0.79	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.75	0.16	0.45
AI182371	0.52	0.64	0.0	0.0	0.32	0.31	0.0	0.34	0.44	0.0	0.44	0.23	0.0	0.19	0.67	0.19	0.55	0.0	3.55	0.27	0.48	0.73	0.42	0.0	0.0	0.43	0.0	0.0	0.0	0.57	0.78	0.95	4.49	2.33	1.96	2.38
Adarb1	1.16	8.55	1.46	2.77	17.12	2.48	0.0	0.97	53.4	2.2	18.82	36.72	80.51	1.12	12.8	3.22	2.75	4.14	2.91	24.59	37.51	11.14	13.16	72.57	1.13	2.45	1.09	32.0	0.0	46.92	72.28	0.55	104.58	89.82	88.96	96.44
Aktip	1.79	178.69	55.82	5.9	7.16	326.88	22.67	159.19	261.68	72.94	132.68	253.3	1.21	307.87	214.26	6.07	419.19	57.92	6.52	80.95	44.48	51.83	155.86	120.38	0.0	6.9	8.62	51.11	1.91	2.03	467.44	8.44	778.35	88.78	91.41	85.82
Ap3d1	68.21	3.87	0.0	0.0	0.11	80.64	0.0	1.62	53.77	1.36	16.79	40.08	0.0	0.0	0.0	92.65	0.88	2.02	0.0	300.09	79.31	3.1	61.16	64.74	0.0	0.0	48.88	3.33	4.31	85.04	2.73	0.33	303.64	101.09	98.7	99.17
Arl8a	86.13	21.73	0.0	2.62	2.45	90.48	198.11	3.96	1.57	7.93	30.44	10.83	108.51	110.99	22.72	0.0	107.05	0.81	0.0	149.96	89.51	12.43	10.8	37.34	0.0	9.26	10.71	0.47	0.0	158.78	0.0	0.47	259.83	213.09	227.57	217.08
Atg16l1	0.06	0.0	0.0	2.06	18.67	67.96	0.0	0.0	0.0	0.0	5.98	69.44	0.0	6.11	0.0	0.0	72.73	0.0	2.95	10.59	2.53	0.1	27.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	175.45	49.31	48.42	49.31
B230206H07Rik	0.25	0.0	0.28	0.0	0.37	0.13	0.0	0.27	0.31	0.18	0.0	0.0	0.0	0.0	0.12	0.0	0.33	0.17	0.28	0.37	0.0	0.21	0.0	0.04	0.0	0.64	0.0	0.0	0.0	0.0	0.0	0.16	1.22	2.4	3.11	4.05
