	Chrna2_tdTpositive_cell_62	Gad2_tdTpositive_cell_43	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_75	Htr3a_tdTpositive_cell_85	Ndnf_tdTpositive_cell_20	Nkx2.1_tdTpositive_cell_2	Nkx2.1_tdTpositive_cell_4	Nkx2.1_tdTpositive_cell_10	Nkx2.1_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_46	PvalbF.Gad2_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_53	PvalbF.Gad2_tdTpositive_cell_58	PvalbF.Gad2_tdTpositive_cell_59	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_67	PvalbF.Gad2_tdTpositive_cell_71	PvalbF.Gad2_tdTpositive_cell_77	PvalbF.Gad2_tdTpositive_cell_81	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_51	Rbp4_tdTpositive_cell_89	Sst_tdTpositive_cell_56	Sst_tdTpositive_cell_66	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310044H10Rik	16.73	1.38	16.81	26.27	0.95	0.0	13.16	1.56	0.31	0.23	32.63	23.15	1.68	9.46	0.41	1.1	0.85	4.26	16.93	2.99	10.06	22.45	4.45	0.59	3.03	49.8	215.98	240.68	232.45
2610507B11Rik	31.29	50.85	4.34	54.29	22.56	0.0	28.62	23.15	3.12	5.62	34.39	68.24	2.16	20.31	22.63	29.59	42.77	51.34	69.66	65.06	69.38	52.56	58.9	0.0	14.94	21.01	108.1	104.63	107.37
4931402G19Rik	0.46	0.0	0.09	0.54	0.0	0.0	0.38	0.37	0.32	0.37	0.75	0.2	0.64	0.63	0.22	0.16	0.28	0.19	0.61	0.35	0.68	0.57	1.06	0.0	0.0	0.45	1.36	1.14	1.05
5430416N02Rik	27.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.84	0.0	0.0	0.0	0.0	0.0	0.0	12.11	38.73	0.0	0.0	12.14	31.72	0.0	0.0	0.0	12.23	11.99	11.09
Abca8b	1.72	0.51	0.23	0.63	0.0	0.0	25.64	1.58	0.14	0.0	0.48	4.67	0.07	0.27	0.06	0.98	0.06	0.62	1.1	0.0	0.89	1.4	8.37	0.0	0.34	0.0	15.09	12.8	14.73
Ano4	0.36	25.99	6.41	21.59	0.0	0.0	0.0	23.07	0.0	0.0	59.74	5.86	0.0	0.19	2.26	0.0	1.89	5.75	1.68	2.36	1.75	0.68	42.08	0.0	0.1	0.0	13.57	13.56	14.09
Atrn	11.27	20.77	0.94	38.99	7.61	0.0	17.1	27.2	7.39	11.13	25.07	25.89	0.0	16.18	9.03	12.97	2.04	4.85	35.61	3.7	38.33	21.89	19.67	0.0	0.36	27.14	85.45	83.79	91.7
Chd4	6.84	0.0	9.72	11.96	0.0	0.0	2.04	1.01	2.0	3.22	15.73	0.4	6.36	4.62	2.12	0.0	7.59	24.0	18.52	1.39	0.72	5.86	47.11	0.0	5.33	0.0	84.9	84.16	82.33
Diap1	0.0	0.0	0.0	4.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.68	23.83	0.0	0.0	9.19	10.14	0.0	0.0	0.0	31.57	29.64	29.39
Eml5	24.66	0.07	2.55	9.27	9.76	0.0	4.71	1.36	2.07	2.57	31.8	15.7	5.75	9.99	1.03	0.0	0.46	37.21	19.48	11.08	13.39	10.83	16.1	0.05	21.43	0.06	32.58	26.15	37.17
Ep400	9.88	0.0	1.05	14.07	0.73	0.0	7.93	0.04	2.98	3.59	8.25	10.14	19.25	2.61	0.0	0.83	5.29	29.82	10.62	0.59	17.9	5.88	13.71	0.0	7.98	1.15	26.54	25.34	29.25
Fam193b	2.65	0.0	0.19	5.08	0.2	0.0	0.92	0.0	0.89	1.05	14.79	28.12	0.0	5.15	28.14	0.0	0.0	4.14	38.28	22.81	27.81	22.11	33.91	0.0	19.18	0.0	58.96	63.6	65.02
Fmo5	0.14	0.0	0.0	0.0	0.01	0.0	0.08	0.16	0.0	0.1	0.12	0.11	0.0	0.42	0.0	0.05	0.18	0.36	0.25	0.13	0.22	0.33	0.39	0.0	0.07	0.0	2.03	1.62	2.54
Gemin5	12.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.11	4.72	0.0	0.0	0.0	0.0	0.45	0.76	1.79	1.59	0.0	3.2	10.26	0.0	9.02	5.39	10.98	10.99	11.65
