	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_22	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.04	0.0	0.04
1700001K23Rik	0.0	0.0	0.22	0.2	0.22
1700003L19Rik	0.0	0.0	0.14	0.0	0.14
1700009J07Rik	0.0	0.0	0.11	0.0	0.11
1700024P03Rik	0.0	0.0	0.21	0.0	0.21
1700061J05Rik	0.0	0.0	0.11	0.0	0.11
1700071K01Rik	0.0	0.0	0.1	0.0	0.1
4930528F23Rik	0.0	0.0	0.06	0.0	0.06
4930529F24Rik	0.0	0.0	0.11	0.0	0.11
4930544D05Rik	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.07	0.0	0.07
4931423N10Rik	0.0	0.0	0.22	0.2	0.22
6430550D23Rik	0.0	0.0	1.39	1.24	1.44
9230104L09Rik	0.0	0.0	0.16	0.0	0.16
Adamdec1	0.0	0.0	0.04	0.0	0.04
Akr1c12	0.0	0.0	0.08	0.0	0.08
Apob	0.0	0.0	0.01	0.0	0.01
Aspg	0.0	0.0	2.2	2.82	2.65
Atp8b3	0.0	0.0	0.04	0.04	0.09
Bpifb4	0.0	0.0	0.05	0.0	0.05
C8b	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.1	0.09	0.1
Capn13	0.0	0.0	0.04	0.0	0.04
Ccdc69	0.0	0.0	0.49	0.46	0.36
Ccr3	0.0	0.0	0.03	0.0	0.03
Ceacam15	0.0	0.0	0.07	0.0	0.07
Ces1a	0.0	0.0	0.05	0.05	0.05
Cir1	0.4	0.0	32.5	27.05	29.73
Clec12b	0.0	0.0	0.07	0.0	0.07
Cyp2c55	0.0	0.0	0.05	0.0	0.05
D6Mm5e	0.0	0.0	0.1	0.09	0.1
Dhx16	0.0	0.0	19.51	21.69	20.11
Dnajc5b	0.0	0.0	0.11	0.0	0.11
Dspp	0.0	0.0	0.11	0.1	0.11
Dyrk4	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.1	0.09	0.1
Ears2	0.0	0.0	6.62	7.09	8.39
F2rl3	0.0	0.0	0.34	0.85	0.64
Fgfrl1	0.0	0.0	14.6	15.48	16.45
Fmn2	0.12	0.0	37.67	34.6	37.41
Fmo4	0.0	0.0	0.06	0.0	0.06
Fndc3c1	0.0	0.0	0.02	0.0	0.02
Foxi1	0.0	0.0	0.04	0.04	0.09
Gm12633	0.0	0.0	0.06	0.0	0.06
Gm1647	0.0	0.0	0.14	0.0	0.14
Gm4745	0.0	0.0	0.08	0.0	0.08
Greb1	0.29	0.0	0.57	0.51	0.67
Gzma	0.0	0.0	0.12	0.0	0.12
Hal	0.0	0.0	0.04	0.0	0.04
Hemgn	0.0	0.0	0.04	0.0	0.04
Hhla1	0.0	0.0	0.04	0.04	0.09
Kctd19	0.0	0.0	0.03	0.0	0.03
Kel	0.0	0.0	0.04	0.0	0.04
Kera	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.05	0.05	0.05
Lect2	0.0	0.0	0.12	0.0	0.12
Lipm	0.0	0.0	0.11	0.1	0.11
Lpcat2b	0.0	0.0	0.19	0.0	0.19
Ltf	0.0	0.0	0.04	0.0	0.04
Magea3	0.0	0.0	0.0	0.0	0.0
Muc4	0.0	0.0	0.02	0.0	0.02
Myog	0.0	0.0	0.07	0.0	0.07
Ncr1	0.0	0.0	0.07	0.0	0.07
Nkx6-3	0.0	0.0	0.04	0.04	0.09
Nox4	0.0	0.0	0.06	0.0	0.06
Nsdhl	0.0	0.0	22.27	23.88	25.2
Odf3	0.0	0.0	0.23	0.52	0.57
Olfr1419	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.11	0.1	0.11
Olfr15	0.0	0.0	0.11	0.0	0.11
Plagl1	0.0	0.0	15.74	15.04	13.9
Prps1l1	0.0	0.0	0.06	0.0	0.06
Raet1d	0.0	0.0	0.16	0.0	0.16
Raver2	0.0	0.0	15.78	14.93	14.76
Rnase13	0.0	0.0	0.17	0.0	0.17
Rorc	0.0	0.0	1.34	1.45	1.26
Sct	0.0	0.0	0.21	0.0	0.21
Sik3	0.0	0.0	53.53	56.24	58.89
Slc25a34	0.0	0.0	4.49	5.69	5.58
Slc34a2	0.0	0.0	0.05	0.0	0.05
Slc4a1	0.0	0.0	0.02	0.0	0.02
Spata18	0.0	0.0	0.56	0.67	0.68
Spata5l1	0.0	0.0	7.13	5.64	6.34
