	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_5	Chrna2_tdTpositive_cell_11	Chrna2_tdTpositive_cell_64	Ctgf_tdTpositive_cell_3	Gad2_tdTpositive_cell_71	Nkx2.1_tdTpositive_cell_12	Nkx2.1_tdTpositive_cell_15	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_14	Pvalb_tdTpositive_cell_15	Pvalb_tdTpositive_cell_18	Pvalb_tdTpositive_cell_19	Pvalb_tdTpositive_cell_36	Pvalb_tdTpositive_cell_38	Pvalb_tdTpositive_cell_50	Pvalb_tdTpositive_cell_53	Pvalb_tdTpositive_cell_60	Pvalb_tdTpositive_cell_62	Pvalb_tdTpositive_cell_64	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_41	Rbp4_tdTpositive_cell_165	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700030C10Rik	0.56	0.45	1.08	0.0	0.0	1.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	2.9	0.0	0.0	0.75	0.12	0.0	0.7	0.31	0.82	2.33	1.99	1.81
1700088E04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.6	0.53	0.0	0.0	0.0	0.0	0.0	0.0	5.66	33.59	0.0	27.56	0.0	0.0	0.0	0.0	0.81	6.85	5.88	4.5	4.33
2700050L05Rik	0.0	3.42	19.46	6.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.59	3.18	0.0	0.0	0.0	17.5	29.26	0.0	0.0	0.0	9.51	0.1	0.0	13.88	6.82	15.84	14.42	12.98
2700078E11Rik	0.0	28.06	57.44	12.33	683.34	0.0	0.0	0.51	11.82	6.15	0.0	0.97	1.22	7.57	0.71	0.13	0.53	61.22	29.18	0.0	3.08	10.12	16.7	34.62	12.3	12.28	38.47	35.4	36.85
3110052M02Rik	0.0	13.36	0.63	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.2	13.51	43.45	10.87	0.02	18.43	0.0	50.57	1.36	26.43	5.39	2.63	7.75	0.1	10.21	5.72	7.36	6.39	8.12
3425401B19Rik	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.11	0.11	0.0	0.0	0.0	0.04	0.1	0.07	0.14	0.06	0.14	0.21	0.07
Aatf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.88	53.7	1.05	5.12	6.34	0.0	5.15	43.72	11.2	10.34	14.35	14.41	13.63
Abcb10	0.0	0.0	59.58	4.83	0.0	0.0	0.0	0.0	22.03	0.0	0.0	4.2	0.0	0.0	0.0	0.0	0.68	56.9	0.0	0.0	0.08	0.0	29.07	0.0	1.43	2.08	16.53	18.62	18.24
Acly	0.0	87.12	93.19	8.8	0.0	0.1	0.0	52.21	43.0	8.97	17.47	53.27	27.91	10.74	17.27	32.31	52.35	54.5	20.3	34.66	1.45	7.33	52.69	39.82	29.42	39.6	111.13	110.2	109.44
Agap2	0.0	0.13	5.39	4.58	0.0	0.31	0.99	1.57	0.31	0.34	0.34	0.43	0.4	2.24	0.49	1.43	0.4	1.91	1.09	0.53	0.0	0.94	1.14	1.19	10.87	5.91	422.27	459.59	467.65
Ankar	0.0	0.0	0.4	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.2	0.06	0.02
Appl1	0.0	18.73	52.59	19.48	4.09	3.87	18.14	0.12	17.65	0.0	7.55	16.96	3.9	17.74	6.31	46.55	7.5	34.36	27.9	21.67	0.39	20.29	40.39	48.71	34.35	28.31	48.69	42.08	48.06
Arhgap10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3	0.0	0.0	0.0	0.0	0.0	0.0	4.42	3.99	20.74	20.65	19.65
Arhgef18	0.0	0.0	0.0	0.16	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.16	0.92	0.13	0.04	16.27	20.7	0.71	0.0	0.0	0.03	3.32	17.58	2.22	2.86	27.45	26.39	26.37
