	Ctgf_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_39	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Ntsr1_tdTnegative_cell_28	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_91	PvalbF.Gad2_tdTpositive_cell_94	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_186	Rbp4_tdTpositive_cell_187	Rbp4_tdTpositive_cell_188	Rbp4_tdTpositive_cell_190	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_23	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTpositive_cell_105	Scnn1a.Tg3_tdTnegative_cell_8	Vip_tdTpositive_cell_16	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_3	Rbp4_CTX_10pg_4	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
5730494N06Rik	0.0	155.18	1.61	0.79	0.0	0.38	0.43	19.86	111.79	128.49	94.59	1.16	100.7	0.0	0.0	0.0	297.1	14.37	1.36	2.18	0.0	0.0	0.12	69.36	166.12	4.4	140.5	27.55	39.61	38.28	36.33
6330407J23Rik	0.0	2.35	49.49	24.95	0.17	4.55	10.62	5.6	4.2	39.81	14.43	42.5	11.55	0.0	0.0	0.0	249.28	99.18	32.14	6.4	0.0	0.0	41.81	1.27	14.48	22.03	20.54	3.79	49.96	45.74	58.4
Adam11	0.11	54.51	0.4	153.43	0.26	1.31	0.09	0.15	3.16	0.05	0.26	0.11	3.6	0.0	0.1	0.06	7.9	17.87	21.88	0.06	0.0	0.0	1.14	46.15	0.06	0.06	0.8	32.78	100.2	105.1	100.46
Adcy1	0.0	29.7	61.81	59.79	0.0	5.59	56.36	55.26	7.66	22.57	68.11	12.35	12.84	0.0	0.04	0.0	34.39	27.37	7.07	7.76	0.0	0.0	33.61	30.99	53.68	46.94	9.82	41.82	224.96	212.91	233.52
Adrb1	0.0	0.1	34.96	0.17	0.27	0.06	0.07	3.24	15.54	1.74	0.92	0.09	0.12	0.0	0.0	0.0	118.58	84.54	6.97	4.53	0.41	0.0	1.25	1.17	0.0	0.06	0.0	0.07	30.68	33.63	27.06
Amigo1	0.0	129.42	25.11	27.16	0.0	0.28	2.41	59.08	15.29	22.46	8.14	31.11	0.1	0.0	0.0	0.0	0.58	212.22	62.5	51.6	0.0	0.0	69.62	2.31	15.0	0.22	0.03	33.15	58.86	60.1	60.6
Ankrd13d	0.0	40.2	361.41	22.17	0.0	76.05	0.08	13.34	1.79	2.03	0.0	0.35	0.0	0.0	0.0	0.0	0.0	195.81	0.76	0.0	0.0	0.0	45.61	107.53	0.27	0.13	0.06	59.48	58.38	59.24	61.04
Ankrd34a	0.0	0.0	0.37	2.24	0.0	0.28	42.63	0.96	1.81	0.1	0.32	0.17	15.88	0.0	0.0	0.0	52.5	144.96	1.51	0.06	0.0	0.0	0.17	113.14	0.28	0.11	0.11	70.96	57.01	57.85	56.25
Apc2	0.0	19.08	8.11	72.98	0.0	0.05	0.0	0.02	0.05	6.0	0.52	0.06	0.0	0.0	0.0	0.0	0.0	54.87	18.59	0.01	0.0	0.0	15.7	7.57	2.16	1.65	10.18	2.08	49.75	52.05	53.73
Arhgef17	0.0	36.17	7.54	94.22	0.0	0.09	0.02	0.04	0.07	0.0	0.02	0.7	0.65	0.0	0.0	0.0	25.36	0.0	28.56	0.01	0.0	0.0	0.01	13.06	0.12	2.71	3.67	0.0	53.82	58.08	58.26
