	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_32	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_16	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_7	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_25	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_44	Ntsr1_tdTnegative_cell_54	Rbp4_tdTnegative_cell_21	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_8	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_28	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_92	Sst_tdTpositive_cell_101
1200011I18Rik	12.09	0.49	26.43	1.54	0.75	0.48	0.52	79.15	5.76	42.66	74.82	21.97	18.74	1.1	0.93	0.15	67.52	0.0	9.3	13.5	4.66	2.19	0.6	11.42	0.95	0.23	7.27	22.3	30.43	0.35	13.1	0.8	0.31	13.5	1.61	0.18	12.24	1.01	0.64	25.38	0.44	0.56	0.48	1.43	1.87	23.16	1.13	1.8	0.54	0.5	51.68	6.15	0.14	2.31	2.91	17.85	1.3	1.2	1.1	0.07	1.63	29.22	31.57	0.83	2.14	5.74	0.69	2.92	0.45	6.45	0.36
Arid2	9.15	2.69	0.0	0.0	0.0	0.0	0.0	47.82	2.3	1.8	10.0	0.0	7.35	0.0	0.0	0.04	71.51	0.0	0.0	0.09	0.08	7.36	0.35	0.04	0.01	0.27	0.0	0.0	0.03	9.72	0.0	0.0	4.87	0.0	0.0	0.21	17.84	0.0	0.0	1.13	0.65	8.33	0.15	0.0	0.0	0.02	0.0	0.41	13.53	0.0	0.43	0.0	0.0	0.0	0.0	8.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53	8.97	4.0	3.71	1.79	3.58	11.8	0.0
Atp6v1g2	375.34	796.26	861.34	0.0	0.0	0.0	0.0	1057.32	1516.8	891.59	1631.9	0.67	858.49	0.0	0.0	0.0	1810.69	0.0	0.0	699.99	872.01	438.98	936.69	488.63	544.36	719.53	444.73	690.47	680.61	1150.12	588.54	640.91	1119.97	785.69	580.58	504.27	269.93	1177.14	490.25	482.35	363.7	291.95	1606.39	387.5	530.95	358.83	859.46	389.37	416.07	808.66	700.92	725.31	0.0	0.0	0.0	1335.05	0.74	0.0	0.0	0.0	1191.24	1437.09	631.48	1566.25	845.32	724.23	1596.3	1356.9	712.51	1261.72	1504.03
Cmpk1	261.74	67.27	31.98	0.0	0.0	0.0	0.0	194.03	128.75	0.0	403.16	0.0	87.9	0.0	0.0	0.0	142.93	0.0	0.0	80.13	48.88	74.52	12.0	169.57	21.8	105.2	111.07	14.39	157.66	129.52	0.0	132.27	67.44	145.13	86.86	0.0	0.8	144.44	176.0	2.77	1.55	74.55	74.34	30.84	94.87	46.05	1.34	35.47	0.15	92.05	76.57	51.44	0.0	0.0	0.0	158.08	0.0	0.0	0.0	0.0	14.31	66.59	1.97	161.63	2.52	64.12	115.28	93.42	96.76	142.55	22.05
Cntnap2	78.35	14.89	26.89	0.0	0.0	0.0	0.0	74.09	123.45	107.99	33.82	0.0	15.37	0.0	0.0	0.0	172.78	0.0	0.0	42.06	6.38	11.41	112.59	6.71	0.08	0.12	55.58	29.33	35.83	12.37	4.39	20.3	34.66	12.08	39.19	27.87	39.29	72.81	30.45	5.34	20.19	29.17	109.41	0.66	0.0	0.0	0.64	3.14	29.92	13.52	16.32	10.49	0.0	0.0	0.0	42.53	0.0	0.0	0.0	0.0	34.66	28.23	37.9	30.01	0.77	11.87	21.55	79.26	20.89	109.69	101.56
Cpsf4	0.0	0.43	31.95	0.0	0.0	0.0	0.0	26.82	17.27	43.02	0.0	0.0	0.0	0.0	0.0	0.0	78.14	0.0	0.0	1.16	0.93	0.0	0.0	0.0	0.0	0.0	31.09	5.34	0.2	14.12	6.13	0.0	0.0	0.0	37.05	0.0	0.0	0.0	0.0	3.06	18.06	0.0	0.18	0.0	16.92	0.0	0.0	0.0	0.0	21.38	4.55	0.0	0.0	0.0	0.0	22.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.79	4.27	2.38	18.79	0.0	0.0	0.3	4.01
Dnm1	22.71	32.91	8.22	0.0	0.0	0.0	0.0	54.59	4.35	156.69	89.2	0.0	32.14	0.0	0.0	0.0	31.1	0.0	0.0	13.97	13.5	18.81	0.03	0.57	4.76	32.34	29.95	22.74	15.88	2.61	9.78	8.72	17.51	2.08	1.36	36.06	21.22	86.76	22.97	0.76	16.44	28.7	17.13	0.37	5.09	16.71	9.78	1.46	0.72	6.65	19.87	20.33	0.0	0.0	0.0	88.95	0.05	0.0	0.0	0.0	44.55	50.32	0.3	29.74	8.02	9.23	21.86	25.7	31.16	14.21	47.77
Efha2	539.22	258.62	312.17	597.65	0.0	0.0	0.0	752.62	445.93	459.24	470.19	173.42	663.6	483.97	0.0	0.0	511.98	0.0	579.5	235.57	235.44	160.01	369.68	410.83	306.54	251.86	344.51	244.99	175.52	165.58	208.81	170.3	252.1	278.39	248.69	301.55	287.32	570.07	249.44	137.23	166.96	371.54	403.11	580.62	312.2	294.96	187.95	230.22	300.99	193.85	236.79	315.75	118.23	503.78	0.0	651.33	0.06	0.0	0.13	286.48	291.68	730.42	386.23	733.25	378.34	355.88	538.19	487.75	307.94	364.26	311.29
Fam178a	14.84	29.35	2.65	0.0	0.0	0.0	0.0	88.27	13.01	20.53	36.73	21.2	26.45	0.0	0.04	0.09	48.83	129.36	0.24	11.48	5.32	16.71	4.69	10.16	5.34	15.51	6.55	0.0	8.64	7.19	2.18	2.75	14.02	12.74	8.08	3.15	5.12	0.7	9.26	45.26	23.62	0.0	0.33	68.4	1.22	0.12	12.58	3.98	9.09	12.77	4.5	10.2	0.1	0.08	0.02	13.74	0.05	3.33	1.76	0.02	8.02	29.31	2.69	7.04	5.4	9.41	33.67	40.94	17.55	8.49	7.56
Gad2	320.61	411.41	371.93	0.35	1.13	1.51	2.4	955.3	462.02	1445.41	582.58	113.88	1076.3	4.11	0.07	0.75	687.57	0.0	7.02	245.09	196.34	314.59	34.12	318.35	156.94	162.81	429.15	333.44	378.8	396.67	294.55	483.26	360.75	360.07	204.55	301.16	198.65	1302.16	283.25	218.1	261.36	348.54	379.4	132.94	99.8	305.57	250.6	418.12	372.29	475.46	362.78	300.55	0.2	6.03	0.35	617.9	0.26	1.15	0.0	0.0	388.23	517.7	245.39	406.16	315.14	194.46	520.76	525.8	290.56	584.8	429.79
