	Chrna2_tdTpositive_cell_63	Chrna2_tdTpositive_cell_82	Cux2_tdTpositive_cell_55	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_69	Scnn1a.Tg3_tdTpositive_cell_10	Scnn1a.Tg3_tdTpositive_cell_58	Slc17a6_tdTpositive_cell_8	Slc17a6_tdTpositive_cell_18
1110021L09Rik	27.57	22.44	6.67	8.19	6.89	0.69	0.0	2.66	2.66
1700047I17Rik2	15.19	32.57	1.23	17.95	4.9	0.93	3.33	5.09	15.23
2210404O09Rik	21.08	23.14	0.0	1.5	6.19	0.0	0.61	10.69	0.0
Anp32e	345.75	35.87	16.53	163.94	41.74	18.77	0.0	63.37	74.76
Ccdc76	30.28	22.37	0.0	0.36	127.86	0.0	0.0	0.0	0.0
Ccng2	151.17	65.47	0.0	0.0	0.0	0.0	0.0	9.95	0.0
Cdk5r1	109.57	54.6	12.27	82.42	31.28	23.45	9.92	45.37	111.2
Diras2	98.64	18.52	0.43	0.29	84.74	0.0	0.0	73.5	133.53
Egln2	37.91	43.83	0.0	0.21	0.0	0.0	0.0	0.79	122.54
Epdr1	117.0	111.61	0.0	154.2	36.58	0.0	0.0	76.01	0.0
Fam177a	15.19	32.57	1.23	17.95	4.9	0.93	3.33	5.09	15.23
Gm10778	12.15	29.28	3.68	10.67	3.77	2.34	0.48	5.56	5.85
Gm8801	43.39	25.24	0.0	0.0	0.0	0.0	0.0	0.0	2.0
Gpc1	60.74	107.03	0.0	60.06	22.16	1.17	0.0	48.12	5.41
Hk2	0.08	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Iars2	72.78	27.2	0.0	3.28	0.0	0.0	0.23	0.0	2.25
Khsrp	30.46	36.09	15.64	28.02	12.01	4.72	14.23	29.13	23.28
Mum1	53.11	26.34	0.96	58.27	0.05	0.47	0.0	42.28	1.97
Nrn1	3340.55	1035.86	2128.39	4039.33	4390.92	3941.79	1221.23	5153.74	4928.08
Nufip1	20.38	19.14	0.13	0.44	0.0	0.25	0.0	3.76	0.17
Polr2l	133.24	112.39	33.47	142.12	51.41	60.53	19.48	97.56	100.45
Rab24	32.18	22.14	6.77	63.86	4.62	0.0	0.0	7.31	15.16
Setd3	78.03	71.46	0.0	71.86	0.0	0.0	0.0	31.22	12.47
Sox6	0.05	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0
