	Cux2_tdTnegative_cell_4	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_44	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTpositive_cell_105	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_23	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700039E15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.05	0.12
1810012P15Rik	0.0	0.23	0.61	1.38	1.7	1.32	0.83	0.39	2.22	0.9	0.24	2.16	0.13	4.08	5.05	23.63	22.63	23.83
2210012G02Rik	0.0	87.73	11.9	0.0	44.32	0.1	0.58	0.0	0.6	18.62	0.16	0.0	0.0	22.66	12.29	8.29	7.97	8.43
4933406C10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.98	0.92	1.07
A530046M15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.06	0.0
A730017C20Rik	0.0	0.0	0.0	0.65	0.0	0.0	0.16	0.0	262.2	0.0	0.0	0.0	0.0	78.77	90.06	48.79	51.09	47.39
Abcb5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Appl1	0.0	0.0	0.0	0.16	6.48	0.09	0.04	0.0	2.43	0.0	0.0	0.0	0.0	30.22	28.31	48.69	42.08	48.06
Arhgap11a	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.21	2.09	2.23	2.25
Armc2	0.0	0.0	0.0	0.11	0.08	0.06	0.1	0.13	0.63	0.36	0.0	0.12	0.18	4.19	4.11	5.08	5.49	4.82
Atp2a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.3	0.21
Cacna2d3	0.0	0.0	0.0	0.31	0.22	0.0	0.0	0.0	13.44	0.0	0.0	0.0	0.0	0.0	0.0	91.48	87.75	93.67
Car2	3981.98	14999.61	17351.39	25756.96	12131.73	21340.56	28458.04	16120.27	0.0	17744.44	15241.22	13690.79	26731.44	7.59	191.52	179.9	188.36	189.39
Ccdc113	0.0	0.0	0.0	1.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.74	1.96	2.6	4.38	4.89
Ccdc80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.99	5.56	5.84
Ccl27b	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	7.71	0.0	0.0	0.0	0.0	61.27	71.98	30.63	28.29	22.96
Cenpm	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.32	3.8	3.93	4.48
Ces1a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Clca5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clic3	0.0	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66	1.95	1.58
Cpsf4l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17	1.47	1.78
Ctps	0.0	0.0	0.0	0.64	435.19	0.0	0.0	0.0	114.23	0.0	0.0	0.0	0.0	21.4	27.61	37.82	40.1	38.79
Cwf19l1	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	137.11	0.0	251.38	0.0	0.0	10.36	12.93	9.15	8.72	8.46
Deptor	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	3.15	2.31	11.5	9.72	12.1
Dnpep	0.0	0.0	0.0	2.51	1.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.72	114.39	38.84	43.48	42.05
Ebp	0.0	0.0	0.0	0.34	0.23	0.22	8.31	0.0	0.0	0.0	0.0	356.3	0.0	60.22	53.11	16.85	15.78	15.92
Elavl4	0.0	0.0	0.0	0.31	0.95	0.0	0.07	0.17	12.63	0.0	0.0	0.0	0.0	166.08	151.31	64.48	55.87	59.99
Expi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.42	3.5	4.61	2.53	2.18
Fam110b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.74	21.23	31.62	35.21	33.05
Fam115a	0.0	0.0	0.0	0.46	0.43	0.0	0.0	56.58	0.04	2.04	0.0	0.0	0.0	64.9	84.6	134.84	128.82	138.27
Fam19a4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.47	0.42
Fam3c	37.87	0.0	0.0	0.0	0.29	0.0	30.35	0.0	17.73	0.0	1.27	0.0	0.0	46.94	37.15	56.43	56.61	53.1
Far1	0.0	20.11	0.0	0.0	0.31	0.0	0.13	0.0	12.76	0.13	415.32	160.32	0.0	143.89	124.47	73.89	61.02	70.77
Fbn1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.98	3.08	3.28
Fbxo16	0.0	0.0	0.0	0.0	242.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.73	10.74	13.39	12.93	12.05
Flywch1	0.0	0.0	0.0	0.7	0.0	0.0	1.35	0.0	70.21	0.0	0.0	0.0	0.0	2.14	7.63	187.51	205.15	199.13
Fsbp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64	2.08	1.4
Gcc1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.01	2.92	16.28	15.96	15.34
Glyr1	0.0	0.0	0.0	22.4	322.86	0.0	0.15	45.61	108.48	0.0	421.77	123.5	26.82	115.85	87.75	148.82	150.41	146.54
Gm13306	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	7.71	0.0	0.0	0.0	0.0	61.27	71.98	30.63	28.29	22.96
Gm13446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2	9.1	6.48	6.49	6.16
Gm14430	0.0	0.0	0.0	0.0	0.0	0.04	0.03	0.0	0.19	0.0	0.0	0.09	0.0	4.14	4.22	7.67	5.07	7.49
Gm14431	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.99	1.65	8.87	7.17	8.34
Gm14434	0.0	0.0	0.0	0.0	0.0	0.04	0.03	0.0	0.19	0.0	0.0	0.09	0.0	4.14	4.22	7.67	5.07	7.49
Gm2002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	1.27	1.89	1.73	1.86	1.4
Gm2506	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	7.71	0.0	0.0	0.0	0.0	61.27	71.98	30.63	28.29	22.96
Gm3317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.65	0.92	2.38	2.75	2.9
Gm3494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.65	0.92	2.38	2.75	2.9
Gm4724	0.0	0.0	0.0	0.0	0.0	0.04	0.03	0.0	0.19	0.0	0.0	0.09	0.0	4.14	4.22	7.67	5.07	7.49
Gm8898	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.99	1.65	8.87	7.17	8.34
Gspt1	0.0	3.39	0.0	2.1	74.63	0.05	21.74	0.0	12.11	0.0	82.17	0.0	0.0	17.91	10.8	53.3	49.68	53.88
Hhipl2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.61	0.3
Hic1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.54	3.3	2.32
Hist1h2bq	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.07	0.53	0.38	0.28	0.38
Hist1h2br	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.07	0.53	0.38	0.28	0.38
Il11ra2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	1.27	1.89	1.73	1.86	1.4
Kbtbd4	0.0	0.0	0.0	0.97	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	116.31	119.5	25.55	26.93	25.25
Kera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Klhdc3	0.0	0.0	0.0	0.3	269.75	0.19	0.0	0.0	134.51	0.0	0.0	247.15	0.0	63.77	62.52	192.51	209.92	188.5
