	Calb2_tdTpositive_cell_15	Calb2_tdTpositive_cell_22	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_1	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_6	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_46	Gad2_tdTpositive_cell_70	Gad2_tdTpositive_cell_73	Htr3a_tdTpositive_cell_13	Htr3a_tdTpositive_cell_25	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_65	Htr3a_tdTpositive_cell_90	Htr3a_tdTpositive_cell_103	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_8	Ndnf_tdTpositive_cell_20	Ntsr1_tdTnegative_cell_28	Scnn1a.Tg2_tdTpositive_cell_21	Vip_tdTpositive_cell_3	Vip_tdTpositive_cell_15	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23
4632427E13Rik	0.0	0.74	0.0	0.0	0.0	0.0	0.0	0.0	27.18	0.0	6.69	0.0	0.0	85.81	0.0	254.72	23.42	0.0	0.0	220.13	0.0	0.0	37.57	0.0	0.0	0.0	0.0	0.0	162.58	0.0	75.45	0.0
A330023F24Rik	0.0	3.78	3.82	0.0	0.0	0.0	0.0	2.39	14.73	0.33	23.09	1.04	0.0	1.42	52.75	261.4	240.1	9.65	2.6	182.89	2.57	0.0	2.06	21.99	23.2	0.0	0.0	0.0	0.0	19.63	6.12	1.58
A730017C20Rik	0.42	137.44	183.17	0.0	0.0	0.0	0.0	422.67	172.71	54.51	118.72	171.23	0.0	0.0	124.29	847.79	0.17	80.39	0.0	547.99	162.47	250.67	207.51	29.24	0.0	0.0	0.0	294.64	0.0	0.29	0.61	113.98
Aldh7a1	0.0	46.84	0.26	0.0	0.0	0.0	0.0	0.0	41.85	72.85	15.09	39.99	0.0	0.0	63.5	282.27	0.0	0.0	0.0	145.5	10.15	0.0	0.24	43.81	0.0	0.0	0.0	0.0	0.0	104.39	0.0	72.95
Anapc16	0.15	0.0	339.94	0.0	0.0	0.0	0.0	137.35	36.61	0.33	60.07	29.73	0.0	203.57	90.71	508.48	0.86	175.82	0.0	493.44	0.0	38.89	77.46	49.54	0.24	0.0	0.52	586.25	0.0	69.71	101.11	86.43
Aplp1	121.32	84.84	158.25	0.0	0.0	0.0	387.28	0.0	46.19	61.9	47.02	128.45	82.11	130.12	193.7	325.76	196.58	83.34	322.04	521.48	41.39	54.62	105.82	45.55	0.0	0.0	0.0	119.5	0.26	133.9	4.25	79.21
BC018242	0.0	0.0	15.38	0.0	0.0	0.0	0.0	0.0	5.21	0.0	1.13	6.58	0.0	0.0	0.0	163.93	69.61	2.77	0.0	86.08	1.34	2.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.98	17.0	0.0
Chl1	193.06	175.34	138.61	0.05	0.0	0.0	0.0	44.77	175.49	106.73	50.77	204.22	3.57	164.88	301.98	342.56	214.14	133.79	148.89	352.78	86.43	177.02	106.27	67.94	0.0	0.0	0.1	323.87	159.24	196.87	71.83	92.51
Cldn25	292.11	92.22	163.91	0.0	0.15	0.0	456.23	153.59	217.41	103.97	27.14	153.42	250.62	91.38	163.5	443.97	49.51	220.44	447.29	486.02	629.04	16.21	289.13	50.08	0.62	0.0	0.0	328.77	19.61	154.59	81.37	100.19
Clns1a	2.7	119.52	48.2	2.74	0.1	0.59	0.11	75.42	73.44	144.1	82.86	68.88	256.64	166.56	241.62	312.37	118.08	89.87	243.01	494.61	0.71	41.57	193.62	76.87	0.64	0.0	0.6	0.28	0.55	175.17	60.9	50.42
