	Calb2_tdTpositive_cell_9	Calb2_tdTpositive_cell_23	Ndnf_tdTnegative_cell_9	Scnn1a.Tg2_tdTpositive_cell_1	CAV_LP_Ipsi_tdTpos_cell_27	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1600015I10Rik	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
1700001K23Rik	0.0	0.0	0.0	0.0	0.0	0.22	0.2	0.22
1700003L19Rik	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
1700009J07Rik	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
1700018A04Rik	0.0	0.0	0.0	0.0	0.0	0.14	0.14	0.3
1700020A23Rik	0.0	0.0	0.0	0.0	0.0	2.59	1.88	3.17
1700023A16Rik	0.0	0.0	0.0	0.0	0.0	0.16	0.07	0.16
1700040I03Rik	110.16	0.0	0.0	9.69	0.0	24.68	26.67	26.12
1700061J05Rik	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
2010001M06Rik	0.0	0.0	0.0	0.0	0.0	6.52	8.12	6.52
2310028H24Rik	2.4	0.0	0.0	0.17	0.0	162.12	167.13	173.94
2310043L19Rik	0.0	0.0	0.0	0.0	0.0	0.15	0.14	0.15
2310065F04Rik	0.0	0.0	0.0	0.0	0.0	0.07	0.14	0.07
4930455B14Rik	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.09
4930544D05Rik	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
4930555B11Rik	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
4930579G18Rik	5.37	3.22	2.87	2.65	0.64	4.17	5.24	5.56
5830411N06Rik	0.0	0.0	0.0	0.0	0.0	0.07	0.03	0.07
5830432E09Rik	0.0	0.0	0.0	0.0	0.0	0.28	0.45	0.28
9230102K24Rik	0.0	0.0	0.0	0.0	0.0	0.15	0.14	0.16
9230104L09Rik	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.16
Adamdec1	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Agfg2	0.0	0.0	103.25	0.0	0.0	41.97	48.31	43.68
Akr1c12	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.08
Aldh16a1	0.15	0.26	0.8	0.1	0.0	4.84	6.3	5.31
Ano7	0.0	0.0	0.0	0.0	0.0	0.09	0.23	0.09
Apob	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.01
Apoo-ps	0.0	0.0	0.0	0.0	0.0	19.01	21.37	17.68
Asmt	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.09
Atp8b3	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Bhlhe23	0.0	0.0	0.0	0.0	0.0	0.08	0.18	0.08
Blk	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Bnc2	0.0	0.0	0.0	0.0	0.0	0.27	0.39	0.27
Bsnd	0.0	0.0	0.0	0.0	0.0	0.04	0.03	0.04
C8b	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Capn1	0.0	0.0	0.0	0.0	0.0	20.82	21.05	20.65
Capn13	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Ccdc154	0.0	0.0	0.0	0.0	0.0	0.04	0.08	0.04
Cd209b	0.0	0.0	0.0	0.0	0.0	0.11	0.41	0.11
Cd37	0.0	0.0	0.0	0.0	0.0	4.99	4.47	4.99
Ceacam15	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Ces1a	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Clec12b	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Clec4a2	0.23	0.3	2.1	0.7	0.47	0.97	0.9	1.03
Cmklr1	0.14	0.0	0.0	0.0	0.0	2.46	1.69	2.4
D430019H16Rik	7.28	5.76	45.74	2.31	0.0	71.29	69.28	70.17
D6Mm5e	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Dnajc5b	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Dspp	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Dtx2	0.0	0.0	0.0	0.21	0.0	5.69	7.12	5.84
Dyrk4	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Edaradd	0.0	0.0	0.0	0.02	0.0	0.13	0.17	0.24
Elac1	1.0	0.0	0.3	8.97	0.0	19.83	19.31	19.59
F630028O10Rik	0.0	0.0	0.0	0.0	0.0	0.07	0.17	0.07
Fam83g	0.0	0.0	0.0	0.0	0.0	0.02	0.08	0.02
Fap	0.0	0.0	0.0	0.0	0.0	2.09	1.41	2.03
Fkbp1b	0.0	1.37	10.64	0.0	0.0	40.98	49.71	44.94
Fndc3c1	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.02
Foxi1	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.08
Gabrr3	0.0	0.0	0.0	0.0	0.0	0.07	0.06	0.07
Gdf6	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Gm11944	0.0	0.4	0.0	0.0	0.0	1.08	1.46	1.21
Gm1647	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
Gpnmb	0.2	0.0	0.0	0.01	0.0	1.6	1.29	1.71
Gpr44	0.0	0.0	0.0	0.0	17.26	0.08	0.11	0.08
Gpr97	0.0	0.0	0.0	0.0	0.0	0.2	0.12	0.26
Hal	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Heatr3	0.62	0.0	26.26	23.72	0.19	27.9	27.54	28.26
Hhla1	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.07
Hpd	0.0	0.0	0.0	0.0	0.0	0.07	0.07	0.15
Htr5a	0.0	0.0	0.0	5.23	0.0	10.69	10.48	9.74
Il17c	0.0	0.0	0.0	0.0	0.0	0.16	0.15	0.16
Il18rap	0.0	0.0	0.0	0.0	0.0	0.04	0.08	0.04
Inhbc	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.1
Kel	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Kera	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Klf3	0.0	0.0	0.0	0.0	0.0	15.86	16.95	20.25
Krt80	0.0	0.0	0.0	0.0	24.46	5.1	3.98	4.4
Lamc1	0.0	0.0	0.0	0.0	0.0	13.63	13.99	15.23
Lao1	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Lmx1b	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.09
Lrrc7	2.26	0.0	0.17	10.31	6.04	40.2	29.07	45.43
Lsm14a	0.0	0.0	20.04	0.0	0.11	57.18	59.15	55.21
Ltf	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04
Mapt	130.14	341.18	0.0	103.77	73.5	238.54	239.35	249.5
Mstn	0.0	0.0	0.0	0.0	0.0	0.26	0.28	0.35
Myog	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Myom2	0.0	0.0	0.0	0.0	0.0	0.08	0.07	0.08
Ncr1	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
Nkx6-3	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
Obox5	0.0	0.0	0.0	0.0	0.0	0.15	0.14	0.16
Ogfr	0.0	0.0	0.0	0.06	0.13	40.39	38.33	36.92
Olfr1419	0.0	0.0	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.0	0.0	0.11	0.1	0.11
Olfr15	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
Olfr55	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.33
Otop3	0.0	0.0	0.0	0.0	0.0	0.04	0.12	0.04
Otx2os1	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.14
Pbxip1	0.0	0.16	0.31	0.0	0.0	31.86	30.67	32.85
