	Cux2_tdTnegative_cell_6	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_51	PvalbF.Gad2_tdTpositive_cell_64	PvalbF.Gad2_tdTpositive_cell_66	PvalbF.Gad2_tdTpositive_cell_68	PvalbF.Gad2_tdTpositive_cell_70	Scnn1a.Tg3_tdTnegative_cell_15	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110015O18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.43	0.87
1110017F19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.96
1300015D01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03
1600014C23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84
1700001G17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.24
1700001K23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.22
1700007G11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	1.1
1700009J07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11
1700010K23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48
1700018G05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.01	0.56
1700034F02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.14
1700034I23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.22
1700039E15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.12
1700045I19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03	0.96
1700047G03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12
1700055N04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.06
1700057H15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11
1700057K13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12
1700096J18Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.24
1700101E01Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.56
1700120G07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12
1700125G22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12
1810011H11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.63
2210409D07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48
2310039H08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.73	6.28
2610528J11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.23
2810442N19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94	1.82
2900002K06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.92
4930443G12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.07
4930444M15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.06
4930471C04Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.24
4930547E08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96
4930578C19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.14	0.91
4930581F22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.43	3.74
4930588N13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.52	0.48
4930590L20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.22
4930592I03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11
4931423N10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.22
4933402J15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06
4933407E24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.11
4933408J17Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.12
4933411K16Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.22
4933422H20Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.11
4933424G05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12
4933432I03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.88
4933440M02Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12
5031425F14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06
5330411J11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.06
5530401A14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06
5830411N06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.07
5830416I19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.12
6430562O15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	0.07
9130206I24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.07
9330111N05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.07
9430014N10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28
9430076C15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03
A330040F15Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.86	6.29
A4gnt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.07
AI427809	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.06
AY358078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07
Acot12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.24
