	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_26	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_83	Ndnf_tdTpositive_cell_19	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_22	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_8	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_80	Sst_tdTpositive_cell_96	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1500009C09Rik	1.26	75.29	117.88	56.63	2.2	2.81	0.0	29.88	0.0	159.37	0.0	24.98	52.47	66.14	5.16	11.85	27.47	0.0	0.0	52.91	2.39	52.2	6.51	0.0	2.68	191.12	0.64	45.05	11.97	7.92	0.0	0.0	0.18	41.92	35.81	0.0	0.0	13.09	33.35	0.0	0.0	74.52	42.02	15.94	19.11	50.5	57.75	0.0	0.0	31.67	36.19	25.75	17.21	19.32	99.07	105.17	96.47
2310004N24Rik	97.19	0.0	56.49	75.51	0.0	0.0	0.0	229.05	17.28	118.34	0.0	180.0	23.27	137.34	0.0	51.49	72.07	0.0	117.51	35.14	33.49	0.0	45.7	0.0	25.92	350.07	0.0	109.81	0.0	217.84	116.95	26.21	35.29	58.23	71.54	0.0	0.0	57.45	138.51	0.0	0.0	88.92	150.21	76.94	35.73	1.12	181.34	0.0	0.0	86.06	78.07	75.26	43.12	73.32	37.26	37.89	33.62
4921510H08Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05
4921524J17Rik	46.87	47.49	39.27	27.51	35.11	0.0	0.0	0.0	0.0	177.56	0.0	0.0	0.11	0.0	0.0	0.0	0.0	5.37	4.93	24.74	0.0	35.56	81.53	103.06	42.14	260.03	0.0	101.95	0.0	34.44	0.0	75.73	0.0	35.84	47.61	0.0	0.0	77.47	160.83	0.0	0.0	0.0	75.69	0.0	0.9	90.77	41.6	0.0	0.0	73.06	35.18	89.61	78.02	88.59	16.72	16.59	15.78
4930428E23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.14	0.3
4933406I18Rik	0.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.15	0.0	0.0	0.0	0.0	48.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.78	1.33	4.76	2.07	0.34	1.85	1.35	1.98
5730460C07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.36	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.16	1.27	0.0	0.07	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37	0.0	0.0	0.16	0.0	0.0	0.0	0.19	0.16	0.0	0.0	0.0	0.06	0.0	0.0
A330102I10Rik	0.0	0.0	0.45	4.16	0.0	190.03	0.0	9.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.55	0.06	0.0	11.84	5.15	5.33	0.0	48.92	5.07	26.11	336.78	19.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.69	0.0	0.0	25.8	0.5	0.0	0.0	0.0	34.6	0.0	0.0	0.0	0.0	0.0	42.93	15.16	32.4	21.83	38.64	29.83	10.22	10.24	11.88
AA960436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.78	21.64	0.0	0.14	0.0	191.04	82.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.0	0.0	0.0	37.82	0.0	0.0	7.6	30.92	0.0	11.13	16.93	10.31	9.45	8.2
AI854517	14.37	0.78	27.34	0.0	25.67	40.68	0.0	0.0	0.0	68.05	0.0	0.04	25.33	0.0	0.0	0.0	0.06	0.0	0.0	10.57	0.0	3.19	0.0	3.18	0.0	65.19	22.92	0.06	0.0	23.48	21.6	15.03	0.87	0.49	0.0	0.0	0.0	10.02	28.69	0.0	0.0	0.0	4.36	26.98	0.31	0.0	0.0	0.12	0.0	11.89	3.33	4.09	8.69	6.71	22.64	22.37	22.72
