	Calb2_tdTpositive_cell_3	Cux2_tdTpositive_cell_2	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_56	Cux2_tdTpositive_cell_69	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_2	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_9	Nr5a1_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_14	Nr5a1_tdTpositive_cell_33	Nr5a1_tdTpositive_cell_37	Nr5a1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_38	Rbp4_tdTpositive_cell_3	Rbp4_tdTpositive_cell_62	Rbp4_tdTpositive_cell_171	Rorb_tdTpositive_cell_11	Rorb_tdTpositive_cell_15	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_7	Scnn1a.Tg3_tdTpositive_cell_85	Scnn1a.Tg3_tdTpositive_cell_97	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_4	Sst_tdTpositive_cell_27	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3
1700047I17Rik2	7.62	3.11	3.24	4.07	1.14	4.9	0.0	6.27	26.37	19.28	4.1	0.48	7.45	1.69	4.87	24.68	1.07	4.86	57.54	0.81	4.29	60.7	4.87	18.88	14.66	5.74	1.53	1.52	0.0	21.56	14.42	11.21	10.72	11.25	13.41	14.19	19.02
1810063B07Rik	13.48	20.04	9.13	30.24	23.52	7.03	0.0	15.05	11.8	3.97	11.19	15.91	10.68	58.67	31.2	6.89	4.88	61.43	1.65	7.06	26.24	97.52	13.42	18.04	18.21	35.45	3.65	11.48	0.28	3.65	30.22	41.91	27.63	34.41	19.5	19.85	17.47
3110035E14Rik	2.16	3.4	8.2	7.15	360.67	1.42	0.0	0.2	1.06	101.38	167.66	3.22	3.96	21.96	35.11	18.38	993.2	184.64	2.76	132.4	6.82	207.9	19.37	0.84	1.38	0.0	297.08	0.0	0.0	0.0	520.77	609.37	500.56	362.32	558.26	478.83	506.56
4930431P03Rik	0.0	0.06	0.0	0.1	0.0	0.0	0.0	0.1	0.17	0.15	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.41	0.05	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.09	0.0	0.0	0.0
4933432I09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.81	145.38	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26
4933438K21Rik	1.76	1.75	1.87	0.47	1.97	1.17	0.0	3.08	1.09	2.45	2.64	1.49	0.24	0.54	0.31	0.62	0.66	0.26	0.3	1.77	0.57	5.65	0.85	1.11	1.42	4.55	1.9	0.0	0.0	0.31	1.59	1.32	1.49	0.78	0.71	1.61	0.72
A230051G13Rik	0.54	0.08	0.31	0.27	0.13	0.0	0.0	0.17	0.3	0.13	0.19	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.11	0.07	0.46	0.02	0.0	0.03	0.0	0.33	0.0	0.0	0.23	0.3	0.29	0.16	0.29	0.07	0.0	0.0
AK010878	11.19	5.25	8.25	44.91	188.11	9.71	0.0	4.06	6.43	14.81	173.69	164.12	139.72	154.08	5.45	1.41	3.69	138.58	4.09	9.84	21.11	148.14	7.99	19.06	6.67	14.91	2.11	0.0	4.13	180.46	47.83	75.3	57.7	29.23	43.89	51.83	46.56
Abcc5	93.2	165.59	4.79	138.27	246.27	31.46	0.0	40.32	68.22	129.15	290.75	225.15	286.98	100.29	33.67	57.91	112.05	60.47	70.82	114.08	127.69	234.97	194.1	99.66	360.61	31.6	118.44	0.0	133.4	71.54	190.6	145.55	126.8	89.1	220.67	195.24	232.0
Acat1	136.09	94.17	81.5	0.07	231.66	75.59	0.0	2.76	0.11	103.75	305.68	0.72	0.11	142.83	123.91	271.56	178.82	151.23	191.78	96.54	0.27	497.99	65.06	74.5	162.15	116.98	286.02	0.0	0.0	2.0	179.33	217.08	175.42	185.89	189.5	203.33	180.86
Adcy3	70.81	0.0	0.0	0.0	0.0	0.0	0.0	2.19	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	2.61	0.0	0.0	128.69	19.68	0.0	0.0	7.43	0.0	0.0	0.0	0.0	0.0	0.0	0.84	3.77	3.37	5.08	2.63	4.96
Ado	223.11	244.14	421.11	180.37	42.8	459.85	368.63	235.65	399.66	252.54	503.14	243.47	405.48	71.79	54.68	287.01	446.11	363.68	373.41	320.29	0.0	881.46	173.19	49.14	393.24	62.8	280.67	0.33	0.0	305.34	245.11	351.54	231.46	127.94	643.42	375.03	471.16
Amz2	101.7	96.74	93.76	0.08	0.19	0.0	0.0	0.16	4.55	1.13	0.0	0.19	154.95	0.0	72.22	103.68	0.0	13.02	0.0	42.32	131.44	0.75	2.37	62.97	5.32	0.0	0.39	0.0	0.0	0.0	24.06	40.21	65.86	49.79	33.83	36.57	48.54
