	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Cux2_tdTpositive_cell_6	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_22	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47
Acox1	0.0	0.0	0.0	42.19	0.0	0.0	0.0	69.54	107.3	66.61	77.48	23.47	39.82	45.28	4.34	9.79	0.24	95.54	65.31	474.99	0.0	4.08	0.41
Apoo	0.0	0.0	0.0	707.88	0.0	0.0	0.0	250.76	285.93	497.91	448.36	559.43	910.36	1147.21	554.09	758.62	1.45	1375.57	0.0	986.16	0.0	484.91	0.0
Arxes2	0.0	0.0	0.0	203.26	0.0	0.0	0.0	0.0	106.93	53.59	106.68	86.53	2.24	2.14	150.07	42.58	0.0	1241.2	0.0	832.52	0.0	0.0	506.1
Brp44	0.0	0.0	0.0	65.6	419.51	0.0	0.0	178.25	237.05	261.12	98.8	31.9	41.59	115.5	273.71	127.47	0.0	607.95	0.0	427.48	0.0	243.61	0.51
Capza1	0.0	0.0	0.0	44.28	0.0	2.07	0.0	1.22	0.11	32.98	50.75	48.76	24.36	88.8	34.47	0.0	0.1	1236.87	27.57	869.69	0.0	45.82	1.04
Cct7	0.45	0.0	0.0	226.09	0.0	0.0	0.67	805.04	302.34	335.17	385.51	332.47	344.7	112.69	147.27	384.4	1.18	1796.51	2.53	2066.46	0.0	576.0	3.57
Cdh10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.37	5.33	0.0	0.0	159.6	5.82	0.0	0.0	63.14	0.09	720.88	0.0	566.24	0.0	39.87	0.12
Cndp2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	12.0	56.61	116.44	0.19	0.0	11.15	0.0	0.0	0.16	1199.7	0.0	479.4	0.0	75.24	1.02
Ctnnd2	0.0	0.0	0.0	56.17	0.0	0.0	0.0	40.93	66.56	75.6	90.2	179.41	175.42	190.23	104.71	126.69	0.05	517.87	30.09	264.38	0.0	100.3	116.21
Ddx24	37.66	0.0	0.0	183.1	0.0	0.0	0.0	212.53	290.51	156.85	255.03	213.57	178.08	95.39	31.63	59.0	0.0	898.77	0.0	620.72	0.0	274.89	1.14
Dhx57	0.0	0.0	0.0	0.06	0.0	0.0	0.0	5.74	2.78	0.0	1.13	0.0	2.39	5.54	0.0	4.5	0.0	21.16	0.0	20.3	0.0	4.18	0.0
Ehd3	0.0	0.0	0.0	61.75	0.0	0.0	0.0	54.21	11.57	81.83	10.37	31.91	0.0	7.73	16.51	8.93	0.29	663.03	0.0	426.47	0.0	0.0	0.23
Elavl3	0.0	0.0	2.61	27.43	0.0	0.0	0.0	60.71	32.27	13.01	15.76	32.43	3.84	35.2	1.24	0.87	0.05	59.91	0.89	294.42	0.13	13.91	0.15
Fbxo38	0.0	0.0	0.0	0.0	18.7	0.0	0.0	0.29	0.0	29.83	14.62	29.02	0.0	0.91	5.97	0.31	0.0	780.79	0.52	367.62	0.0	11.58	137.03
Fto	0.0	0.0	0.0	190.11	0.0	0.0	0.0	170.65	27.1	44.89	201.47	0.66	60.25	22.0	0.0	5.68	0.36	349.23	0.0	133.18	0.0	44.1	19.52
Mettl11a	0.0	0.0	0.0	223.87	0.0	0.0	0.0	0.0	81.7	0.0	12.0	13.62	102.89	0.0	7.05	38.25	0.27	1239.4	0.0	1019.49	0.0	45.64	0.7
Mir690	13942.93	18673.1	26828.41	25738.25	18365.55	19376.41	15562.4	30464.78	30528.33	39867.27	42000.18	28765.87	28695.45	37370.15	37614.4	32522.04	27509.93	44948.68	42282.55	27759.51	35532.88	48007.3	26597.61
Pou3f2	0.0	0.0	0.0	85.86	0.0	1.51	1.62	178.69	126.68	43.21	27.44	6.17	4.81	12.87	1.91	28.71	1.95	205.95	0.32	134.58	0.1	35.86	0.98
Rqcd1	0.0	0.0	0.0	53.6	0.0	0.0	0.0	88.15	119.95	116.78	49.19	3.24	33.44	5.44	162.88	1.96	0.2	555.43	0.24	811.75	0.0	47.22	0.25
