	Ndnf_tdTpositive_cell_7	Nos1_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_21	Rbp4_tdTpositive_cell_152	Rbp4_tdTnegative_cell_18	CAV_VISp_Contra_tdTpos_cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310044H10Rik	56.86	0.0	0.79	0.73	0.0	0.26	215.98	240.68	232.45
AI662270	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.47	0.29
Abl2	1.09	0.86	16.39	18.55	0.86	1.83	24.45	24.4	24.39
Apof	0.2	0.0	0.33	0.34	0.0	0.25	0.58	0.43	0.53
Arc	0.0	0.0	43.18	6.71	0.0	0.0	381.43	274.86	137.85
Cadps	0.0	0.0	5.98	71.95	0.0	22.81	144.91	144.37	143.17
Camsap2	0.04	0.02	22.35	21.98	0.0	0.0	69.2	62.43	66.22
Camta2	0.0	0.0	28.03	0.07	20.64	0.32	170.0	169.56	174.78
Cggbp1	0.0	0.0	2.36	39.12	0.0	2.68	42.8	40.68	38.76
Cntnap1	0.0	0.0	17.91	25.35	0.0	0.09	146.45	139.24	144.43
Cpm	0.48	0.05	0.16	0.34	0.12	0.0	5.67	4.86	5.2
D17Ertd648e	0.0	0.0	0.0	0.0	0.0	0.0	11.77	7.97	10.82
Ddo	0.0	0.55	18.45	0.0	0.0	0.0	4.83	4.71	4.76
Dennd2a	0.0	0.0	0.0	0.3	0.0	0.0	13.72	13.99	14.37
Dhx15	0.12	0.11	24.97	48.21	25.53	0.16	73.12	69.9	69.27
Dnajb5	0.0	0.0	0.27	7.18	0.0	0.0	140.11	132.47	105.89
Drosha	0.0	0.0	15.46	23.6	0.0	37.55	72.26	69.27	68.76
Eftud2	0.0	0.0	208.58	82.52	0.0	19.31	79.12	82.12	77.62
Epha5	0.0	0.0	23.01	4.22	0.0	0.06	31.45	28.84	31.32
F2rl2	0.0	0.0	0.26	0.0	0.0	0.0	2.03	1.35	1.34
Fam168a	0.0	13.2	3.97	104.76	95.37	28.06	138.38	130.56	137.97
Fjx1	0.0	0.0	0.39	0.0	0.0	0.0	73.38	79.2	83.24
Fyn	0.0	1.1	46.93	29.67	0.0	1.12	86.91	88.84	93.92
Gdf6	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Glud1	0.0	0.05	11.88	20.66	0.0	0.0	180.31	196.86	186.58
Golga2	0.0	0.0	7.93	0.23	0.14	0.88	59.22	61.56	61.7
Hdac2	0.0	0.0	17.99	1.02	0.0	52.8	97.43	91.4	94.39
Hook1	0.0	0.0	11.87	36.48	0.0	0.0	47.35	42.78	46.19
Inha	0.0	0.0	74.74	15.03	0.0	0.0	38.56	39.48	40.02
Inhbc	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.05	0.1
Itpr1	0.0	1.57	44.01	23.0	0.0	17.29	211.99	196.39	212.52
Kcnab2	0.0	0.0	12.6	5.12	0.0	1.48	267.74	284.22	279.19
Lrsam1	0.0	0.0	0.0	67.55	0.0	0.0	21.86	22.28	21.39
Mamld1	0.0	0.0	28.15	14.06	0.0	0.0	20.1	17.18	21.25
March5	3.41	1.27	2.65	8.76	2.61	5.17	67.44	73.94	70.7
Mbtps2	0.0	0.04	0.23	2.92	0.0	0.4	18.29	17.06	17.71
Mid1	0.0	0.35	1.54	1.23	0.0	1.01	12.92	22.49	31.82
Mpp2	0.0	0.04	57.74	0.16	0.0	6.02	102.69	102.07	97.3
Mras	0.0	0.0	72.71	0.0	0.0	37.94	136.61	125.31	139.08
Msh4	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Mta1	0.0	0.0	0.45	1.82	0.0	0.0	51.69	54.19	55.54
Nlrp12	0.0	0.07	0.0	0.0	0.0	0.0	0.07	0.02	0.07
Nlrp1a	0.0	0.03	1.68	0.84	0.0	0.63	2.56	2.09	2.3
Nol3	3.1	1.36	3.34	1.54	5.21	5.61	19.53	20.57	21.09
Npcd	0.0	0.4	18.77	28.17	0.0	30.85	247.5	166.76	178.33
Nron	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.06
Nudt4	0.0	6.51	94.04	5.62	0.0	0.15	143.72	140.46	131.02
Odz1	0.0	0.0	0.11	0.0	0.0	0.0	13.1	10.62	12.45
Phyhip	0.0	0.0	41.92	50.04	0.0	70.36	399.59	415.43	391.87
Pld5	0.0	0.0	0.21	0.0	0.0	0.15	6.64	5.61	7.19
Prr5	1.82	0.08	0.0	0.78	0.0	0.25	5.73	5.99	4.84
Pygo2	0.0	0.0	0.0	20.02	0.0	0.0	39.59	39.08	37.66
Rin1	0.39	0.13	1.18	0.63	0.75	2.87	40.41	39.93	40.75
