	Calb2_tdTpositive_cell_48	Calb2_tdTpositive_cell_50	Calb2_tdTpositive_cell_53	Calb2_tdTpositive_cell_58	Cux2_tdTnegative_cell_2	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_7	Gad2_tdTpositive_cell_41	Htr3a_tdTpositive_cell_85	Ndnf_tdTnegative_cell_4	Ndnf_tdTnegative_cell_7	Ndnf_tdTnegative_cell_10	Nr5a1_tdTpositive_cell_51	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_17	Ntsr1_tdTnegative_cell_25	Ntsr1_tdTnegative_cell_26	Ntsr1_tdTnegative_cell_33	PvalbD.Slc32a1_tdTpositive_cell_36	PvalbF.Gad2_tdTpositive_cell_31	PvalbF.Gad2_tdTpositive_cell_83	Rbp4_tdTpositive_cell_165	Rorb_tdTpositive_cell_39	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_54	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_4	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_16	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg2_tdTnegative_cell_19	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
1300010F03Rik	42.2	67.04	0.0	0.0	35.6	0.0	0.0	0.0	0.0	28.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.63	9.35	8.13	0.8	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	138.67	0.81	1.67	2.5	19.64	19.13
2310057M21Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	90.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.03	20.39	42.1	17.28	0.0	0.19	0.08	0.2	0.0	0.33	0.0	0.0	0.0	33.77	34.99	35.15	22.44	22.94
2700049A03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	117.37	49.08	30.22	0.0	0.0	0.0	0.04	0.15	0.0	0.0	0.0	0.0	0.0	0.0	8.25	0.0	6.01	0.0	2.63	0.06	0.0	156.16	0.2	0.0	0.0	0.0	4.05	4.33	4.94	4.43	4.49
8430410K20Rik	0.0	0.0	16.6	0.0	0.0	0.0	0.0	0.2	0.0	356.33	0.0	0.0	0.0	0.0	23.3	0.0	0.0	340.8	5.49	0.0	158.53	45.21	52.18	34.15	0.13	873.41	0.45	0.0	0.09	0.54	0.0	1.57	0.0	126.25	63.87	69.27	52.26	53.77
A830010M20Rik	0.2	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.81	0.0	0.0	0.0	45.07	0.12	0.0	0.51	0.0	0.0	1.11	110.33	42.16	55.29	52.65	0.26	0.26	0.11	0.18	0.34	0.22	0.06	0.31	0.06	101.0	92.35	95.69	66.44	60.63
Adcy1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.42	0.0	0.0	0.0	32.97	0.0	0.0	0.0	0.0	0.0	0.05	15.09	22.41	54.35	22.78	0.03	0.07	0.04	0.03	0.02	0.09	0.02	0.06	0.0	51.06	49.75	57.0	224.96	212.91
Akap2	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.35	0.0	0.0	0.0	0.2	0.0	0.0	0.25	0.0	0.0	0.0	1.26	4.14	14.3	2.77	0.0	0.12	0.0	0.0	0.04	0.03	0.04	0.0	0.0	6.61	6.09	9.67	33.13	32.94
Aldoc	17703.9	19416.5	16689.54	27830.39	13110.56	15503.2	17258.59	22432.92	16251.98	895.19	16673.43	14652.43	21732.8	7969.48	14019.0	16496.13	15983.35	14423.97	13460.76	8364.93	677.22	1880.55	1764.78	40.37	23123.65	16995.63	22112.8	13224.32	22568.75	12474.19	24349.99	15144.23	19480.1	235.79	145.45	182.34	798.66	828.67
Apex2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.32	0.0	0.0	0.0	3.82	598.93	0.0	0.0	0.0	0.0	0.32	0.0	14.39	80.28	5.55	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.0	0.0	11.09	8.66	11.72	4.58	4.22
Cacnb4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.96	0.0	0.0	0.0	15.51	0.0	0.0	0.1	0.0	0.0	0.75	53.98	62.99	62.34	68.38	0.27	0.42	0.18	0.16	0.32	0.23	0.04	0.18	0.05	103.11	105.68	111.42	106.94	89.5
