	Ctgf_tdTpositive_cell_3	Rbp4_tdTpositive_cell_155	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
1110065P20Rik	0.0	20.87	61.88	75.89
1200009I06Rik	0.0	0.0	1.08	0.86
1700001K23Rik	0.0	0.0	0.22	0.2
1700019A02Rik	0.0	0.0	0.49	0.16
1700023F06Rik	0.0	0.0	1.7	3.28
2410016O06Rik	0.0	0.0	14.93	17.08
4930403N07Rik	0.0	0.0	0.04	0.04
4930427A07Rik	0.0	0.27	0.91	1.48
4930572J05Rik	0.0	0.0	62.99	72.32
4931423N10Rik	0.0	0.0	0.22	0.2
4933428C19Rik	0.0	0.0	0.0	0.0
9630033F20Rik	0.0	14.0	22.21	22.38
A530050N04Rik	1.4	0.34	1.48	1.01
A730017C20Rik	0.0	33.52	48.79	51.09
A930024E05Rik	0.0	0.0	3.34	3.26
AA792892	0.0	0.0	0.7	0.47
AI316807	0.0	0.0	33.02	33.81
Acvr2b	0.0	0.0	7.08	5.81
Agap2	0.0	4.47	422.27	459.59
Alkbh4	0.0	0.0	6.35	6.99
Angptl6	0.0	0.0	8.46	9.19
Ankdd1b	0.0	0.0	4.56	5.51
Aqr	0.0	0.19	25.57	23.56
Armc5	0.0	0.0	9.42	10.04
Ascc1	0.0	0.0	23.75	23.68
Asl	0.0	0.0	19.7	21.94
Atp8b3	0.0	0.0	0.04	0.04
Blk	0.0	0.0	0.04	0.04
C2cd2l	0.0	0.56	101.81	111.13
C2cd4b	0.0	0.0	7.9	8.39
C8b	0.0	0.0	0.04	0.04
Cacnb2	0.0	4.23	33.74	31.87
Casp2	0.0	0.0	9.77	9.37
Ccdc117	0.0	0.0	16.29	15.62
Ccdc142	0.0	0.98	8.09	10.04
Ccr10	0.0	0.0	0.52	0.76
Cenpv	0.0	8.9	25.68	29.71
Chmp4c	0.0	0.0	0.11	0.21
Ciita	0.0	0.0	0.55	0.48
Cnih4	16.5	17.79	24.27	25.27
Cntf	0.0	0.0	1.75	1.33
Cog6	0.0	158.42	38.12	35.49
Ctps	0.0	0.0	37.82	40.1
Cuzd1	0.0	0.0	0.61	0.33
Cxcr7	0.0	0.0	9.64	10.37
Cys1	0.0	0.0	4.12	5.94
D430020J02Rik	0.0	0.0	3.14	2.86
Dhx8	0.0	3.1	26.43	25.96
Dnahc10	0.0	0.0	0.53	0.62
Dspp	0.0	0.0	0.11	0.1
Ehd1	0.0	0.0	28.87	31.98
Etf1	0.0	0.0	60.18	59.44
Fbn1	0.0	0.03	2.98	3.08
Foxi1	0.0	0.0	0.04	0.04
Gamt	0.0	0.0	22.92	29.52
Gjb6	0.0	0.0	46.48	51.23
Gm2002	0.0	0.12	1.73	1.86
Gm5860	0.0	2.17	4.56	3.46
Gm6907	0.0	0.0	0.33	0.62
Gpatch4	0.0	0.19	19.41	20.72
Gpr171	0.0	0.0	0.09	0.0
Hdac7	0.0	1.85	23.81	23.78
Hhla1	0.0	0.0	0.04	0.04
Hip1	0.0	0.08	23.09	22.58
Hist1h3f	0.0	0.0	0.14	0.14
Hist1h4a	0.0	0.0	0.91	0.62
Hmga1	0.0	0.0	27.31	33.51
Hoxc8	0.0	0.0	0.04	0.04
