	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_7	Ctgf_tdTpositive_cell_8	Cux2_tdTpositive_cell_1	Cux2_tdTpositive_cell_6	Cux2_tdTnegative_cell_4	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_141	Rbp4_tdTpositive_cell_156	Rbp4_tdTpositive_cell_175	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_178	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_8	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_19	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_1	Rorb_tdTpositive_cell_14	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Scnn1a.Tg2_tdTpositive_cell_20
1700047I17Rik2	2.63	2.8	0.52	1.44	24.2	53.66	2.15	8.99	1.72	0.0	0.51	12.91	9.76	3.15	14.27	5.76	20.98	5.46	8.34	7.18	19.37	14.89	14.56	9.35	7.99	429.48	22.4	17.14	7.53	0.4	2.34	1.39	1.36	14.37	18.77	26.7	2.26	32.93
4932411L15	1.17	4.68	35.84	84.97	222.5	287.28	0.0	20.43	200.68	51.04	219.56	179.74	247.1	208.81	236.93	369.35	145.88	129.16	1647.3	363.22	275.2	481.15	200.93	308.85	40.0	561.86	372.7	73.92	83.58	54.42	124.63	721.14	126.16	133.08	305.43	221.65	15.88	1343.04
Ccl27b	0.0	0.0	0.0	0.0	21.32	113.94	0.0	0.0	0.0	0.0	10.7	54.72	30.68	0.23	50.62	21.3	2.24	0.47	110.35	114.35	145.03	0.49	118.2	75.28	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	17.79	0.0	150.8	0.46	49.16
Cd200r2	2.55	0.0	0.0	0.75	18.18	33.96	0.0	0.58	0.59	0.0	0.76	10.97	13.78	9.3	18.07	13.14	6.1	12.03	124.09	26.43	20.07	30.29	19.32	16.96	15.99	25.72	22.57	38.75	1.23	1.67	0.79	15.86	22.82	13.3	23.26	10.01	20.4	45.75
Cmah	0.1	0.04	0.92	0.81	18.09	64.78	0.21	16.18	0.0	0.0	26.94	24.6	8.45	10.89	18.98	7.26	29.23	14.46	77.01	22.15	11.77	5.94	45.07	34.61	0.1	150.36	34.24	29.45	0.74	113.1	3.89	5.34	95.67	15.03	64.19	1.15	0.89	94.26
D14Ertd668e	0.0	0.0	0.0	0.0	0.65	0.17	0.0	0.0	0.0	0.0	0.0	0.47	0.0	1.68	0.0	0.9	0.0	0.0	1.41	0.6	0.0	3.03	0.42	3.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.49	4.67	0.9
E130112N10Rik	9.22	7.89	13.2	15.59	14.55	12.64	0.0	6.43	7.14	0.0	9.25	8.46	8.38	11.08	14.93	13.53	7.78	14.19	98.93	38.4	25.82	36.18	18.48	9.0	5.17	60.55	25.42	146.15	8.66	1.14	12.97	30.6	11.74	8.4	21.8	6.18	27.41	35.14
Eif2ak2	17.07	19.04	5.14	21.43	56.94	98.19	0.13	19.2	33.16	0.0	38.06	39.58	38.8	35.66	103.94	71.51	33.38	34.42	373.62	72.9	94.26	124.71	60.11	59.79	40.91	222.5	79.6	135.88	19.65	22.77	49.82	31.01	44.45	65.08	110.14	38.83	85.09	106.88
Eif2s3y	253.53	0.0	256.62	0.0	346.28	397.04	0.0	0.0	30.84	0.0	1.48	143.48	85.74	110.29	117.63	79.32	108.48	4.98	281.7	191.99	56.12	86.79	92.04	91.99	6.43	0.0	134.2	146.54	0.37	0.4	6.03	0.0	126.0	0.0	403.51	11.38	582.16	116.6
Epha7	550.55	0.0	0.0	0.0	482.13	16.29	0.0	0.0	0.0	0.0	35.16	40.73	86.73	36.45	49.16	0.0	237.91	0.04	45.46	11.3	6.24	68.61	27.08	146.98	0.1	0.0	49.8	0.0	0.0	0.11	0.29	0.0	0.0	0.11	438.08	46.19	0.06	76.06
