	Calb2_tdTpositive_cell_4	Calb2_tdTpositive_cell_7	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_6	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_6	Htr3a_tdTpositive_cell_12	Htr3a_tdTpositive_cell_104	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_20	Ndnf_tdTnegative_cell_4	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTnegative_cell_35	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_149	Rbp4_tdTpositive_cell_160	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_180	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_4	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_20	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_47	Scnn1a.Tg3_tdTnegative_cell_16
4933433P14Rik	203.53	97.56	0.0	0.0	143.2	19.82	2.23	0.0	0.0	0.0	0.0	0.0	0.46	6.87	176.76	133.39	66.83	17.37	31.58	187.88	118.36	54.9	0.0	0.0	0.61	76.12	0.0	0.0	0.14	0.52	0.0	0.0	0.0	0.13	5.38	192.67	0.21	0.0	60.58	0.3	0.0
AI593442	206.29	268.98	0.0	0.0	0.0	300.61	38.77	0.0	0.0	0.0	0.0	0.0	1120.17	191.06	466.8	558.49	449.19	266.7	249.82	1424.58	140.07	432.48	411.27	662.94	275.64	486.07	0.0	0.0	0.0	1.16	0.0	0.0	0.8	0.19	0.05	0.16	0.0	0.0	779.61	0.66	0.0
Atp9b	0.0	0.0	0.0	0.0	0.0	1.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	6.74	40.04	54.52	0.14	49.26	136.81	51.81	18.52	136.21	0.13	0.52	6.76	0.0	0.0	0.0	0.13	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.74	21.18	0.0
B3galt2	0.0	107.39	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	3.65	235.19	169.36	158.85	232.27	8.87	44.73	403.75	77.85	61.97	4.57	92.67	90.19	0.0	0.0	0.0	0.0	0.0	0.0	17.91	0.0	0.0	0.0	0.0	0.0	0.0	38.89	5.31	0.0
Ccl27b	0.82	0.0	0.0	0.0	0.0	113.94	0.0	0.0	0.39	0.0	0.0	0.0	10.7	9.94	54.72	30.68	0.23	50.62	21.3	2.83	387.32	40.26	114.35	145.03	118.2	75.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.8	0.46	0.0
Cdkl4	0.06	258.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.54	29.13	63.19	92.94	0.0	211.88	98.94	24.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	103.64	0.0	0.0
Cdr2l	0.15	0.41	0.0	0.0	0.14	0.27	1.87	0.0	0.0	0.0	0.0	0.37	8.04	1.55	3.63	21.06	24.63	44.34	0.66	96.14	0.52	11.14	37.52	43.53	45.08	0.72	1.05	0.71	0.5	430.63	1.07	420.39	1.27	1.55	200.93	0.07	5.42	0.16	1.34	0.66	0.09
Cxx1c	174.16	765.8	14.26	0.0	0.0	208.76	233.85	0.0	0.0	0.0	0.0	0.0	138.57	299.74	774.35	359.65	525.72	452.12	364.38	734.36	396.64	622.36	404.13	891.34	596.12	491.88	0.74	0.7	0.0	0.8	0.0	0.0	0.0	0.38	0.0	0.2	0.0	0.0	537.4	143.22	0.0
Dem1	31.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	115.04	3.8	0.0	0.0	0.0	0.0	118.23	0.0	7.61	0.0	0.0	0.0	36.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0
Dnm1	8.22	64.69	0.0	0.0	0.0	286.55	1.83	0.13	0.0	0.0	0.0	0.18	11.22	36.14	65.89	75.92	46.15	11.85	37.8	62.64	39.09	36.26	33.46	69.02	42.49	64.19	0.0	0.0	0.0	0.19	0.2	0.0	0.0	0.09	0.0	0.05	0.0	0.12	33.52	0.11	0.0
