	Ntsr1_tdTnegative_cell_23	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_18	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
9430041J12Rik	0.0	0.0	0.0	5.03	4.15	4.55
Abhd8	0.0	0.0	0.0	258.73	291.63	278.41
Ap1s3	4.23	2.03	1.47	10.15	9.11	11.48
Arhgap10	0.0	0.0	0.0	20.74	20.65	19.65
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
Barx2	0.0	0.0	0.0	5.11	6.27	6.13
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Brap	11.05	17.5	0.0	39.73	39.84	40.7
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Ccdc92	0.0	0.0	0.0	71.98	81.2	75.98
Coq10a	0.23	0.0	0.61	27.62	29.36	27.88
Crispld1	0.0	0.0	0.0	3.84	3.1	3.51
Cyp7b1	0.0	0.0	0.0	13.12	12.19	13.12
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Dlgap3	0.0	0.0	0.0	226.76	237.6	239.55
Drosha	0.0	0.0	0.33	72.26	69.27	68.76
Dynlrb2	0.0	0.0	0.0	3.05	3.45	2.94
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
Egln1	0.0	0.0	0.0	59.34	62.16	58.89
Ep300	4.8	1.02	0.0	26.42	24.38	26.16
Foxg1	0.24	0.0	0.0	83.41	89.76	85.33
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Foxj2	0.0	0.0	0.0	20.03	19.9	19.98
Fscn1	0.65	41.18	134.74	187.25	206.18	214.83
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gm5108	0.0	0.0	0.0	5.31	3.56	5.9
Gps2	0.98	0.0	0.0	29.19	30.46	29.64
Hbegf	0.0	0.0	0.0	12.83	10.59	11.78
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Iqsec1	0.25	0.0	10.65	113.55	116.97	123.22
Kcnk6	0.21	0.38	0.0	3.52	2.75	3.76
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Letm1	0.17	0.0	0.0	54.68	58.8	55.57
Loh12cr1	0.0	0.44	0.0	36.13	42.18	38.35
Lynx1	0.0	0.0	0.0	249.12	247.11	249.79
Mamld1	0.0	0.0	0.0	20.1	17.18	21.25
Med16	0.65	2.22	1.96	41.23	46.11	45.2
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Pcdhb17	0.0	0.0	0.0	12.89	12.73	13.47
Pitpnm1	3.39	0.0	0.0	108.79	116.33	110.85
Rbp1	0.0	0.0	0.0	7.11	6.8	8.15
Rusc2	0.0	0.0	1.56	69.0	79.5	70.54
Slc14a1	0.0	0.0	0.0	7.37	6.61	7.2
Slc25a22	1.37	0.27	0.0	216.4	224.4	229.63
Slco6c1	0.0	0.0	0.0	0.04	0.04	0.04
Spopl	0.0	0.0	0.0	8.38	8.68	9.91
St3gal2	0.13	0.0	0.0	65.58	65.03	67.48
Stox2	3.38	2.06	0.0	37.81	34.32	35.05
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Vamp2	0.27	0.0	0.0	1049.62	1054.48	1042.78
Vash1	0.0	0.0	0.0	26.64	27.19	26.45
Vmn1r45	0.0	0.0	0.0	0.03	0.03	0.06
Wdr41	0.0	0.0	0.0	30.24	29.73	28.79
Zfp462	0.0	0.0	0.0	13.35	12.9	14.56
Zfp958	4.15	0.0	0.0	6.63	5.57	6.03
Znrd1as	0.62	0.0	0.0	4.35	3.41	3.85
Zp3r	0.0	0.0	0.0	0.05	0.05	0.05
mt_AK131586	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC104337	0.0	79.43	0.0	9032.87	8417.95	8583.15
