	Cux2_tdTpositive_cell_13	Cux2_tdTpositive_cell_18	Cux2_tdTpositive_cell_21	Cux2_tdTpositive_cell_29	Cux2_tdTpositive_cell_32	Cux2_tdTpositive_cell_103	Gad2_tdTpositive_cell_32	Ndnf_tdTpositive_cell_6	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_5	Nr5a1_tdTpositive_cell_12	Nr5a1_tdTpositive_cell_27	Rorb_tdTpositive_cell_15	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_27	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_24	Scnn1a.Tg3_tdTpositive_cell_45	Scnn1a.Tg3_tdTpositive_cell_49	Slc17a6_tdTpositive_cell_18
1810007I06Rik	1.35	1.66	0.0	9.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.76	2.52	0.0	2.94	0.0	0.62	0.0	4.74	0.0	10.34	0.0	0.0
2310034O05Rik	0.41	0.0	0.39	0.5	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.25	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.58
9830107B12Rik	1.58	1.03	0.22	2.46	0.68	0.91	0.24	0.0	0.0	1.78	0.2	2.34	0.79	4.19	0.92	3.45	0.95	0.4	1.13	0.71	0.0	1.54	0.81	1.07
A630075F10Rik	16.07	15.0	22.73	28.69	19.8	14.2	14.07	3.42	0.0	16.65	18.24	14.18	14.14	22.14	20.9	29.38	13.62	11.11	17.87	15.14	5.22	18.21	6.8	13.41
Acsbg2	0.35	0.0	0.14	0.31	0.0	0.0	0.0	0.0	0.0	0.39	0.0	0.0	0.19	0.49	0.0	0.09	0.04	0.07	0.0	0.0	0.0	0.0	0.05	0.0
Alx4	0.79	0.77	0.81	1.45	1.31	0.56	0.53	0.29	0.0	0.41	0.83	0.43	0.28	1.09	0.65	1.05	0.34	1.11	1.08	0.51	0.06	0.83	0.13	0.25
Ank	50.9	0.0	83.64	207.19	4.59	54.83	0.0	0.0	0.0	92.46	61.27	5.83	0.14	103.06	0.09	2.73	5.62	100.01	109.85	89.75	0.67	129.26	8.3	6.17
BC056474	13.86	119.66	128.6	425.24	164.87	107.81	0.0	0.0	11.39	0.86	0.0	0.0	328.16	571.04	84.94	358.68	88.61	118.69	83.78	207.3	0.0	23.88	162.95	0.0
Bzrap1	0.0	17.96	0.81	36.37	0.0	17.55	0.0	0.0	0.0	0.0	21.57	0.35	0.38	48.16	0.08	6.67	0.0	25.49	0.19	0.13	0.0	26.7	0.0	0.0
C87198	0.51	0.53	0.0	1.88	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28	0.2	3.22	0.19	0.0	0.94	1.38	0.0	0.0	0.0	0.0
Ccdc104	209.46	0.0	39.92	376.78	89.05	117.23	189.85	0.0	0.0	77.5	29.44	172.84	80.85	417.81	5.36	180.01	181.38	114.88	5.26	80.89	476.77	196.14	80.48	87.68
Ccny	76.42	0.0	0.0	132.64	0.59	5.01	0.0	0.0	0.0	0.0	0.0	0.0	7.06	93.18	0.0	11.8	43.83	0.0	0.0	9.44	0.0	19.67	23.55	0.0
Cdk11b	157.45	33.54	171.28	423.41	0.18	20.67	59.33	0.17	5.82	45.88	15.78	31.45	0.0	186.72	18.51	7.63	0.09	55.9	5.66	132.78	0.0	7.26	0.5	102.11
Cdk5r1	51.02	50.19	53.99	221.93	71.19	98.23	2.78	0.0	0.0	71.19	42.52	27.5	106.22	96.79	32.65	75.46	17.99	43.62	95.52	51.58	62.12	34.35	43.57	111.2
Csnk1g1	138.42	0.0	0.06	80.24	137.64	112.6	0.0	0.0	0.0	80.26	15.1	0.0	59.14	81.51	0.68	103.52	38.71	116.24	69.08	0.0	0.0	0.0	0.09	58.04
Cxadr	95.59	4.31	0.05	106.38	3.73	63.79	71.81	0.0	0.0	12.63	0.56	4.4	0.0	85.77	6.39	136.47	0.0	1.12	0.12	0.0	1.57	0.0	1.18	0.0
Dgcr6	220.67	0.0	21.71	265.15	1.54	0.0	0.0	0.0	0.0	0.15	66.01	0.0	14.0	99.35	185.79	136.33	107.92	0.0	0.0	147.88	154.32	0.0	5.79	31.41
Epb4.2	0.58	0.33	1.0	1.48	0.0	0.14	0.9	1.05	0.0	0.79	1.71	0.42	0.4	1.72	1.18	1.03	0.89	0.54	1.22	1.38	0.0	0.95	0.0	0.34
Fosb	7.78	0.0	0.0	51.43	0.0	67.51	29.11	41.68	0.0	0.1	0.0	0.0	31.22	60.87	67.87	60.01	0.0	0.0	0.0	34.04	0.98	30.29	0.0	2.28
Gm12185	1.21	0.3	1.06	2.46	0.0	0.39	0.42	0.0	0.0	1.35	0.17	0.54	0.56	1.76	0.43	1.4	0.06	0.86	0.43	0.66	0.0	0.44	0.23	1.2
