	Cux2_tdTpositive_cell_13	Gad2_tdTpositive_cell_31	Gad2_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_50	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_13	Ntsr1_tdTnegative_cell_16	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_22	Ntsr1_tdTnegative_cell_23	Ntsr1_tdTnegative_cell_24	Ntsr1_tdTnegative_cell_32	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Pvalb_tdTpositive_cell_81	Rbp4_tdTpositive_cell_10	Rbp4_tdTpositive_cell_23	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_154	Rbp4_tdTpositive_cell_155	Rbp4_tdTpositive_cell_163	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_172	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_7	Rbp4_tdTnegative_cell_12	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_18	Rorb_tdTpositive_cell_30	Rorb_tdTpositive_cell_31	Scnn1a.Tg2_tdTnegative_cell_3	Scnn1a.Tg2_tdTnegative_cell_17	Scnn1a.Tg3_tdTpositive_cell_95	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_3	Scnn1a.Tg3_tdTnegative_cell_6	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_15	Scnn1a.Tg3_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_22	Scnn1a.Tg3_tdTnegative_cell_23	CAV_LP_Ipsi_tdTpos_cell_25	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610010B08Rik	1.02	14.08	0.03	2.03	28.26	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.01	0.03	0.2	2.11	12.33	27.48	72.47	11.6	5.64	12.32	22.96	0.0	0.18	0.02	0.0	0.0	46.03	10.91	1.39	0.02	22.53	18.19	1.82	0.0	0.0	0.0	5.11	0.26	0.08	0.0	0.0	0.0	0.18	22.39	18.34	25.87
9430018G01Rik	0.17	0.86	0.0	0.04	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.09	0.0	0.0	0.3	2.08	1.46	0.3	1.26	0.16	0.23	0.0	0.58	0.0	0.0	0.0	3.24	0.14	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.17	0.12	0.0	0.09	0.0	0.0	0.0	0.33	0.29	0.16	0.29
Abhd12	44.46	0.22	0.0	152.08	283.95	0.0	0.0	0.0	0.27	0.0	0.25	13.62	0.0	8.02	0.0	0.0	0.0	11.23	4.98	119.08	334.11	149.26	103.2	41.81	51.67	0.24	0.36	160.81	0.0	0.0	151.6	85.86	0.0	0.0	368.62	0.0	0.0	412.43	0.0	0.0	21.81	0.0	0.0	0.22	0.0	508.96	0.15	309.4	343.65	332.54
B3galnt1	250.79	0.0	0.0	325.4	77.42	0.0	0.0	0.0	0.0	0.0	0.52	2.78	0.0	1.06	0.15	0.2	0.0	202.49	140.01	328.64	758.21	155.41	276.84	173.09	118.54	0.25	0.63	0.0	0.0	0.0	463.03	534.69	1.14	0.15	329.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	168.78	58.33	58.24	54.66
Camta1	2.96	16.1	0.04	83.6	27.29	70.61	0.0	62.03	0.0	0.0	0.0	0.0	15.05	0.0	0.03	0.0	0.05	37.84	29.12	29.25	205.17	16.31	26.52	48.97	22.39	0.0	42.25	0.0	0.0	0.0	49.85	29.3	0.36	0.05	32.33	0.0	0.0	0.1	0.0	0.0	0.12	0.14	0.0	0.08	0.0	0.19	33.76	87.9	82.51	86.09
Ccl27b	7.35	0.0	0.0	98.8	411.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.33	2.36	149.26	34.79	2.6	161.83	40.26	26.53	0.0	0.0	0.0	0.0	0.0	105.31	147.96	0.0	0.0	260.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.58	30.63	28.29	22.96
Chst1	226.85	118.75	0.08	8.37	138.95	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0.22	0.0	0.0	0.14	0.0	30.81	11.2	72.72	88.21	62.44	0.56	37.53	6.48	0.19	0.21	0.0	0.0	0.0	141.99	106.36	0.16	0.0	116.68	0.0	0.17	0.0	0.0	0.25	0.0	0.0	0.0	0.14	0.0	0.0	116.56	206.13	226.17	215.2
Cox10	0.0	0.0	0.0	1.09	0.42	0.0	0.0	3.26	0.0	0.0	0.0	0.0	0.0	183.21	0.0	0.0	0.0	40.26	0.0	31.37	134.25	0.0	0.0	20.18	26.51	0.0	0.0	0.0	208.74	0.0	0.06	0.14	0.29	0.0	64.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	208.24	5.57	18.99	19.13	19.79
Cplx1	0.35	85.5	0.07	373.53	439.7	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.0	0.18	0.0	0.0	56.44	87.6	56.77	336.77	561.27	64.54	197.57	124.26	56.46	0.11	0.33	0.0	0.59	0.0	391.52	19.62	0.59	0.0	536.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.31	671.52	707.8	701.59
D730005E14Rik	0.35	0.12	0.31	0.63	1.71	0.39	0.0	0.0	0.0	0.0	0.38	0.31	0.0	0.0	0.3	0.73	0.1	0.1	0.0	0.55	1.42	0.0	0.97	0.79	0.82	0.75	0.28	0.13	0.0	0.0	0.41	0.57	0.12	0.0	0.34	0.0	0.0	0.71	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.25	0.17	0.78	0.6	0.59
