	Ntsr1_tdTpositive_cell_42	Slc17a6_tdTpositive_cell_6	Slc17a6_tdTpositive_cell_11	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700027H10Rik	0.0	0.0	0.0	0.5	0.28	0.62
1700054M17Rik	0.0	0.0	0.0	0.24	0.0	0.0
1810014B01Rik	0.0	0.0	0.44	7.0	5.28	5.79
2610307P16Rik	0.0	0.0	0.0	0.28	0.22	0.1
2900002K06Rik	0.0	0.0	0.0	1.39	0.72	0.92
3110039M20Rik	0.0	0.0	8.66	7.52	6.51	9.8
4931429I11Rik	0.0	0.0	0.0	0.35	0.33	0.27
9530080O11Rik	0.0	0.0	0.0	2.77	3.45	3.24
Acsm3	0.0	0.0	0.0	0.15	0.14	0.22
Adam12	0.0	0.0	0.0	2.32	2.26	2.33
Ambra1	0.0	0.0	0.38	37.27	36.0	38.75
Ankrd13b	0.0	0.0	0.0	71.45	73.14	72.36
Apon	0.0	0.0	0.0	0.12	0.06	0.06
Arl13b	0.0	0.0	0.0	7.87	7.7	8.07
Atp1a3	154.37	137.78	128.17	1301.98	1411.72	1359.05
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
B230319C09Rik	0.0	0.0	0.0	0.47	0.39	0.55
BC055111	0.0	0.0	0.0	0.1	0.05	0.16
Baalc	0.0	15.2	48.59	212.21	211.71	226.1
Bpifb9a	0.0	0.0	0.0	0.1	0.05	0.05
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Capn9	0.0	0.0	0.0	0.08	0.04	0.04
Cd244	0.0	0.0	0.0	0.05	0.05	0.05
Cdc27	33.86	7.55	0.0	29.52	27.72	29.59
Cdh20	0.0	0.0	0.0	14.44	14.84	15.82
Cdr2	0.0	0.0	0.0	10.68	13.01	12.52
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Clcn2	0.0	0.0	0.17	45.55	48.57	47.78
Dact3	1.24	0.5	0.0	125.8	137.92	131.01
Ddn	0.0	6.15	0.0	810.02	858.91	858.46
Dlx3	0.0	0.0	0.0	0.08	0.04	0.04
Dmp1	0.0	0.0	0.0	5.18	4.44	5.24
Dmrta2	0.0	0.0	0.0	2.14	2.77	2.59
Dnajc25	0.0	0.0	0.0	5.22	3.74	3.48
Ednra	0.07	0.0	0.17	2.85	3.15	3.32
Fam108a	0.0	0.0	0.0	185.45	211.33	202.35
Fam198a	0.04	0.0	0.18	6.38	5.48	5.09
Fbxo18	36.9	41.3	2.54	65.48	66.45	64.18
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Fyn	0.0	32.37	0.0	86.91	88.84	93.92
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Glyctk	0.0	0.0	0.0	3.95	4.7	4.28
Gm11696	1.06	1.0	0.68	1.75	2.51	2.23
Gm14047	0.27	1.1	0.48	4.16	2.15	4.56
Gm14431	0.48	0.0	0.0	8.87	7.17	8.34
Gm19522	0.0	0.0	0.0	0.98	1.54	1.61
Gm19784	0.0	0.0	0.0	0.0	0.0	0.07
Gm4890	0.0	0.0	0.0	0.64	0.27	0.49
Gm8898	0.48	0.0	0.0	8.87	7.17	8.34
Gmpr	2.46	0.0	2.09	51.97	56.15	57.17
Gosr1	0.0	0.0	0.0	31.18	30.6	30.06
Grk6	0.18	7.47	3.84	61.43	63.59	60.97
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hnrnpf	27.52	65.52	83.96	88.52	88.45	88.23
Hspa1l	8.49	0.0	0.0	12.68	13.03	10.62
Igfbp2	0.0	0.0	0.0	43.08	54.59	50.08
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kifc2	45.1	78.08	62.57	427.54	441.98	465.18
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lemd2	5.09	0.0	0.0	24.38	27.88	26.35
Lrrc47	0.0	0.0	0.0	38.19	42.67	38.86
Mak	0.0	0.0	0.0	3.2	2.93	3.16
Me3	21.4	1.28	3.9	40.82	30.06	29.68
Mir1966	0.0	0.0	0.0	2.74	3.87	5.66
Mrap2	0.0	0.0	0.97	7.06	6.98	7.22
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Mypop	0.0	0.0	0.0	40.58	46.49	45.49
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Pcdhb9	20.92	0.0	0.0	11.11	11.96	10.34
Pde12	0.0	0.0	0.0	11.57	12.21	10.3
Plekho1	0.0	0.0	0.0	52.38	54.88	52.69
Plxna3	0.0	0.0	0.0	12.18	13.34	14.21
Prkacb	96.09	22.55	112.67	391.32	379.07	378.45
Pydc4	0.0	0.0	0.0	0.04	0.0	0.0
Rasgef1a	43.61	24.19	0.79	204.44	211.08	213.34
Rassf3	0.0	1.43	1.51	36.48	37.41	36.43
Rel	0.0	0.0	0.0	2.87	2.12	2.37
Rfc5	0.0	0.0	0.0	12.53	13.81	12.75
Rimklb	6.99	56.34	3.32	19.3	20.34	21.06
