	Gad2_tdTpositive_cell_78	Ntsr1_tdTpositive_cell_78	Rbp4_tdTpositive_cell_174	Rbp4_tdTpositive_cell_175	Rbp4_tdTpositive_cell_177	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_104	Vip_tdTpositive_cell_51
A130077B15Rik	2924.68	7242.78	6952.85	10885.52	2287.85	5209.27	2546.01	1309.01
A630089N07Rik	1658.28	3936.75	4003.08	5145.26	1024.89	3904.5	1480.35	589.02
Amy2a2	0.6	0.5	2.48	1.87	0.33	1.81	0.36	0.24
Amy2a3	0.6	0.5	2.48	1.87	0.33	1.81	0.36	0.24
Amy2a4	0.6	0.5	2.48	1.87	0.33	1.81	0.36	0.24
Gm14005	21.2	46.08	31.15	92.34	12.98	32.29	14.24	8.78
Gm17821	774.86	1857.36	1734.48	2668.83	560.55	1413.94	630.24	269.57
Grk4	1190.75	3785.45	2967.09	4387.41	926.3	2134.42	1000.68	439.06
Hmmr	30.58	49.24	37.97	109.9	21.74	39.94	21.46	12.21
Lrrc8e	3.27	7.14	1.99	6.77	0.96	6.24	1.79	1.28
Olfr856-ps1	677.76	1524.7	1896.55	2008.72	505.13	772.36	555.94	174.73
Spc24	71.16	264.44	182.07	372.86	35.92	185.02	63.62	25.68
Zfp488	523.25	1550.99	1916.57	2415.74	508.51	1372.92	530.48	394.45
