	Chrna2_tdTpositive_cell_61	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_5	Gad2_tdTpositive_cell_2	Gad2_tdTpositive_cell_7	Gad2_tdTpositive_cell_22	Gad2_tdTpositive_cell_70	Htr3a_tdTpositive_cell_36	Htr3a_tdTpositive_cell_49	Htr3a_tdTpositive_cell_115	Htr3a_tdTpositive_cell_119	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_21	Ntsr1_tdTnegative_cell_14	Scnn1a.Tg3_tdTnegative_cell_11	Vip_tdTpositive_cell_17	Vip_tdTpositive_cell_23
AY074887	4.85	5.63	1.06	17.93	19.31	15.72	7.53	11.92	15.1	4.99	13.63	2.13	14.82	2.87	1.72	11.13	10.01
Atat1	216.7	0.0	0.0	97.52	293.11	68.65	111.76	0.84	119.11	458.22	172.08	0.0	0.0	0.0	0.74	128.55	342.6
Cdh13	31.85	0.0	0.0	121.23	35.68	293.38	22.61	0.0	204.6	5.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chl1	138.61	0.0	0.0	175.49	50.77	204.22	164.88	133.79	148.89	106.27	67.94	0.0	0.12	0.0	107.41	71.83	92.51
Cnr1	14271.7	0.0	0.0	18446.25	33283.94	19184.04	19801.43	17862.67	19681.78	22064.64	33041.05	0.0	0.08	0.0	0.0	25768.68	23267.78
Cntnap3	0.0	0.0	0.0	8.29	22.56	9.89	47.0	0.0	0.0	0.8	17.04	0.0	0.0	0.0	0.0	24.36	0.0
Col19a1	72.7	0.0	0.0	106.94	86.87	71.62	20.73	121.93	26.34	1.16	93.31	0.0	0.0	0.0	0.0	2.05	51.53
Dner	309.91	0.0	0.0	478.55	190.07	377.84	312.33	428.96	137.57	481.32	332.23	0.0	0.0	0.0	0.0	128.82	363.72
Dnm3	420.23	0.0	0.0	101.56	81.72	147.98	172.35	63.5	257.68	82.34	35.41	0.0	0.0	0.0	0.0	166.29	115.98
Ecsit	99.69	0.0	0.0	159.35	120.88	79.64	308.28	0.45	28.03	225.5	137.28	0.0	0.0	0.0	0.0	104.94	249.01
Eef1e1	287.35	0.0	0.0	338.63	318.81	127.49	760.88	127.24	0.0	172.2	434.79	0.0	0.0	0.0	0.0	428.71	227.24
Elavl2	216.3	0.0	0.0	124.12	139.47	191.16	76.95	77.63	100.54	156.99	88.79	0.0	0.0	0.0	0.0	91.82	89.54
Extl2	218.13	0.0	0.0	258.38	169.18	122.23	104.02	137.35	0.0	331.73	327.37	0.0	0.0	0.0	16.66	398.41	10.51
Fam69a	57.59	0.0	0.0	240.82	24.95	25.71	0.0	36.28	0.0	0.0	97.81	0.0	0.0	0.0	0.0	83.63	0.0
Fgf13	4.24	3.17	0.9	2.05	99.54	51.39	4.72	100.82	6.02	1.21	5.37	16.43	0.0	2.43	5.01	1.78	106.74
Gm12709	15.1	0.0	0.0	27.29	26.05	27.1	14.09	18.26	16.74	1.93	13.68	0.0	0.0	0.0	0.0	14.32	18.65
Gm14430	38.86	0.0	0.0	11.32	15.9	5.49	11.55	19.2	56.93	11.59	0.17	0.25	0.0	0.0	0.0	22.08	3.76
Gm14434	38.86	0.0	0.0	11.32	15.9	5.49	11.55	19.2	56.93	11.59	0.17	0.25	0.0	0.0	0.0	22.08	3.76
Gm4724	38.86	0.0	0.0	11.32	15.9	5.49	11.55	19.2	56.93	11.59	0.17	0.25	0.0	0.0	0.0	22.08	3.76
Gng2	590.45	0.0	0.0	428.65	275.44	474.22	416.61	126.3	407.79	345.43	369.02	0.0	0.0	0.14	0.0	182.89	515.19
Gng7	3.93	0.0	0.0	0.11	55.04	73.96	0.0	88.89	0.39	0.0	0.19	0.0	0.1	0.0	0.0	7.23	0.13
Gria1	155.65	0.14	0.0	111.18	29.62	235.56	254.52	73.75	125.79	53.62	87.5	0.06	0.16	0.22	0.0	226.58	116.1
Hmgb3	125.49	0.0	0.0	198.65	126.32	117.62	255.05	166.38	197.77	212.9	28.73	0.0	0.29	0.0	0.0	180.48	0.24
Igsf8	128.54	0.0	0.0	16.64	34.75	41.97	2.68	24.28	2.18	17.44	3.35	0.0	0.0	0.0	0.0	4.82	1.24
Lamtor2	119.19	0.0	0.0	482.72	621.86	320.29	494.61	267.03	269.38	215.62	445.61	0.0	0.0	0.0	0.0	228.71	430.18
Mrfap1	481.86	0.0	218.65	761.98	641.57	590.57	811.25	1221.55	996.61	536.41	683.13	0.0	0.58	158.28	147.51	721.9	347.26
Necab2	0.0	0.0	0.0	180.23	31.36	0.67	0.0	0.0	17.81	27.1	75.75	0.0	0.0	0.0	0.0	0.0	0.0
Nrip2	70.67	0.0	0.0	49.2	94.09	58.92	0.0	186.26	0.7	2.15	42.35	0.0	0.0	0.0	0.0	0.29	127.07
Nrip3	665.96	0.0	0.0	381.75	841.38	246.85	400.55	529.81	1095.68	1164.11	429.24	0.0	0.0	0.0	0.0	543.45	721.67
Nrxn3	556.98	0.0	0.0	603.76	698.54	566.82	437.81	459.39	670.04	1007.09	557.42	0.0	0.0	0.0	0.0	439.83	902.13
P2rx3	0.04	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.56
Parm1	1.2	0.0	0.0	0.18	0.0	0.0	99.33	112.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.7	0.0
Pclo	45.82	0.01	0.26	127.16	80.21	65.23	29.69	51.43	13.9	53.98	67.4	0.07	0.04	0.05	0.09	75.4	19.94
Pip5k1b	0.0	0.0	0.0	109.55	2.14	4.18	0.39	75.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ppp2r2c	77.53	0.0	0.0	44.13	19.68	54.77	4.15	24.16	3.72	0.53	5.65	0.0	0.0	0.0	0.0	10.79	12.56
Psma4	476.62	0.0	0.0	721.5	568.1	456.08	201.49	357.59	582.04	300.94	563.04	67.45	0.0	0.0	0.0	373.56	678.55
Rab27b	14.02	0.0	0.12	0.06	63.31	118.24	0.44	96.37	0.2	71.37	107.31	0.0	0.0	1.13	0.0	0.64	71.17
Rpp25	60.59	0.0	0.0	121.51	169.79	204.56	283.31	38.01	271.52	182.58	134.12	0.0	0.0	0.0	0.0	93.86	136.24
Sema3c	146.55	65.52	0.28	168.35	358.14	1.88	3.86	122.64	327.08	275.0	218.44	0.07	12.82	0.0	0.0	208.86	271.13
Shroom2	43.07	0.0	0.0	65.33	52.95	34.52	47.82	0.13	82.61	0.0	17.57	0.0	0.0	0.0	0.0	126.66	168.26
Tkt	337.43	0.0	0.0	81.59	44.16	150.09	153.29	85.44	457.2	0.98	73.34	0.0	0.0	0.48	0.32	10.59	0.0
Tro	206.04	0.0	0.0	100.56	125.09	132.86	42.01	63.76	70.58	51.62	62.92	0.0	0.0	0.0	0.0	128.88	357.64
Use1	303.84	0.0	0.0	151.39	64.68	159.62	174.44	220.3	146.72	218.51	145.5	0.0	0.0	0.0	0.0	79.45	168.58
Wdr12	144.41	0.0	0.0	127.21	217.66	227.37	33.6	103.94	94.94	112.26	123.94	0.0	0.0	0.0	0.0	75.55	28.05
