	Calb2_tdTpositive_cell_21	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_49	Calb2_tdTpositive_cell_56	Calb2_tdTpositive_cell_57	Calb2_tdTpositive_cell_63	Calb2_tdTpositive_cell_64	Chat_tdTpositive_cell_1	Chat_tdTpositive_cell_4	Chat_tdTpositive_cell_5	Chat_tdTpositive_cell_6	Gad2_tdTpositive_cell_10	Gad2_tdTpositive_cell_19	Gad2_tdTpositive_cell_23	Gad2_tdTpositive_cell_29	Gad2_tdTpositive_cell_33	Gad2_tdTpositive_cell_35	Gad2_tdTpositive_cell_38	Gad2_tdTpositive_cell_45	Gad2_tdTpositive_cell_54	Gad2_tdTpositive_cell_60	Htr3a_tdTpositive_cell_7	Htr3a_tdTpositive_cell_23	Htr3a_tdTpositive_cell_37	Htr3a_tdTpositive_cell_40	Htr3a_tdTpositive_cell_58	Htr3a_tdTpositive_cell_59	Htr3a_tdTpositive_cell_68	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_76	Htr3a_tdTpositive_cell_77	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_88	Nr5a1_tdTpositive_cell_50	Nr5a1_tdTpositive_cell_52	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Scnn1a.Tg3_tdTpositive_cell_107	Sst_tdTpositive_cell_44	Vip_tdTpositive_cell_5	Vip_tdTpositive_cell_10	Vip_tdTpositive_cell_14	Vip_tdTpositive_cell_24	Vip_tdTpositive_cell_33	Vip_tdTpositive_cell_34	Vip_tdTpositive_cell_35	Vip_tdTpositive_cell_39	Vip_tdTpositive_cell_41	Vip_tdTpositive_cell_43	Vip_tdTpositive_cell_45	Vip_tdTpositive_cell_49	Vip_tdTpositive_cell_50	Vip_tdTpositive_cell_54	Vip_tdTpositive_cell_55	Vip_tdTpositive_cell_56	Vip_tdTpositive_cell_57	Vip_tdTpositive_cell_58	Vip_tdTpositive_cell_59	Vip_tdTpositive_cell_61	Vip_tdTpositive_cell_65	Vip_tdTpositive_cell_66	Vip_tdTpositive_cell_67	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2310030G06Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51	0.0	0.0	0.0	204.35	0.0	0.0	0.0	185.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.39	0.48	18.2	0.0	0.03	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	285.25	0.0	299.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.14	3.21	9.65	13.49	3.91	3.21	2.93
4933426M11Rik	0.0	0.0	5.95	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	11.41	0.0	4.02	0.16	0.11	0.19	0.0	0.17	0.8	0.0	0.0	0.0	102.11	0.0	0.0	0.03	0.0	0.06	0.0	125.12	0.87	0.22	83.92	1.13	1.03	3.87	13.01	10.64	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.09	0.0	5.99	0.03	0.0	0.0	122.48	0.0	0.1	0.0	0.0	0.0	0.45	0.0	3.42	0.0	7.35	0.34	7.24	2.24	3.34	2.06	26.72	26.95	27.21
6330503K22Rik	0.0	0.0	34.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.21	75.68	0.0	20.68	76.81	78.88	0.0	44.23	0.0	0.0	0.0	0.0	52.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.14	0.0	159.93	26.84	27.35	5.17	23.91	0.0	0.0	0.0	0.0	0.0	0.0	50.12	0.0	6.18	0.0	4.38	0.0	0.07	0.0	0.0	107.5	0.0	28.66	24.16	0.0	0.04	0.08	0.0	0.0	26.84	10.45	11.94	8.01	4.07	6.6	5.91	41.82	37.85	43.37
A530054K11Rik	0.0	0.74	0.11	0.0	0.0	0.29	0.37	0.0	3.95	0.0	0.0	0.0	0.1	0.04	0.18	0.0	0.0	0.16	0.31	0.0	0.05	0.0	0.07	0.18	181.9	0.09	0.18	0.43	0.0	0.0	0.24	0.0	0.18	0.42	0.37	2.1	2.28	0.29	0.44	0.27	0.17	0.0	0.17	0.0	0.0	0.33	0.42	0.0	0.07	0.24	0.12	0.0	0.0	192.96	0.17	0.12	0.09	0.48	0.11	0.08	0.18	0.2	0.06	0.0	1.43	9.85	4.82	4.96	5.02	6.52	4.64	6.71
Actn1	1.95	0.0	3.51	0.0	15.29	0.0	0.34	0.16	26.81	18.85	0.0	8.35	0.0	27.8	56.07	0.0	13.9	25.37	8.76	18.22	0.0	20.31	9.88	17.88	9.67	0.0	11.32	21.97	0.0	0.0	0.0	13.72	35.33	0.0	10.36	12.68	35.64	28.99	55.39	18.58	0.0	0.0	0.0	0.0	0.0	15.88	6.3	5.88	18.2	16.7	8.91	0.0	0.13	78.04	0.0	55.87	0.0	26.1	19.71	0.0	0.0	18.21	0.0	43.33	49.85	45.87	38.87	41.49	36.84	72.48	66.41	70.2
Actn2	0.57	0.0	0.35	0.0	0.22	0.0	1.26	1.05	1.33	11.94	0.32	0.0	0.55	0.06	1.55	0.28	0.76	0.0	0.11	0.36	3.39	0.26	0.14	0.97	0.16	0.0	0.45	2.77	0.58	3.33	2.23	95.33	1.27	3.09	1.95	7.3	2.17	0.82	11.27	0.96	0.0	3.55	0.0	4.73	0.71	0.0	0.27	0.29	0.22	0.0	0.12	3.07	0.48	157.07	0.16	0.36	0.28	3.87	0.53	1.88	2.94	1.34	0.35	0.4	6.47	0.39	0.6	6.45	3.9	21.1	23.91	21.73
Acvr1	0.0	0.0	146.1	0.0	7.53	371.17	0.0	0.0	201.3	0.0	0.0	101.61	0.0	0.0	0.75	0.0	27.71	0.0	0.0	0.0	223.33	100.62	0.0	0.0	0.0	0.0	0.0	0.18	0.0	128.34	0.0	68.46	0.0	128.64	0.0	0.16	6.81	98.5	377.26	0.0	0.0	26.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	135.59	0.44	0.56	31.91	3.34	16.07	0.0	0.35	91.79	0.0	1.37	12.22	11.78	4.62	12.02	15.63	25.98	25.09	24.67
Akt3	0.0	48.4	83.04	0.0	0.0	0.81	0.0	70.59	107.83	0.0	0.09	0.0	0.06	36.43	0.87	0.0	0.12	0.0	0.0	0.0	0.0	89.2	0.0	0.0	15.93	0.0	0.0	84.73	0.0	0.0	5.75	0.0	0.0	214.23	2.24	30.14	7.91	1.68	33.24	13.1	0.0	0.0	0.0	0.42	77.19	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.11	53.88	7.31	3.92	0.0	76.11	0.08	4.93	8.68	0.11	5.53	10.05	12.62	14.73	8.86	14.9	103.0	96.58	98.7
Asap2	0.0	0.12	0.0	0.0	0.0	0.0	1.46	4.11	0.0	0.05	0.21	0.0	0.8	0.06	0.07	0.0	0.54	0.0	33.2	0.31	0.5	0.07	0.0	0.17	0.02	0.0	0.06	54.42	0.0	0.29	3.34	0.33	0.0	0.93	0.38	9.02	9.4	4.03	8.8	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.1	0.0	0.14	0.04	0.0	0.0	62.37	0.24	0.0	0.22	0.6	0.26	0.21	0.16	0.26	0.23	9.01	7.71	2.27	6.7	9.39	5.72	25.96	25.73	27.77
Calb2	5743.89	4607.36	2794.62	2573.01	2176.81	3571.09	2952.67	5071.63	3390.18	4745.33	4274.51	4060.98	2755.73	4083.35	4557.51	5128.39	4972.92	4731.94	6010.15	3340.5	3248.57	3402.88	6526.42	4127.93	5468.68	2507.24	5926.21	5074.01	1769.13	3462.52	4667.44	4174.01	5482.24	0.0	0.0	0.0	0.0	0.0	0.0	5023.38	6179.55	8096.19	4321.13	4543.76	3946.14	3244.45	3229.53	2180.88	5538.35	4009.6	3436.77	3471.55	3900.62	5107.86	5043.04	3297.38	5896.56	5560.34	4856.85	4829.75	7455.12	5519.61	2732.98	0.0	0.21	0.0	0.0	1.23	0.0	30.79	32.23	29.48
