	Cux2_tdTnegative_cell_4	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_47	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700026J04Rik	0.0	0.0	0.19	0.78	0.74	0.94
1700047I17Rik2	2.15	2.38	13.56	17.56	16.4	17.92
9030625A04Rik	0.0	0.0	0.0	5.4	4.63	5.96
A930007I19Rik	0.0	0.0	0.8	1.06	0.61	1.51
Alg10b	0.0	0.0	0.0	25.45	25.47	26.09
Arl10	0.0	0.0	0.0	23.1	23.85	23.95
Atp13a3	0.0	25.69	0.99	33.47	31.35	31.27
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Ccnyl1	0.0	0.0	0.0	20.96	19.68	19.73
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Col8a1	0.0	0.0	0.0	1.77	1.64	1.41
Cpeb3	0.0	0.0	16.52	37.98	38.31	37.55
Ctif	0.0	13.28	2.76	34.21	33.23	35.9
Dab2ip	0.0	2.35	1.94	63.93	64.06	67.56
Dennd1a	0.0	0.0	0.63	36.88	35.78	35.53
Dtnb	0.0	0.0	0.0	56.02	59.06	55.71
Edar	0.0	0.0	0.0	0.53	0.3	0.36
Ephb3	0.0	0.0	0.0	17.06	16.35	13.95
Fam167a	0.0	0.0	0.0	1.11	1.25	0.79
Fam177a	2.15	2.38	13.56	17.56	16.4	17.92
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Ggt1	0.0	0.0	0.0	1.86	2.03	1.77
Gm14431	0.0	0.8	0.76	8.87	7.17	8.34
Gm6307	0.0	1.86	0.48	2.63	1.94	2.88
Gm8898	0.0	0.8	0.76	8.87	7.17	8.34
Gpr146	0.0	0.0	0.0	12.46	13.66	12.08
Gramd1c	0.0	0.0	0.0	1.35	1.44	1.77
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hk2	0.06	0.0	0.0	1.4	1.88	1.76
Hmga1-rs1	0.0	5.3	0.0	47.68	49.24	34.99
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hras1	0.0	7.49	1.36	97.29	100.13	101.06
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Itpripl2	0.0	0.0	0.07	3.29	3.75	3.33
Jam3	0.0	0.0	0.0	36.96	37.9	38.93
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Khnyn	0.0	0.0	0.0	11.18	11.32	12.56
LOC545261	0.0	0.69	0.0	5.04	3.79	3.28
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lrrc26	0.0	0.0	0.0	3.68	3.92	4.12
Mir3072	0.0	0.0	0.0	14.81	23.92	17.47
Mospd3	0.0	0.0	0.0	22.61	22.88	27.17
Mrps24	0.0	1.76	19.38	34.78	40.47	33.55
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Neurl1a	0.0	0.0	15.33	125.32	131.62	134.53
