	Chrna2_tdTpositive_cell_26	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Gad2_tdTpositive_cell_8	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_83	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_101	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1300014I06Rik	0.0	20.43	0.0	0.0	96.8	0.0	0.0	16.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	3.0	0.0	0.08	0.0	0.0	42.96	0.0	0.0	0.32	0.19	0.94	6.15	7.3	6.3
1700017B05Rik	0.0	0.0	0.0	0.0	11.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	5.27	6.46	5.11
1700047I17Rik2	9.52	5.31	1.0	0.66	19.57	3.6	14.23	2.13	0.75	4.6	0.97	5.07	14.74	10.07	7.08	10.01	4.19	30.94	5.27	9.6	1.07	3.41	11.48	11.15	2.03	3.87	8.65	12.08	18.26	23.92	6.97	1.29	13.41	14.19	19.02	17.56	16.4	17.92
2010002N04Rik	0.0	0.0	0.0	0.0	51.23	0.0	0.0	0.0	0.0	0.04	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.45	4.54	6.87	7.84	7.86	7.06
2310061J03Rik	0.0	0.37	0.0	0.0	16.32	0.0	0.0	0.0	1.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.38	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	5.43	6.02	7.41
2810011L19Rik	5.37	6.86	0.0	0.0	26.88	0.0	0.08	0.0	1.56	0.16	0.03	0.56	0.0	0.0	0.0	0.75	16.18	0.0	0.29	15.07	13.22	0.0	0.0	16.43	0.05	7.57	14.5	0.0	0.78	0.6	0.0	0.04	0.0	0.55	0.63	8.41	9.31	7.9
4632434I11Rik	0.0	0.0	0.0	0.0	4.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.19	0.62
4930525D18Rik	0.0	0.0	0.0	0.0	7.24	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.0	0.0	0.0	0.39	0.65	0.31	0.56
4933407C03Rik	27.79	61.13	7.31	36.99	52.68	0.0	31.18	73.18	12.14	26.96	25.56	18.09	31.29	7.97	37.07	32.14	8.84	98.71	35.08	19.19	85.66	89.6	35.41	4.75	11.9	20.65	54.86	31.93	24.35	13.48	27.73	47.24	35.3	49.59	41.88	170.94	165.8	181.82
5031425E22Rik	0.0	0.0	0.17	0.81	23.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.16	0.0	0.0	0.0	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.71	0.23	0.95	0.82	13.89	13.56	15.86
5430407P10Rik	0.0	0.0	0.0	0.0	32.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	2.29	1.89	2.06
8430403D17Rik	0.08	0.0	0.0	0.46	1.69	0.71	1.06	0.09	0.0	0.03	0.0	0.21	0.11	0.36	0.18	0.27	0.0	0.0	0.11	0.0	0.0	0.14	0.28	0.0	0.09	0.0	0.05	0.08	0.16	0.02	0.18	0.11	2.41	0.0	0.11	0.44	0.26	0.18
9230116N13Rik	0.04	0.0	0.33	0.0	40.22	0.47	0.0	0.17	0.0	0.08	0.0	0.0	0.0	0.16	0.13	0.0	0.12	0.16	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.16	15.87	0.0	0.12	0.26	0.0	0.0	1.02	0.0	0.29	0.42	0.53
Abhd3	0.0	124.97	0.0	1.83	259.29	0.0	0.0	69.96	0.0	0.04	0.0	0.18	0.0	0.0	37.6	40.31	0.0	0.0	0.0	100.88	0.0	62.53	0.0	0.0	0.0	0.15	48.12	0.0	0.0	0.0	0.0	99.77	9.74	6.63	10.96	66.17	64.62	68.77
Adamts10	0.0	0.48	0.0	0.0	77.73	0.0	0.0	0.0	0.04	0.02	0.0	0.0	0.0	0.03	10.8	8.14	40.62	0.0	0.0	0.0	0.05	0.07	4.88	0.0	0.0	0.0	11.28	0.06	0.0	0.11	30.06	0.0	3.65	1.52	2.72	14.1	15.86	15.95
Aldh1b1	0.0	1.69	0.0	0.0	74.39	0.0	3.24	0.0	0.0	0.14	0.0	0.0	0.04	0.1	30.29	31.09	2.06	0.0	0.0	0.0	32.68	0.0	0.0	42.95	0.0	51.31	25.51	41.25	0.0	0.0	0.0	52.51	13.53	21.61	18.48	9.63	11.46	10.25
Anxa2	0.0	0.0	0.0	0.0	279.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	0.0	0.22	0.0	0.0	12.81	15.09	14.73
Ap1m2	0.0	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.39	0.0	0.2	1.67	1.3	1.65
Apol8	0.0	0.0	0.0	0.0	61.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.94	3.82	4.29
Ash2l	0.0	0.0	0.0	0.0	65.78	0.0	16.17	0.0	0.0	0.0	0.0	0.0	0.0	24.01	32.57	0.0	0.0	6.57	3.63	0.0	0.0	13.01	0.0	0.0	0.0	0.0	2.04	0.0	0.0	0.0	0.0	0.0	9.04	4.92	11.57	38.56	37.74	37.65
Atf7	0.09	0.75	0.28	0.48	61.98	6.08	7.32	0.0	0.0	0.15	0.46	0.72	0.22	0.82	15.1	0.0	2.35	0.47	0.55	1.91	0.0	0.55	0.16	0.2	0.19	0.19	0.51	15.38	1.63	0.19	1.0	0.65	3.85	3.82	2.47	7.93	6.76	9.06
C030046I01Rik	27.06	22.25	30.45	10.72	94.73	8.39	148.98	61.09	4.81	7.15	7.55	1.57	7.76	10.8	33.03	102.32	95.65	24.49	18.11	51.02	3.43	8.72	4.91	5.29	7.15	19.75	81.08	18.76	19.93	43.21	21.86	12.42	91.84	105.82	117.97	278.49	290.92	298.72
Cckar	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.17	0.03	0.19
Ccl27b	3.68	0.0	0.0	0.0	11.67	0.0	23.86	21.49	1.46	0.03	0.0	1.74	0.0	0.0	0.0	5.37	0.0	3.43	0.77	0.0	0.0	3.46	0.29	1.65	1.9	0.13	2.24	4.31	0.0	4.89	0.0	1.88	61.27	76.52	71.98	30.63	28.29	22.96
Cdc42ep2	117.1	0.0	0.0	0.0	235.6	0.0	16.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	173.72	0.0	0.0	0.0	15.55	54.28	0.0	0.0	39.83	6.57	0.0	39.07	0.0	0.0	2.85	3.53	8.06	15.4	16.7	15.62
Cdc42ep5	0.0	0.0	0.0	0.0	70.59	0.0	0.0	0.0	0.2	0.1	0.0	25.62	0.0	0.0	16.72	0.0	0.0	0.0	0.0	0.0	22.05	0.0	0.0	0.0	0.0	23.91	0.0	35.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.77	3.22	1.94
Clptm1l	0.0	0.0	30.83	0.0	104.82	0.0	74.17	0.0	0.07	0.7	12.44	0.7	0.36	0.0	46.16	0.0	7.13	152.1	0.0	11.53	54.03	0.0	4.17	51.94	0.0	0.0	46.56	0.1	0.0	0.0	46.75	41.01	21.78	23.67	20.8	102.29	103.13	104.18
