	Cux2_tdTpositive_cell_85	Cux2_tdTpositive_cell_94	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_11	Nr5a1_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_179	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_187	Rbp4_tdTnegative_cell_22	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
2810428I15Rik	301.12	0.0	0.0	0.0	366.11	15.42	0.0	121.54	96.45	0.0	0.0	0.0	1.68	61.16	55.8	84.47	81.34	60.74	73.64	66.94
A330049N07Rik	78.79	0.0	0.0	0.0	0.0	0.0	0.0	12.06	0.0	0.0	0.0	0.0	5.43	1.71	0.0	57.52	2.51	2.67	2.33	3.13
AI413582	906.48	0.0	0.0	0.0	731.78	0.0	0.55	531.08	565.38	0.0	137.14	0.0	295.41	62.02	166.25	79.46	220.11	87.45	91.84	78.53
Agtpbp1	271.58	0.0	0.0	0.0	40.38	7.35	0.33	67.67	0.75	0.14	4.15	22.69	55.12	0.0	7.36	17.06	7.02	116.88	108.27	115.49
Ankrd35	25.85	1.81	0.0	0.0	27.17	0.0	0.0	1.0	16.2	0.0	0.0	0.43	0.0	4.0	0.0	7.53	0.0	8.17	7.87	8.85
Atp9a	190.24	0.0	0.0	0.0	47.91	50.9	0.09	6.81	129.92	0.0	17.39	40.85	102.88	126.83	64.89	21.95	54.43	263.17	276.86	268.06
Bglap-rs1	330.49	0.0	0.0	0.0	0.0	3.34	0.0	0.0	0.0	0.0	3.33	0.0	0.26	0.0	0.0	0.0	0.31	1.87	1.44	2.43
Cacna1c	33.28	0.0	0.0	0.0	12.48	9.4	0.0	3.6	5.88	0.0	0.0	0.0	0.38	0.0	0.19	1.61	0.0	26.61	24.77	28.8
Cacna2d1	253.39	79.0	0.0	0.0	212.69	65.52	3.26	82.64	7.67	0.0	260.98	63.64	329.9	42.23	17.2	5.62	4.88	99.54	89.77	97.68
Ccl27b	16.25	0.0	0.0	0.0	244.78	344.85	5.38	93.01	0.0	0.0	14.7	274.48	171.5	17.69	2.83	4.38	27.11	30.63	28.29	22.96
Cds2	125.74	0.29	0.11	0.35	116.25	92.99	3.11	23.39	34.53	0.29	14.54	56.47	39.27	8.35	125.41	20.21	12.16	203.83	204.49	205.55
Cerk	94.66	0.0	0.0	0.0	0.0	1.58	0.0	0.4	0.0	0.0	2.19	0.0	0.13	0.0	5.9	1.33	0.0	36.5	40.33	41.09
Chst1	303.84	0.0	0.0	0.0	79.85	65.8	40.24	46.61	9.6	0.0	76.47	10.04	49.64	81.64	108.1	43.52	66.11	206.13	226.17	215.2
Clip3	686.49	25.79	0.0	0.0	514.98	279.63	7.85	62.75	130.12	0.0	10.04	228.17	345.46	313.94	316.0	364.13	166.07	325.47	332.48	328.71
Dcaf7	238.45	0.0	0.0	0.0	62.36	17.9	0.11	5.01	0.5	0.0	29.57	6.38	70.56	8.32	5.51	26.48	32.68	130.19	133.24	130.66
Ddost	261.21	0.0	0.22	0.0	153.32	0.85	0.18	10.71	6.19	0.61	4.9	1.0	178.93	18.84	76.36	19.0	113.41	90.48	89.33	90.61
Degs1	427.65	0.41	0.17	0.0	166.16	0.0	0.16	141.35	231.59	0.0	8.57	0.0	19.88	214.45	178.25	46.3	269.91	88.43	87.22	85.1
Fam165b	302.51	0.0	0.0	0.0	359.23	79.33	0.0	153.6	0.0	0.0	0.0	0.0	1.62	34.58	30.16	17.01	123.74	26.7	23.96	19.75
Fkrp	205.78	0.0	0.0	2.52	142.6	41.4	0.0	3.08	1.63	0.0	0.0	0.0	116.69	0.0	31.2	0.34	0.0	48.84	57.36	51.14
Fndc5	247.89	29.19	0.0	0.0	109.83	118.94	0.36	20.54	0.0	0.0	10.8	16.58	0.98	63.41	43.46	10.13	76.63	62.44	67.66	65.01
Gltscr2	126.15	0.0	0.0	0.0	28.37	0.0	0.21	0.38	2.85	0.0	74.04	0.0	78.86	65.45	39.97	138.54	69.12	82.99	90.06	86.93
Gm13306	16.25	0.0	0.0	0.0	244.78	344.85	5.38	93.01	0.0	0.0	14.7	274.48	171.5	17.69	2.83	4.38	27.11	30.63	28.29	22.96
Gm2506	16.25	0.0	0.0	0.0	244.78	344.85	5.38	93.01	0.0	0.0	14.7	274.48	171.5	17.69	2.83	4.38	27.11	30.63	28.29	22.96
Gnaz	69.49	0.0	0.0	0.0	69.89	1.59	0.0	13.19	0.24	0.0	0.0	0.0	0.07	0.0	0.0	0.13	41.77	56.74	56.71	56.07
Grpel2	173.57	71.76	0.0	0.0	93.19	0.0	0.0	8.1	54.28	0.0	0.0	0.43	1.37	66.68	65.79	27.56	0.04	12.96	13.49	11.78
Lamp1	305.11	0.0	0.0	0.0	320.62	31.99	0.0	97.14	2.96	0.0	19.74	341.39	26.61	44.98	107.01	9.35	6.33	296.47	313.19	310.97
Lrrc47	62.14	0.24	0.0	0.0	21.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.14	0.0	38.19	42.67	38.86
Med14	98.11	0.0	0.0	0.0	85.2	0.74	0.0	11.21	40.99	0.0	0.08	12.4	1.12	16.18	0.15	0.59	0.07	40.32	39.32	40.84
Mical2	330.68	39.54	0.0	0.0	232.32	243.93	30.33	109.51	34.32	0.0	46.91	222.02	245.52	107.08	105.6	66.14	86.28	226.64	202.81	243.34
Mtmr14	129.15	0.0	0.0	0.0	41.74	0.0	0.0	0.71	0.08	0.0	0.0	0.0	0.71	0.0	0.0	0.0	0.0	15.6	13.83	12.34
Nat14	142.86	0.0	0.29	0.45	158.04	56.28	0.2	24.47	12.33	0.0	5.09	8.32	10.51	63.76	43.92	42.43	45.23	76.22	84.72	80.82
Nob1	284.47	0.0	0.0	0.0	157.38	30.26	0.0	38.57	87.55	0.0	0.0	0.0	0.09	1.8	0.04	0.0	62.46	34.65	37.67	34.95
Nog	100.09	0.0	0.0	0.0	56.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	12.22	13.06	12.79
