	Gad2_tdTpositive_cell_47	Gad2_tdTpositive_cell_65	Nkx2.1_tdTpositive_cell_1	Nkx2.1_tdTpositive_cell_3	Nkx2.1_tdTpositive_cell_5	Nkx2.1_tdTpositive_cell_6	Nkx2.1_tdTpositive_cell_9	Pvalb_tdTpositive_cell_1	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_10	PvalbD.Slc32a1_tdTpositive_cell_10	PvalbD.Slc32a1_tdTpositive_cell_11	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_29	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_24	Rbp4_tdTpositive_cell_89	Tac2_tdTpositive_cell_6
4632415L05Rik	2.15	2.4	0.94	3.09	3.81	3.1	1.51	0.3	0.19	0.0	1.32	0.2	1.5	27.23	5.17	0.97	0.0	3.39
9530008L14Rik	0.48	0.77	0.13	0.18	1.38	0.62	0.45	0.0	0.0	0.0	0.13	0.0	0.43	0.94	0.24	0.0	0.0	0.18
A730037C10Rik	1.83	0.46	0.0	0.4	1.55	0.41	0.0	0.0	0.0	0.0	0.0	0.0	0.41	2.06	0.72	0.0	0.0	0.37
Cer1	1.52	1.28	0.48	1.13	1.14	1.12	0.81	0.0	0.13	0.44	0.58	0.72	0.75	1.43	0.58	0.97	0.5	0.58
Commd8	2.41	42.8	0.0	51.63	52.12	1.77	0.74	0.73	0.0	0.68	1.59	1.07	9.92	46.18	45.74	14.48	0.0	32.83
Fam23a	0.08	0.11	0.0	0.25	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	1.41	0.0	0.0	0.0	0.0
Ftcd	0.96	1.17	0.21	1.02	3.06	0.93	0.55	0.0	0.0	0.29	0.04	0.5	0.19	0.43	0.13	0.12	0.0	1.29
Golga3	47.98	8.96	0.68	2.87	31.58	0.19	0.07	0.0	0.0	0.0	0.0	9.56	1.6	17.92	26.3	0.0	0.0	5.11
Gpr77	0.79	1.12	0.23	0.37	0.89	0.37	0.0	0.35	0.06	0.78	0.0	0.76	0.22	1.62	0.3	0.0	0.1	0.74
Ift74	94.32	49.77	0.0	85.21	80.22	113.31	68.54	0.0	1.3	0.0	0.0	18.06	24.47	72.42	89.05	41.5	0.0	69.96
Mdh1	8398.29	7798.18	8893.39	8210.07	7357.26	9004.87	10093.74	8186.5	10545.81	9502.43	7826.71	9382.95	9266.26	8492.93	10194.39	11738.29	6898.99	9071.48
Rhoh	0.38	0.19	0.0	0.14	0.39	0.38	0.07	0.05	0.0	0.0	0.16	0.14	0.06	0.69	0.33	0.13	0.0	0.07
Sf3b3	1.42	86.99	0.0	39.71	68.08	21.63	0.0	0.0	1.78	0.0	0.0	0.0	39.63	54.44	1.04	27.47	0.0	16.13
Tfrc	286.97	64.25	25.15	98.36	96.39	99.43	43.98	6.18	10.4	47.0	23.61	83.79	62.95	94.58	60.19	19.67	2.34	58.39
Tmem25	399.65	233.61	135.78	251.24	208.92	208.48	103.05	85.56	137.33	0.0	99.6	144.25	233.07	384.33	242.73	166.23	0.0	202.84
Tmtc1	23.61	0.09	0.0	13.4	0.13	0.05	1.94	0.07	0.0	0.0	0.03	0.08	0.0	26.73	0.07	0.0	0.0	20.22
Tnfaip8	0.01	0.13	0.0	0.34	0.78	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47	0.16	0.0	0.0	0.34
Trrap	14.11	22.83	11.95	12.33	15.16	8.52	0.05	0.0	0.0	11.16	0.0	6.63	8.21	15.02	8.76	0.58	0.0	13.21
Ttll1	66.45	123.69	77.83	231.88	64.59	65.24	91.84	2.39	0.12	60.16	0.89	65.85	69.45	336.44	89.29	8.97	0.0	31.72
