	Calb2_tdTpositive_cell_33	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_42	Cux2_tdTpositive_cell_62	Gad2_tdTpositive_cell_1	Htr3a_tdTpositive_cell_48	Htr3a_tdTpositive_cell_109	Nos1_tdTpositive_cell_37	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_76	Ntsr1_tdTnegative_cell_6	Ntsr1_tdTnegative_cell_31	Ntsr1_tdTnegative_cell_36	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_32	Rbp4_tdTpositive_cell_50	Rbp4_tdTpositive_cell_69	Rbp4_tdTpositive_cell_138	Scnn1a.Tg3_tdTnegative_cell_4	Slc17a6_tdTpositive_cell_36	Vip_tdTpositive_cell_20	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_11
1810035I16Rik	27.74	4.1	29.31	11.88	33.73	2.35	17.38	12.6	28.24	16.05	15.42	16.22	18.69	13.29	12.25	4.79	20.42	0.0	37.37	8.45	35.7	14.08	0.0	21.91	39.02	26.83	18.1	18.46	13.73	6.64	28.57
2010315B03Rik	71.22	19.92	44.79	31.61	5.9	4.32	7.79	12.86	24.62	91.41	63.04	20.74	177.64	140.02	8.38	11.51	25.99	0.74	96.86	6.04	16.15	140.93	1.85	4.65	22.05	30.68	39.76	57.73	37.17	36.74	7.46
2310067B10Rik	1.66	0.0	0.27	30.63	0.15	0.59	1.09	0.38	3.05	9.6	0.11	0.0	0.07	62.33	0.09	0.0	0.1	0.0	19.92	0.49	0.44	26.29	0.0	0.15	0.0	7.31	6.15	4.2	4.09	6.47	0.13
2400009B08Rik	92.9	0.0	0.0	0.0	0.0	0.0	0.0	74.13	0.0	0.0	48.57	299.08	0.0	0.0	0.0	10.08	0.0	0.0	189.23	0.0	0.0	234.83	0.0	85.12	0.0	49.48	70.79	55.43	56.82	86.06	0.0
2810474O19Rik	0.13	0.23	0.37	12.01	0.0	0.34	4.49	16.1	5.75	15.06	0.19	4.64	0.06	49.61	7.49	0.37	77.74	0.34	18.54	0.37	0.21	50.37	0.57	6.94	0.08	19.07	11.34	17.52	12.38	15.87	14.52
3010001F23Rik	7.62	0.0	0.0	0.0	0.0	253.02	0.0	0.0	0.0	70.72	0.98	0.0	0.33	0.0	0.0	0.0	76.54	0.0	0.0	0.0	0.0	53.89	0.0	0.0	0.0	0.0	2.15	5.38	2.48	4.18	0.0
3110015C05Rik	0.42	0.0	0.0	0.34	0.41	0.0	0.42	0.25	0.43	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.6	0.0	2.3	0.0	0.0	0.3	0.0	0.0	0.69	0.46	0.0	0.0	0.0	0.0	1.66
3830408C21Rik	0.28	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	4.72	0.14	4.37	90.27	0.09	3.73	5.88	0.0	0.0	27.92	0.0	0.0	0.12	0.0	27.4	0.0	3.83	0.32	10.79	3.11	5.54	0.0
4921513I03Rik	0.34	0.0	0.87	2.52	0.95	2.76	0.89	0.5	1.69	0.82	0.94	1.57	3.95	0.89	0.0	1.36	0.33	2.29	2.81	0.86	1.13	3.07	0.0	1.42	8.23	1.51	0.74	1.32	1.44	1.12	1.63
4933407H18Rik	0.59	0.16	0.3	30.16	0.0	0.26	0.19	36.49	0.32	5.53	12.32	13.24	0.3	19.52	0.7	8.25	40.07	0.56	43.31	0.0	30.13	37.88	7.04	2.98	4.99	16.89	5.7	24.38	18.5	15.9	57.23
4933413L06Rik	3.68	0.0	15.22	4.61	46.48	0.9	49.7	17.79	31.44	42.55	9.64	40.1	63.55	41.34	12.44	16.12	2.28	2.42	70.1	25.89	3.99	83.6	4.14	1.67	17.3	22.66	21.06	54.29	33.99	35.42	26.47
A630055G03Rik	18.28	6.34	39.45	39.41	12.98	9.39	22.84	24.45	21.52	28.86	14.22	7.43	16.32	22.97	8.04	11.73	20.97	1.17	20.91	18.39	9.58	31.96	8.41	23.6	22.69	30.39	56.42	33.53	31.74	27.94	48.5
A830052D11Rik	0.95	0.9	0.18	14.65	0.0	0.36	1.12	0.23	2.34	1.15	0.6	0.0	0.0	0.87	0.0	0.0	0.0	2.11	2.31	0.92	0.0	1.78	0.0	0.13	1.94	0.24	0.31	1.37	0.94	6.62	1.24
Abi1	105.25	0.13	132.9	352.93	0.0	0.0	29.67	82.41	70.65	123.91	109.84	41.09	74.63	4.42	0.75	90.51	119.96	0.0	214.06	95.44	2.99	306.94	0.0	132.31	22.78	95.01	96.11	155.92	101.77	97.72	0.11
Agk	344.88	0.0	309.37	220.77	0.0	0.0	155.82	170.0	141.09	194.82	226.79	0.15	36.33	203.16	1.29	156.75	260.4	47.87	161.29	150.32	0.0	245.59	0.0	0.33	0.45	249.98	54.9	163.2	125.75	132.53	95.99
Aldoa	11485.19	10293.64	13597.95	11706.21	9645.08	9345.16	12694.2	12406.05	12801.23	13515.12	14715.13	13848.9	11472.28	11924.07	12605.63	9702.02	11555.54	8202.56	8328.05	10471.46	10170.49	6256.41	4623.85	11548.81	11283.91	8258.16	9670.1	8338.87	10997.44	10660.26	12521.72
Anapc5	4.35	0.0	52.76	35.73	0.55	1.36	51.2	56.27	13.16	0.49	52.44	23.58	92.14	106.84	24.48	45.22	1.39	0.14	80.0	80.93	6.69	114.15	0.77	77.41	236.62	63.1	55.17	30.55	36.83	42.84	60.54
Apol7b	1.68	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.39	0.0	0.0	0.0	0.0	0.06	0.02	0.0	0.79	0.0	0.0	0.0	0.12	0.47	0.2	0.16	0.08	0.0
Apol7e	1.68	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.08	0.39	0.0	0.0	0.0	0.0	0.06	0.02	0.0	0.79	0.0	0.0	0.0	0.12	0.47	0.2	0.16	0.08	0.0
Aspscr1	0.0	0.0	0.0	0.0	0.0	0.0	7.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.21	0.0	0.0	59.25	0.0	0.0	27.6	0.5	2.41	0.0	0.0	7.89	4.53	1.51	2.18	0.0
Avpr1b	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.0
Azin1	112.31	0.0	81.03	224.56	33.36	0.09	76.36	89.92	186.37	98.45	38.8	38.17	26.86	127.05	95.3	95.24	45.67	0.0	123.41	137.59	37.04	273.13	0.0	99.43	34.31	102.62	67.27	170.16	128.32	133.08	125.3
BC021785	1.31	0.18	2.97	1.1	1.0	0.6	2.84	2.83	14.29	0.3	1.0	1.34	2.75	3.83	0.41	0.69	4.72	4.86	3.15	9.41	2.53	13.94	1.95	8.01	0.0	1.72	1.12	3.32	3.28	1.41	7.41
Birc6	25.69	11.05	33.72	28.03	15.38	54.74	5.78	30.03	42.38	26.27	2.6	23.21	19.59	10.7	35.94	34.42	40.68	5.5	46.45	32.5	54.61	53.88	0.37	45.53	11.98	35.1	20.29	52.2	37.97	45.13	26.96
Calcoco1	69.45	0.0	0.0	3.8	0.0	0.0	0.0	0.0	36.07	0.0	15.05	41.54	0.0	13.16	0.0	9.69	80.84	0.0	37.55	20.03	0.93	41.47	0.27	0.26	0.18	29.44	31.47	22.49	24.6	24.33	0.0
Ccdc9	0.0	62.64	0.0	0.0	0.0	32.06	1.48	0.0	0.0	0.0	1.98	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.93	0.0	0.0	0.0	5.41	0.46	3.74	0.85	1.21	0.0
Ccl27b	0.0	10.98	22.87	48.6	0.0	0.0	415.15	0.0	47.74	81.28	272.53	147.69	178.93	92.75	3.5	0.0	0.0	0.0	8.59	19.48	0.0	16.78	0.0	0.0	0.0	103.08	75.81	61.27	76.52	71.98	74.33
Cinp	187.38	0.0	343.47	193.53	381.24	0.0	174.73	176.68	181.61	118.62	236.71	6.63	0.98	135.28	20.88	88.39	356.21	0.0	125.35	96.13	195.7	308.57	0.0	96.84	0.0	148.78	134.09	119.35	128.42	130.49	82.29
Clip4	1.26	0.0	0.0	21.98	13.65	58.4	6.41	0.0	0.16	0.0	0.0	0.0	4.9	0.0	7.6	4.32	30.02	0.0	7.88	0.0	0.0	50.74	0.0	1.06	0.12	5.06	6.43	5.62	8.85	6.04	6.69
Cln6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52	0.0	1.08	34.8	0.0	0.0	0.0	0.0	0.26	0.0	4.97	26.33	0.0	0.0	0.0	0.0	2.33	3.09	2.11	4.09	0.0
Cml2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41	0.0	0.08	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.09
Cml3	0.39	0.0	0.07	0.37	0.0	0.0	0.8	0.0	0.24	0.0	0.0	0.0	0.0	0.32	0.0	0.0	0.56	0.0	0.0	0.0	0.0	1.41	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0
Commd10	0.91	0.0	44.84	193.53	0.48	0.0	0.6	142.95	63.12	0.0	103.45	79.51	157.25	76.3	151.16	48.39	88.83	0.0	177.14	7.82	0.0	7.83	0.0	418.39	0.0	78.37	134.32	66.82	102.55	78.18	79.13
Crem	66.26	79.51	116.68	206.89	33.29	41.01	26.42	0.0	6.95	21.8	35.21	3.81	0.17	0.61	155.88	123.25	48.17	0.0	0.0	185.83	0.0	469.43	0.0	75.17	117.99	212.32	122.12	118.9	109.23	125.84	0.0
Cst6	0.13	0.0	0.14	0.08	0.0	0.15	0.0	0.09	0.0	0.23	0.0	12.05	0.0	8.73	0.12	0.13	8.79	0.19	17.27	0.21	14.72	0.08	0.0	0.19	0.14	6.42	9.43	2.79	4.93	4.1	0.0
Ctps	0.19	0.0	0.0	285.19	21.44	0.0	0.0	0.0	45.78	31.15	54.44	1.39	55.06	2.48	36.58	24.73	117.26	0.0	0.1	11.75	0.0	154.79	0.0	66.12	197.05	14.0	12.78	21.4	30.4	27.61	0.12
Cyb561	8.04	0.0	89.22	82.43	0.0	0.0	30.63	1.4	153.69	182.45	74.47	111.76	117.43	110.16	7.74	0.0	105.28	0.0	387.29	122.9	10.33	279.28	0.0	186.07	0.41	131.92	72.78	124.26	122.13	134.49	281.98
Cyb5r4	118.03	0.0	4.45	7.58	0.0	0.0	0.0	13.05	0.0	0.0	0.51	53.42	0.12	1.2	0.0	0.2	0.0	17.79	62.5	0.76	0.0	53.34	0.0	0.0	0.0	17.48	8.43	15.22	9.96	15.2	59.5
D15Ertd621e	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	43.98	0.0	0.24	4.7	0.0	0.3	0.0	9.82	27.18	0.0	52.46	69.63	0.0	50.32	0.13	39.62	55.99	19.33	5.46	4.72	3.63	4.58	0.06
Deb1	24.44	460.57	231.84	230.16	70.09	211.49	347.65	423.06	322.12	419.02	555.33	913.63	394.24	433.94	326.59	183.33	504.47	0.0	416.13	158.03	200.62	477.39	0.0	244.71	242.47	367.12	339.43	479.32	390.8	456.68	356.57
Dhx8	1.64	0.0	0.0	0.1	0.0	0.0	0.0	0.8	0.23	5.38	0.35	0.32	4.1	0.04	0.0	0.0	3.94	0.0	6.3	0.0	0.0	16.77	0.0	0.17	0.0	14.7	9.43	12.09	8.45	9.02	7.55
Dirc2	1.85	0.67	0.66	6.95	0.96	48.93	10.57	7.54	1.16	0.9	1.03	2.82	1.32	2.83	24.4	1.06	0.89	0.83	37.88	1.04	1.38	30.22	0.3	1.5	1.95	1.75	4.95	5.09	10.13	8.35	0.54
Dusp6	88.04	264.65	552.83	875.66	19.27	186.26	6.22	58.5	132.57	7.36	54.88	0.24	0.0	29.29	70.01	42.15	113.14	0.14	278.9	70.27	101.81	420.01	44.39	208.26	253.02	120.29	69.78	80.79	110.03	82.43	67.47
Eif2s2	87.13	352.93	77.12	26.18	91.04	13.79	40.37	104.28	174.94	30.17	245.75	167.53	137.16	106.42	72.58	104.34	277.51	64.95	240.19	105.27	65.52	175.25	0.0	84.2	75.99	86.11	103.31	153.91	146.31	152.15	189.15
Elavl1	18.65	30.89	51.64	32.78	14.83	0.0	37.24	52.2	18.84	10.38	12.58	7.85	14.48	30.09	8.46	44.65	2.57	1.3	24.36	0.08	16.25	138.43	0.0	15.56	0.08	24.54	14.22	25.37	17.09	19.07	53.42
Erf	0.0	0.0	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.47	0.0	0.08	0.0	0.0	1.59	0.0	0.0	0.0	0.16	0.0	0.51	0.1	0.3	0.0
Fam133b	13.2	0.0	7.45	70.56	28.97	5.71	20.18	10.59	17.25	48.07	12.31	0.45	6.87	3.76	8.54	24.35	20.33	0.0	83.42	104.16	4.6	115.77	1.67	17.97	0.22	48.18	70.95	54.66	47.28	45.9	0.0
Fancl	0.0	0.0	0.0	21.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	15.88	0.0	2.39	97.44	0.0	71.32	0.0	96.9	0.29	21.99	36.71	8.52	22.84	32.08	0.0
Fkbp1a	412.34	0.0	467.12	1018.67	219.42	116.72	287.21	382.14	292.97	282.01	458.06	455.04	303.3	327.38	317.8	294.47	296.93	106.87	686.37	442.42	7.61	885.96	0.0	564.81	0.31	330.33	283.71	317.62	399.58	383.88	344.05
Foxp1	49.83	0.0	6.74	20.3	0.0	0.0	51.85	75.27	56.72	28.07	24.03	5.55	9.53	0.69	35.79	4.15	17.5	212.27	177.46	81.35	113.06	55.99	0.57	68.71	5.83	27.28	51.78	40.0	33.72	37.41	11.39
Fyttd1	128.26	1.04	87.77	230.8	53.56	0.0	7.09	38.06	56.09	72.08	1.52	56.74	16.52	55.24	39.68	44.82	89.59	0.0	106.77	7.06	1.49	276.49	0.0	51.63	71.1	64.44	34.9	98.25	65.19	85.23	24.77
Gins3	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	50.95	0.0	0.0	0.0	1.91	0.08	0.99	0.0	4.48	0.0
Glra3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	96.82	0.0	0.0	0.0	0.0	0.0	0.21	0.48	0.24	0.0
Gm13306	0.0	10.98	22.87	48.6	0.0	0.0	415.15	0.0	47.74	81.28	272.53	147.69	178.93	92.75	3.5	0.0	0.0	0.0	8.59	19.48	0.0	16.78	0.0	0.0	0.0	103.08	75.81	61.27	76.52	71.98	74.33
Gm14431	0.0	0.0	0.83	18.01	0.5	0.0	0.08	1.62	2.27	0.0	0.48	0.13	0.0	2.02	0.07	0.28	1.22	0.19	1.1	0.42	0.0	13.65	0.07	1.56	0.25	2.49	0.72	0.99	0.9	1.65	0.0
Gm15645	50.45	20.23	121.05	57.54	47.47	89.03	130.09	32.1	34.92	133.49	49.4	62.6	37.3	50.32	34.28	32.38	52.14	85.68	163.57	90.18	43.41	175.32	122.16	137.8	50.09	84.8	81.6	79.98	89.47	81.34	45.22
Gm16062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.83	0.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.6	0.0	0.0	0.0	11.03	12.96	18.19	12.94	9.13	61.06
Gm16523	0.0	0.09	0.74	0.0	0.0	0.0	0.1	0.45	0.49	1.2	0.03	0.0	0.0	0.08	0.0	0.0	0.17	0.9	0.3	0.41	0.1	74.52	0.0	0.0	0.19	0.06	3.34	1.32	4.16	3.2	0.4
