	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_2	Calb2_tdTpositive_cell_19	Calb2_tdTpositive_cell_28	Calb2_tdTpositive_cell_29	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_43	Calb2_tdTpositive_cell_48	Calb2_tdTpositive_cell_51	Calb2_tdTpositive_cell_52	Calb2_tdTpositive_cell_61	Calb2_tdTpositive_cell_62	Chat_tdTpositive_cell_4	Chat_tdTpositive_cell_6	Chrna2_tdTpositive_cell_14	Chrna2_tdTpositive_cell_45	Chrna2_tdTpositive_cell_70	Ctgf_tdTpositive_cell_1	Ctgf_tdTpositive_cell_4	Ctgf_tdTpositive_cell_10	Cux2_tdTpositive_cell_71	Cux2_tdTpositive_cell_81	Cux2_tdTpositive_cell_85	Cux2_tdTpositive_cell_115	Cux2_tdTnegative_cell_3	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_12	Gad2_tdTpositive_cell_45	Htr3a_tdTpositive_cell_3	Htr3a_tdTpositive_cell_52	Htr3a_tdTpositive_cell_66	Htr3a_tdTpositive_cell_71	Htr3a_tdTpositive_cell_74	Htr3a_tdTpositive_cell_81	Htr3a_tdTpositive_cell_94	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_21	Ndnf_tdTnegative_cell_7	Nkx2.1_tdTpositive_cell_3	Nos1_tdTpositive_cell_55	Nos1_tdTpositive_cell_71	Nr5a1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_18	Ntsr1_tdTpositive_cell_57	Ntsr1_tdTnegative_cell_3	Ntsr1_tdTnegative_cell_19	Ntsr1_tdTnegative_cell_29	Ntsr1_tdTnegative_cell_38	Ntsr1_tdTnegative_cell_42	Ntsr1_tdTnegative_cell_46	Pvalb_tdTpositive_cell_80	PvalbD.Slc32a1_tdTpositive_cell_22	PvalbD.Slc32a1_tdTpositive_cell_27	PvalbD.Slc32a1_tdTpositive_cell_43	PvalbF.Gad2_tdTpositive_cell_7	PvalbF.Gad2_tdTpositive_cell_24	Rbp4_tdTpositive_cell_33	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_119	Rbp4_tdTnegative_cell_1	Rbp4_tdTnegative_cell_5	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_15	Rbp4_tdTnegative_cell_17	Rbp4_tdTnegative_cell_23	Scnn1a.Tg2_tdTnegative_cell_12	Scnn1a.Tg2_tdTnegative_cell_15	Scnn1a.Tg3_tdTpositive_cell_65	Scnn1a.Tg3_tdTnegative_cell_10	Scnn1a.Tg3_tdTnegative_cell_11	Scnn1a.Tg3_tdTnegative_cell_13	Scnn1a.Tg3_tdTnegative_cell_18	Sst_tdTpositive_cell_9	Sst_tdTpositive_cell_38	Sst_tdTpositive_cell_41	Sst_tdTpositive_cell_54	Sst_tdTpositive_cell_58	Sst_tdTpositive_cell_78	Sst_tdTpositive_cell_82	Sst_tdTpositive_cell_85	Sst_tdTpositive_cell_91	Sst_tdTpositive_cell_97	Sst_tdTpositive_cell_98	Vip_tdTpositive_cell_4	Vip_tdTpositive_cell_12	Vip_tdTpositive_cell_18	Vip_tdTpositive_cell_24	Vip_tdTpositive_cell_25	Vip_tdTpositive_cell_28	Vip_tdTpositive_cell_33	Vip_tdTpositive_cell_35	Vip_tdTpositive_cell_38	Vip_tdTpositive_cell_61	Vip_tdTpositive_cell_69	CAV_LP_Ipsi_tdTpos_cell_16
0610010B08Rik	1.67	0.33	1.84	0.0	6.55	0.18	64.06	51.11	0.0	28.76	0.0	43.99	4.58	0.54	62.9	29.17	3.34	3.32	0.0	0.0	18.79	0.0	146.77	2.13	1.63	0.0	0.85	0.7	80.9	1.45	12.14	1.14	22.72	0.0	30.38	0.0	0.0	0.0	0.0	40.47	9.87	0.18	1.16	25.23	18.06	0.0	0.0	0.0	0.0	0.02	0.0	30.65	1.64	1.46	46.94	51.74	29.22	5.26	4.38	9.5	0.0	0.62	8.55	0.6	0.25	0.0	0.18	0.0	0.38	0.56	0.1	0.0	0.0	0.0	0.08	9.34	0.0	0.32	47.65	48.46	1.1	3.99	41.83	26.42	3.42	37.45	72.38	1.11	0.12	3.94	0.58	139.07	21.97	70.33	50.97	4.31	1.79	0.77
2810433D01Rik	22.0	26.19	29.31	0.33	0.65	12.09	30.23	2.56	24.69	14.32	0.0	8.65	2.17	3.2	16.07	26.69	25.01	2.04	2.78	4.94	16.5	25.35	71.52	5.38	1.2	0.36	1.21	7.73	42.11	25.74	11.34	9.59	44.5	21.94	15.44	0.61	3.89	17.08	0.0	9.69	6.18	16.55	18.16	16.38	5.3	0.41	0.0	0.0	0.44	0.89	1.01	7.04	5.36	10.58	10.0	6.44	13.84	6.56	23.29	9.66	0.0	0.2	4.61	1.39	0.0	0.9	0.0	0.0	0.0	2.92	101.27	0.77	1.74	0.58	2.28	3.83	19.38	34.43	6.93	11.04	16.43	7.32	1.79	6.06	3.85	13.6	38.6	48.94	3.33	13.42	9.52	25.66	30.54	21.4	27.88	7.67	19.83	14.52
AW555464	15.61	1.13	4.49	0.07	0.0	81.87	0.0	0.0	3.1	2.59	0.0	1.76	0.0	0.0	0.0	4.45	3.08	0.0	0.0	0.0	28.28	58.23	70.8	0.94	0.0	0.0	0.09	5.65	0.06	32.09	108.28	7.91	49.7	0.13	4.88	0.0	0.0	0.07	0.09	0.06	0.41	21.22	0.21	11.46	1.25	0.0	0.0	0.0	0.1	0.0	0.0	18.44	0.04	3.88	3.36	25.58	1.59	9.86	35.96	12.24	0.04	0.16	0.23	0.0	0.25	0.0	0.0	0.0	0.11	0.0	6.23	0.0	0.0	0.0	0.0	5.7	1.06	0.07	0.99	10.13	0.61	20.46	0.42	47.44	9.13	33.64	0.06	20.33	0.57	0.0	0.0	8.5	5.67	3.06	0.16	0.18	14.68	2.56
Aak1	36.97	49.73	7.66	0.04	1.96	93.89	51.48	9.25	0.79	33.34	0.86	9.87	36.31	29.43	0.18	45.89	38.14	0.18	0.0	0.0	25.83	15.61	26.14	9.53	0.02	0.0	0.03	71.66	11.44	49.94	112.91	0.07	29.62	1.26	5.98	94.77	0.0	0.07	0.05	21.64	3.79	4.5	44.09	20.97	27.28	0.05	0.0	1.14	0.22	0.0	0.2	14.23	0.45	30.01	15.34	15.67	67.54	20.53	7.53	52.54	5.15	106.82	0.21	3.6	0.19	0.04	0.06	0.05	7.14	83.36	19.67	0.0	0.0	0.0	0.03	38.89	50.69	24.22	33.0	80.16	17.97	11.77	1.04	23.38	22.56	3.32	33.71	20.13	23.4	5.4	1.76	44.51	32.27	1.43	19.32	56.68	7.73	0.11
Adam23	31.94	5.29	4.52	0.0	39.52	0.0	3.09	0.0	8.1	76.12	15.06	10.66	10.48	42.6	0.38	39.21	16.52	0.0	0.0	0.0	23.24	0.44	31.57	2.44	0.0	0.0	116.2	1.43	91.56	7.27	11.23	0.0	22.12	212.11	8.83	0.0	0.0	0.0	9.95	2.01	5.76	0.0	27.3	57.87	14.58	0.0	0.0	0.0	0.0	3.03	0.75	8.7	0.56	37.6	39.39	7.38	55.84	34.79	24.04	2.91	0.04	12.91	0.11	527.76	0.0	0.0	0.0	0.0	6.32	0.0	21.8	0.0	0.46	0.0	0.0	75.87	13.64	0.13	66.97	25.68	2.85	29.76	97.03	85.57	3.23	4.45	85.51	2.02	17.44	2.1	6.14	99.63	66.95	55.16	3.13	4.47	96.06	40.4
Agap2	1.39	0.78	5.35	2.26	3.79	2.22	7.61	0.0	4.7	3.28	1.29	1.63	5.71	4.37	0.02	2.93	1.7	0.0	0.0	0.0	16.52	10.56	37.46	5.12	0.0	0.0	0.0	0.72	2.01	1.56	7.3	0.44	1.7	0.26	3.64	0.0	0.0	0.0	0.0	0.38	1.29	9.86	12.97	2.56	4.73	0.0	0.0	0.0	1.42	0.0	0.64	1.45	0.0	2.88	2.51	0.66	3.41	2.91	1.09	8.0	0.0	0.62	0.64	0.41	0.0	0.0	1.14	0.0	2.14	0.12	9.3	0.0	6.97	0.0	0.0	0.45	3.59	2.46	3.32	4.73	1.43	1.45	0.5	1.44	1.49	1.3	5.22	0.8	0.15	1.42	0.14	3.52	8.5	2.08	1.96	2.34	4.27	3.48
Bsn	9.09	0.1	0.0	0.03	0.05	8.93	0.15	0.41	21.01	2.01	0.0	0.85	1.15	1.1	0.07	25.47	8.53	0.0	0.06	0.0	12.4	49.79	17.86	31.75	0.08	0.0	0.09	2.47	0.17	0.78	0.05	0.0	0.6	2.94	7.39	0.07	0.05	0.03	0.1	21.64	9.78	1.15	29.13	39.01	23.31	0.0	0.0	0.04	0.11	0.02	0.04	0.16	3.86	0.09	1.92	17.93	5.67	0.74	30.31	15.31	0.04	0.09	0.22	3.29	0.08	0.16	0.07	0.21	0.25	0.1	98.14	0.0	0.07	0.09	0.0	47.07	16.56	3.65	10.0	1.11	11.15	1.08	10.46	61.11	34.83	38.25	0.06	48.82	4.7	0.0	0.13	5.42	0.42	0.0	0.0	0.27	0.06	23.04
Cacna1a	0.0	0.0	1.19	0.24	0.0	0.0	3.12	0.0	2.45	0.0	0.0	0.63	3.22	0.0	0.28	2.25	0.22	0.0	0.0	0.0	6.13	0.28	17.16	0.72	0.0	0.0	0.0	0.0	0.05	0.0	0.31	0.53	0.34	0.0	3.2	0.0	0.0	0.0	0.0	0.11	0.1	0.0	11.5	0.52	2.97	0.0	0.0	0.0	0.0	0.0	0.0	1.31	2.52	1.23	0.05	1.55	0.72	9.26	0.62	0.89	0.0	0.0	0.0	18.24	0.0	0.0	0.0	0.0	3.26	0.0	0.12	0.0	0.0	0.0	0.0	0.16	8.83	0.06	4.35	4.52	1.56	0.33	0.0	0.0	0.0	1.11	0.0	0.16	0.0	0.51	0.74	0.0	0.0	0.0	0.0	0.63	0.97	7.78
Cct5	955.03	1405.6	1137.74	1178.41	1375.91	1544.7	1387.62	1451.31	1201.6	1091.8	1832.2	1256.71	1383.02	1341.08	870.41	798.64	766.54	613.32	993.69	552.91	831.23	1152.88	1292.83	959.47	580.43	1576.18	1286.19	1292.25	1187.88	1154.23	1093.12	1332.41	1185.02	895.03	1147.19	549.44	2255.92	2036.2	1089.07	1209.77	1002.26	1298.35	736.48	855.58	737.02	1339.57	771.98	1199.81	2220.58	1147.04	777.18	881.86	922.85	1366.45	1296.74	715.54	857.13	944.33	1126.15	831.2	993.88	1246.02	1163.14	2160.83	585.62	662.55	1304.47	508.64	1719.84	2558.81	1739.96	1428.35	2543.28	863.66	516.05	1179.22	1414.62	1033.78	744.73	846.19	1235.33	1008.47	1351.44	1269.5	1672.71	1128.35	891.67	1181.31	1547.99	1556.43	1420.04	1046.93	823.97	1435.97	1079.15	1292.67	2049.43	1490.59
Celf5	1.11	11.85	44.44	0.11	9.74	17.97	1.81	7.32	2.7	6.28	9.51	20.78	32.83	22.39	2.4	15.61	16.04	0.0	0.0	0.0	71.35	70.43	5.14	20.5	0.0	0.0	0.0	2.64	24.18	0.42	0.55	6.33	1.0	32.19	11.01	0.0	0.0	0.12	0.0	1.6	26.6	25.88	7.57	14.32	16.11	0.19	0.0	0.0	1.27	0.22	35.45	8.93	10.97	8.76	9.43	0.6	0.08	20.37	21.4	20.74	0.14	0.0	0.17	1.29	1.04	0.0	0.25	0.0	3.23	0.49	75.05	0.0	0.36	0.0	0.09	24.92	10.64	32.17	10.79	2.39	8.39	1.42	14.07	1.02	0.0	2.09	3.33	10.17	2.3	0.32	11.23	1.19	80.31	0.24	31.62	0.59	0.56	9.36
