	Chrna2_tdTpositive_cell_73	Cux2_tdTpositive_cell_100	Gad2_tdTpositive_cell_41	Nr5a1_tdTpositive_cell_15	Scnn1a.Tg2_tdTnegative_cell_1
1700028K03Rik	0.0	0.0	768.94	0.0	0.22
4430402I18Rik	0.0	0.0	598.17	0.0	0.0
5530601H04Rik	0.44	0.81	465.36	2.17	76.54
AU019990	0.0	0.0	1.65	0.9	1.16
Alms1-ps2	0.0	0.14	186.31	0.0	0.0
Ankrd32	0.0	0.0	433.81	29.27	0.0
Bmp1	6.31	6.83	463.52	68.07	0.0
Ccl28	0.0	0.0	382.75	0.12	0.0
Cd22	1.2	0.55	3.02	1.67	1.36
Ceacam20	0.97	1.64	10.52	3.25	1.99
Echdc2	0.0	0.0	653.56	0.38	494.4
Ehbp1l1	1.87	2.94	306.05	6.38	11.73
Fam173b	30.73	70.21	719.24	177.37	588.87
Ffar2	0.0	0.0	0.07	0.13	0.0
Gm16157	0.0	0.0	45.13	0.44	0.0
Gm5069	0.11	0.0	567.74	0.0	0.0
Gm6936	0.0	0.0	112.74	0.0	0.0
Gramd1c	0.0	0.0	466.54	0.0	0.0
Gtf3c1	0.0	0.09	220.28	0.0	138.58
Hivep1	28.14	0.51	186.42	0.93	0.0
Hras1	0.0	0.0	336.54	223.72	0.0
Klhdc7a	0.0	0.0	224.57	0.0	0.0
Lactb2	1.69	3.15	699.83	6.68	7.91
Mark2	0.0	0.15	243.21	0.41	0.0
Mks1	0.52	0.28	615.78	0.74	39.18
Ncor2	0.0	0.0	111.82	0.33	0.0
Neurog1	0.0	0.0	0.63	0.0	0.0
Nln	0.0	71.86	410.49	0.0	0.0
Nudt13	41.41	0.0	298.52	182.82	18.73
Osbpl6	16.37	1.43	205.96	119.27	0.0
Pex11a	0.0	0.0	755.87	0.0	0.0
Prkci	0.0	0.0	310.84	0.2	0.0
Pusl1	0.34	0.54	799.15	17.63	544.49
Shd	0.0	64.31	528.77	201.46	438.33
Snord8	0.0	0.0	469.57	0.0	0.0
Trp63	0.0	0.0	387.07	0.0	0.0
Vash1	19.83	0.0	205.65	26.49	0.0
Wdr19	0.09	0.0	289.24	0.0	0.0
Wdr60	20.73	2.41	600.65	29.29	0.0
