	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_28	Chrna2_tdTpositive_cell_30	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Cux2_tdTpositive_cell_98	Gad2_tdTpositive_cell_40	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_68	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_16	Nos1_tdTpositive_cell_6	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_29	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_39	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700010D01Rik	0.0	0.0	0.0	0.0	0.0	0.0	2.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.2	0.22
4930503L19Rik	0.0	0.0	0.0	35.2	0.0	0.0	102.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.47	0.0	0.0	9.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.91	0.0	10.71	4.72	9.54	8.23	8.91
4930549G23Rik	0.0	0.0	0.0	0.0	0.0	0.0	38.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61	12.78	11.34	5.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.8	2.38	0.64	0.92
9130019P16Rik	0.0	0.0	0.0	0.0	0.0	0.0	3.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	1.6	1.7	1.87
AU015228	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0
Aggf1	0.0	0.15	42.24	4.06	0.0	0.0	132.67	10.49	8.63	0.0	29.2	9.64	0.0	0.0	0.02	42.62	11.74	1.88	19.91	8.35	0.25	0.0	1.21	3.95	0.0	0.0	3.82	40.6	0.0	0.0	3.26	0.46	12.92	3.04	0.0	26.35	6.33	22.98	0.0	2.56	35.27	0.0	10.19	16.03	49.99	49.32	47.48
Akirin1	8.67	0.0	0.0	0.0	0.0	0.15	144.82	10.0	33.41	0.0	7.25	57.08	0.0	1.55	0.17	0.0	0.0	0.0	0.26	24.79	15.87	49.37	0.0	0.0	0.0	0.0	0.0	0.63	21.29	0.0	0.1	0.0	17.52	0.0	0.0	0.0	0.0	0.0	2.7	0.0	0.0	42.05	6.99	9.85	70.97	75.53	68.13
Als2cr12	0.0	0.0	0.0	0.0	0.0	0.0	2.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.06	0.07
Amn	0.0	12.56	0.0	0.0	0.0	0.0	17.52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.62	0.0	4.49	7.68	6.83
Ankrd13a	0.0	0.0	0.0	0.0	0.0	0.0	53.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	13.02	0.0	0.07	0.85	0.0	0.0	0.0	0.0	3.79	0.0	0.0	0.0	0.0	0.09	0.0	1.99	0.0	2.06	0.0	0.0	5.85	0.16	0.0	0.0	0.0	0.28	0.0	1.58	1.28	31.18	31.76	31.28
Apool	0.0	0.0	0.0	0.0	0.0	0.0	186.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.55	0.0	0.0	0.0	0.0	64.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.68	17.33	6.01	4.87	5.55
Arl10	0.0	0.0	0.0	0.0	0.0	0.0	62.66	0.0	0.0	0.0	0.0	0.0	0.0	0.36	26.88	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.1	23.85	23.95
Atxn7l3	0.0	0.0	0.0	0.0	0.0	0.0	17.9	16.42	0.0	0.0	0.0	8.71	0.57	0.2	0.0	0.0	0.0	0.26	1.67	0.0	0.11	0.74	3.95	0.23	0.0	0.09	0.0	0.0	0.0	19.27	0.0	13.04	4.78	0.0	0.57	7.51	25.75	0.0	0.0	0.0	0.0	0.0	1.41	1.98	174.79	180.92	176.83
BC049635	0.0	0.0	0.0	0.0	0.0	0.0	48.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.95	1.91	11.12	7.9	9.85
