	Htr3a_tdTpositive_cell_79	Nos1_tdTpositive_cell_49	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_136	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1200011I18Rik	0.31	0.71	2.91	47.87	24.99	23.85	23.5
2310003C23Rik	1.66	40.58	0.21	121.26	44.64	43.83	43.42
2310050B05Rik	0.0	0.0	0.0	6.98	6.65	3.93	2.78
2610028H24Rik	0.0	0.0	0.0	16.17	0.08	0.19	0.1
2900008C10Rik	0.0	0.0	0.0	19.55	8.02	7.17	8.43
4632428C04Rik	0.0	0.0	0.0	1.86	0.86	1.1	0.67
4921525B02Rik	0.0	0.0	0.0	1.28	1.3	1.18	1.69
9230115E21Rik	0.0	0.0	0.0	1.64	0.75	0.81	0.71
A630072M18Rik	1.0	1.39	0.07	4.9	4.79	4.03	4.74
Anks4b	0.0	0.0	0.0	69.69	0.44	0.32	0.25
Apba3	2.57	0.0	0.0	14.81	17.6	19.89	18.64
Arid3c	0.0	0.0	0.0	14.07	0.11	0.4	0.23
Arih1	3.18	0.0	0.0	53.31	45.7	44.14	45.02
BC006965	1.37	0.25	0.0	167.73	1.97	2.28	2.02
Bach2	0.09	0.2	0.44	7.99	4.24	3.25	4.28
Bcar1	0.0	1.43	0.0	40.51	38.51	44.38	36.67
Btbd17	0.0	0.0	0.0	5.42	17.69	19.15	17.54
Ccl27b	4.28	22.24	0.0	74.26	30.63	28.29	22.96
Cdc42ep2	0.0	70.0	0.0	200.49	15.4	16.7	15.62
Cdh22	0.0	0.0	0.0	7.06	26.71	27.01	29.44
Ces1f	0.0	0.0	0.0	85.74	0.1	0.1	0.05
Ckap2	0.0	0.0	0.0	60.0	0.46	0.86	0.71
Cldn20	0.0	0.0	0.0	49.52	1.87	0.44	1.94
Clec2g	0.67	0.16	0.0	2.04	1.34	0.98	1.13
Cryba2	0.0	0.0	0.0	63.19	1.02	0.28	0.45
Csf1	0.0	0.0	0.0	35.94	11.57	12.8	12.69
Csf3r	1.13	1.03	1.16	1.34	4.21	3.81	5.47
Cux2	0.0	0.0	0.0	0.92	36.41	37.48	43.23
D17H6S56E-3	0.19	0.16	0.0	6.35	0.78	0.72	0.77
Dusp10	0.0	0.0	0.0	0.0	4.77	5.19	4.88
E130008D07Rik	2.31	5.8	0.9	60.91	7.79	5.78	7.6
Fbn2	0.31	0.0	0.0	7.07	1.6	1.27	1.43
Fbxo27	0.0	0.19	0.0	111.98	17.1	17.79	17.76
Fignl1	0.0	0.0	0.0	59.61	0.8	0.72	1.18
Flt3	0.0	0.0	0.0	29.9	6.21	4.61	5.11
G630090E17Rik	0.0	0.0	0.0	11.42	0.88	0.34	0.98
Gfpt2	0.0	0.0	0.0	59.78	7.86	8.08	8.35
Gm13306	4.28	22.24	0.0	74.26	30.63	28.29	22.96
Gm2506	4.28	22.24	0.0	74.26	30.63	28.29	22.96
Hyal1	1.21	0.53	0.0	2.93	4.13	4.13	4.53
Inpp5b	35.31	0.0	0.1	94.43	28.65	26.45	27.5
Itga8	0.57	0.0	0.0	29.95	3.98	3.26	3.95
Kcna10	0.0	0.0	0.0	4.11	0.22	0.1	0.06
Kiss1	0.0	0.0	0.0	2.37	1.48	2.0	1.53
Krt25	0.0	0.0	0.0	4.72	0.24	0.0	0.06
Lix1l	0.0	0.0	0.0	15.02	22.74	21.94	19.84
Ltbr	0.0	0.0	0.0	51.38	6.2	7.23	9.05
Mfrp	0.0	0.0	0.0	0.46	0.28	0.35	0.15
Mtbp	0.0	0.0	0.0	36.55	1.85	1.84	1.49
Ndst2	0.0	0.0	0.0	34.29	11.14	12.04	12.45
Neurod1	0.0	0.0	0.0	184.48	13.75	12.99	13.13
Nox3	0.0	0.0	0.0	5.24	0.17	0.0	0.06
Onecut2	0.02	0.01	0.0	3.98	1.83	1.47	1.93
Pde7b	0.0	0.0	0.0	46.02	36.52	32.28	35.06
Pecr	0.0	0.0	0.0	79.37	6.53	8.79	6.39
Plekhf2	0.0	0.0	0.0	18.49	7.22	6.12	6.48
Ptpn3	14.27	5.99	0.0	58.39	28.78	27.92	28.04
Pycr1	0.11	0.44	0.42	23.08	2.82	2.22	2.48
Rapgef3	0.0	0.0	1.0	45.78	22.36	23.68	23.06
Rbbp6	32.05	3.19	0.0	110.98	66.86	68.09	67.89
Rbbp7	109.4	22.98	0.0	378.08	130.84	128.69	120.66
Rora	0.0	0.0	0.0	110.36	15.2	13.12	17.62
Scnn1a	0.0	0.0	0.0	6.86	3.6	3.6	3.34
Sec14l3	0.0	0.0	0.1	0.43	1.59	1.18	1.29
Slc1a6	0.0	0.0	0.0	59.63	10.01	9.38	8.37
Slc23a3	0.0	0.0	0.0	45.89	1.35	0.95	2.19
Slc2a1	0.0	0.0	44.38	120.58	78.33	91.62	72.46
Snora28	0.0	0.0	0.0	61.52	19.7	20.79	15.55
Suclg2	0.0	0.0	0.0	0.12	21.19	19.63	21.51
Tmco7	0.0	0.0	0.0	49.05	3.87	3.82	4.09
Tmem167b	2.46	7.51	0.13	234.44	44.69	45.81	45.82
Uba6	0.0	0.0	0.0	66.01	13.22	10.13	11.9
Ush1g	0.0	0.0	0.0	0.16	0.34	0.9	0.44
Usp44	0.0	0.0	0.0	10.29	0.07	0.0	0.14
Wisp3	0.0	0.0	0.0	17.92	0.56	0.75	0.67
Zap70	0.0	0.0	0.0	6.69	1.23	1.93	1.78
Zdhhc22	0.0	0.0	0.0	41.68	44.51	41.05	46.58
Zfp111	0.8	0.11	0.62	27.07	4.11	3.6	4.09
Zfp516	0.0	0.0	0.0	11.68	7.01	6.45	6.59
Zfp953	0.0	0.08	0.08	37.15	1.22	0.7	1.3
mt_AK131586	0.0	0.0	0.0	0.0	25813.35	24091.17	24561.45
mt_AK166684	0.94	0.0	0.0	0.0	18796.57	17507.83	18655.33
mt_BC128309	5.35	0.0	143.83	235.83	574.0	521.54	621.05
