	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Cux2_tdTnegative_cell_15	Gad2_tdTpositive_cell_24	Gad2_tdTpositive_cell_39	Gad2_tdTpositive_cell_41	Ndnf_tdTnegative_cell_1	Ndnf_tdTnegative_cell_4	Ntsr1_tdTnegative_cell_11	Ntsr1_tdTnegative_cell_14	Ntsr1_tdTnegative_cell_18	Ntsr1_tdTnegative_cell_45	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_10	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_16	Rbp4_tdTnegative_cell_21	Rbp4_tdTnegative_cell_23	Scnn1a.Tg2_tdTnegative_cell_5	Scnn1a.Tg2_tdTnegative_cell_18	Scnn1a.Tg3_tdTnegative_cell_2	Scnn1a.Tg3_tdTnegative_cell_8	Scnn1a.Tg3_tdTnegative_cell_21	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610031J06Rik	173.61	531.81	472.24	0.0	0.0	20.01	0.0	720.52	0.0	0.51	0.41	0.0	1858.07	1105.52	2645.79	961.14	0.23	531.44	0.0	379.35	0.48	0.0	1111.56	938.86	36.52	39.81	38.78
A930003O13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	2.54	0.14	3.42	0.47	0.0	0.51	0.6	0.45	0.0	0.0	0.0	0.37	1.03	1.12	1.1
C330019G07Rik	0.0	0.0	1.22	0.0	0.09	0.1	0.0	0.0	0.0	0.0	0.06	153.54	301.45	72.59	292.64	0.0	0.79	0.0	10.44	7.72	0.07	0.0	0.1	0.0	18.97	16.93	18.61
Cst3	11923.09	54350.96	61505.62	15976.54	10478.59	13132.13	18986.87	28585.73	11843.79	22838.83	32676.97	22149.39	59768.12	79037.77	72522.19	67515.86	70378.51	72390.07	61052.51	28488.27	18645.13	80478.24	95318.24	84616.84	1961.51	2186.93	2204.12
Efhd2	0.14	0.0	0.2	0.0	0.0	395.3	0.0	0.0	0.0	0.0	50.23	0.0	1200.65	0.27	848.29	0.0	380.37	328.45	329.52	0.31	0.3	0.0	159.41	0.0	252.09	258.98	262.64
Fscn1	0.0	2.98	44.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0.0	73.96	5.19	157.17	111.17	0.0	2.39	3.3	0.14	0.0	2.23	0.0	0.0	187.25	206.18	214.83
Gm3317	0.0	0.0	9.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	249.09	0.0	85.7	84.2	55.92	51.38	0.81	0.0	0.0	61.92	25.67	158.1	2.38	2.75	2.9
Gm3494	0.0	0.0	9.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	249.09	0.0	85.7	84.2	55.92	51.38	0.81	0.0	0.0	61.92	25.67	158.1	2.38	2.75	2.9
Grb2	0.0	28.71	233.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	346.17	0.25	369.72	0.0	0.0	0.0	0.53	0.14	0.0	0.0	0.0	1.9	133.21	134.34	136.09
Il7	0.0	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.95	0.65	0.97	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.12	0.12
