	Chrna2_tdTpositive_cell_41	Chrna2_tdTpositive_cell_43	Ctgf_tdTpositive_cell_3	Ndnf_tdTpositive_cell_7	Pvalb_tdTpositive_cell_47	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_35	PvalbD.Slc32a1_tdTpositive_cell_37	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_18	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_85	PvalbF.Gad2_tdTpositive_cell_87	Tac2_tdTpositive_cell_6	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700061J05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.11
2610507B11Rik	0.0	0.0	0.0	0.0	13.74	7.99	3.97	55.42	43.54	34.39	30.96	23.53	22.44	0.06	108.1	104.63	107.37
4930528F23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.06
4930555B11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.07
5730405O15Rik	0.0	0.0	0.0	0.0	0.0	2.95	0.0	50.6	20.72	30.2	0.64	2.82	0.4	1.49	1.72	1.62	2.25
Abr	1.35	3.35	0.0	0.0	42.92	51.59	22.81	97.74	44.64	74.12	41.38	25.22	74.12	44.06	272.97	271.82	286.04
Adcy5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.07	19.51	0.0	0.63	8.02	0.07	0.0	139.88	145.98	149.99
Adipor2	0.0	0.0	0.0	2.7	0.0	6.76	0.0	8.52	0.0	0.0	0.0	0.0	0.0	0.0	35.22	36.69	31.89
Arfgef2	0.0	0.0	0.0	0.0	9.58	15.04	0.0	18.01	14.45	3.99	13.27	14.3	4.25	0.76	31.51	30.54	31.38
Bpifb4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.05
Cacna1c	0.0	0.0	0.0	0.0	0.05	0.0	0.0	1.22	0.14	1.04	0.0	0.0	0.0	0.0	26.61	24.77	28.8
Ccr3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.03
Cdk11b	11.81	13.86	70.19	0.0	51.25	28.15	13.01	80.06	15.16	90.01	33.02	22.31	6.01	72.79	62.74	60.66	62.73
