	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_4	Gad2_tdTpositive_cell_43	Ndnf_tdTnegative_cell_6	Ndnf_tdTnegative_cell_10	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_21	Ntsr1_tdTnegative_cell_33	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_24	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_47	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_14	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_22	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_42	PvalbF.Gad2_tdTpositive_cell_63	Rbp4_tdTpositive_cell_51	Scnn1a.Tg2_tdTnegative_cell_19	Scnn1a.Tg3_tdTnegative_cell_12
9630033F20Rik	0.0	0.0	0.0	29.35	0.0	0.0	12.33	0.0	0.0	23.28	4.54	7.94	21.28	7.13	6.97	28.52	13.33	3.01	5.76	55.2	13.94	1.14	5.66	0.21	2.37	20.94	4.77	30.22	21.22	36.68	4.45	20.19	11.88	1.9	13.23	28.64	3.32	4.08	11.32	0.0	0.0
Aars	0.0	0.05	0.07	78.34	0.0	0.0	32.03	0.0	0.36	63.88	24.05	58.27	46.53	53.52	52.86	67.77	39.38	100.31	49.36	55.7	32.65	59.31	89.16	138.05	22.76	105.19	18.8	56.81	46.88	35.67	49.97	63.2	33.81	90.14	103.71	42.92	50.1	49.82	80.96	0.08	4.2
Abcg1	0.0	77.83	0.0	129.42	0.0	0.0	83.46	1.31	0.51	76.94	77.13	77.07	82.12	86.02	104.81	131.26	60.04	100.41	105.82	154.16	87.86	102.37	148.64	280.66	102.26	176.99	61.26	108.94	75.45	131.44	81.13	128.83	89.82	68.98	93.25	94.05	113.4	102.82	60.3	0.07	236.48
Acsl4	0.0	10.32	0.0	57.92	0.0	0.0	21.34	0.19	0.36	19.35	26.99	54.74	30.64	48.23	73.79	81.4	71.17	25.41	46.67	93.13	15.3	13.89	42.42	91.3	10.47	35.63	2.81	6.5	22.29	31.0	55.21	51.95	52.3	17.21	23.09	9.53	10.16	79.52	10.3	0.08	0.0
Baz1b	3.42	0.0	0.0	14.8	65.64	0.0	3.73	0.0	0.0	4.2	0.0	25.68	6.97	1.3	0.0	28.34	21.07	0.0	9.83	4.65	0.0	0.0	23.63	45.37	0.07	52.91	0.0	21.58	5.49	2.05	0.19	0.0	22.88	0.41	23.85	26.42	2.71	20.58	0.0	0.06	0.0
Clec16a	0.0	0.0	0.0	18.68	0.0	0.0	0.6	0.0	0.0	9.32	0.87	43.03	34.97	1.59	27.44	79.6	11.68	24.75	19.5	35.61	2.41	0.57	10.08	100.31	0.0	6.28	0.35	21.14	16.18	12.45	0.71	28.27	23.76	14.76	64.4	21.96	78.79	1.19	0.8	0.0	0.0
Cyfip2	0.0	20.02	0.0	26.76	0.04	0.0	77.29	0.0	0.65	55.78	64.42	91.41	47.87	49.72	63.98	169.38	23.76	78.91	76.74	87.13	66.44	33.28	145.9	225.91	32.83	190.75	100.56	205.04	90.74	57.57	57.61	84.08	107.17	181.82	81.87	79.28	41.49	131.59	67.13	0.19	0.0
Ddx52	63.25	10.12	0.0	12.99	0.0	0.0	0.0	0.0	8.49	20.32	0.0	84.64	0.11	98.56	22.32	87.25	45.56	0.0	28.72	129.17	23.0	70.24	0.82	49.59	24.71	74.23	63.53	0.0	15.32	19.09	93.2	49.93	21.43	16.06	30.62	0.0	37.3	0.0	50.57	0.0	0.0
Dennd5b	0.82	37.78	2.47	51.11	3.79	15.7	66.81	20.11	4.29	115.68	83.3	74.32	76.76	144.94	109.56	118.17	83.45	84.07	107.61	122.85	89.23	115.75	171.72	124.51	108.02	166.61	29.55	82.57	63.35	84.0	116.22	24.87	115.64	101.56	50.47	75.03	83.33	94.85	74.97	8.78	2.33
Denr	3.75	105.66	0.0	62.91	10.24	3.26	14.91	14.95	10.3	53.86	52.54	57.57	43.78	10.15	17.3	13.84	88.44	33.98	91.24	206.7	71.01	19.38	70.14	160.79	21.9	162.64	2.06	77.21	27.46	41.55	26.44	86.88	62.26	55.01	42.71	19.77	42.8	28.77	31.14	6.65	20.96
Dhx15	0.0	0.0	0.0	59.94	0.0	0.0	25.46	0.0	0.0	68.61	0.25	11.41	34.64	117.96	38.49	120.06	10.54	27.51	109.77	33.63	20.51	51.34	99.27	125.89	11.26	104.65	0.0	7.15	29.74	22.76	11.38	78.94	13.93	42.61	23.77	4.51	0.0	98.42	15.93	0.0	0.0
Eepd1	0.0	0.0	0.0	0.47	0.0	0.0	27.0	0.0	0.0	0.0	0.0	43.82	2.17	0.0	47.92	11.51	0.0	0.0	0.0	44.21	0.0	0.89	22.6	73.34	0.0	55.62	0.0	0.0	2.14	25.79	0.0	2.1	5.8	31.29	0.0	0.0	0.17	35.18	28.39	0.0	0.0
Fbxo38	0.0	0.22	0.0	130.71	8.7	1.37	17.69	0.0	8.63	26.43	0.0	0.0	41.96	0.0	0.0	10.88	26.23	23.87	0.73	32.41	28.69	28.3	3.81	56.89	1.03	48.42	16.81	31.96	26.28	40.35	26.53	17.57	76.8	18.07	23.62	0.0	1.73	26.22	54.5	0.0	0.0
Fsd1	0.0	109.32	0.0	186.5	0.0	0.0	65.34	0.0	0.69	144.09	0.0	129.6	93.88	132.02	85.82	169.95	135.12	111.21	136.71	145.2	111.83	110.39	44.74	291.3	55.24	218.89	74.9	252.59	145.35	128.23	145.46	197.59	240.63	136.42	121.28	100.24	0.0	72.52	0.0	0.24	0.0
Gabra3	0.16	4.41	0.0	3.55	0.0	0.0	43.41	0.26	0.36	22.62	15.28	47.43	119.98	29.6	200.58	92.27	84.67	57.75	70.19	147.22	26.61	76.73	113.28	186.45	63.75	165.69	98.37	94.18	34.14	57.42	118.9	10.77	57.17	50.13	72.48	160.29	104.4	57.63	130.78	0.21	0.0
Gars	0.0	0.0	0.0	141.83	0.0	0.0	85.73	0.0	0.25	56.77	3.87	59.97	26.21	93.11	152.51	246.35	130.72	139.61	33.02	262.66	70.67	35.65	42.78	40.8	168.43	169.23	88.71	18.86	77.73	188.78	27.6	106.63	80.38	108.01	108.12	84.42	27.68	44.57	12.41	7.36	0.0
Gm14430	0.0	0.0	0.0	17.66	0.0	0.0	3.32	0.0	0.0	36.04	0.0	14.72	31.75	1.87	26.14	10.3	14.72	6.05	13.5	30.16	14.04	16.5	13.46	3.22	12.83	28.02	3.07	11.03	18.55	13.57	4.08	11.25	0.0	0.32	19.5	0.54	8.34	13.81	2.38	0.08	0.0
