	Chrna2_tdTpositive_cell_57	Gad2_tdTpositive_cell_24	Ndnf_tdTpositive_cell_8	Ndnf_tdTnegative_cell_4	Ntsr1_tdTnegative_cell_22	PvalbD.Slc32a1_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_89	PvalbF.Gad2_tdTpositive_cell_94	Rbp4_tdTpositive_cell_61	Rbp4_tdTpositive_cell_181	Scnn1a.Tg2_tdTnegative_cell_12	Scnn1a.Tg3_tdTpositive_cell_102	Scnn1a.Tg3_tdTnegative_cell_1	Scnn1a.Tg3_tdTnegative_cell_15	Vip_tdTpositive_cell_16	CAV_LP_Ipsi_tdTpos_cell_15	CAV_LP_Ipsi_tdTpos_cell_43
Arf6	30.19	0.0	25.69	0.0	0.0	0.0	14.13	5.31	0.68	20.52	31.04	0.35	0.0	0.0	0.1	26.12	0.1
Miat	2.62	0.0	0.0	0.0	0.0	0.0	0.14	11.42	1.37	14.66	180.48	39.69	0.0	0.0	0.0	50.41	0.0
Pa2g4	109.92	0.0	10.57	0.0	0.0	83.82	0.7	0.79	32.76	0.69	697.42	178.63	0.0	0.0	0.0	131.32	0.8
Phc3	2.18	0.24	0.17	0.18	0.0	0.13	14.14	18.21	1.5	1.63	32.41	2.64	0.0	0.05	0.36	2.65	0.14
Psmb2	1623.72	2081.0	2146.58	2289.33	1308.5	1040.66	734.89	1114.47	1732.38	1618.58	2160.84	1669.64	1872.23	457.0	1980.03	1550.73	1096.53
Psmf1	81.4	0.0	0.0	0.0	0.28	0.0	0.48	1.56	0.0	13.79	0.38	19.47	0.0	0.0	0.0	1.43	0.0
Rragd	29.77	0.12	0.12	0.03	0.0	0.0	0.43	0.16	0.51	2.67	0.63	25.33	0.0	0.0	0.0	3.11	0.08
Sin3b	171.06	0.0	268.41	0.0	0.0	0.43	14.39	171.8	0.06	248.01	0.33	2.27	0.0	0.0	0.0	87.81	5.79
Slc36a1	25.31	0.0	0.05	0.0	0.0	0.0	0.05	0.16	0.1	0.16	0.13	0.14	0.0	0.0	0.0	0.06	0.0
Tbc1d30	1.72	0.0	0.0	0.0	0.0	0.0	0.12	1.18	0.0	6.74	0.24	0.31	0.0	0.0	0.0	8.21	0.0
Usp32	32.77	0.07	0.0	0.0	0.07	0.0	0.67	14.41	12.82	13.71	0.1	138.48	0.0	0.0	47.1	18.82	0.0
Utrn	35.42	0.0	166.7	0.44	0.0	0.0	10.65	18.66	21.74	9.39	13.18	0.49	0.0	0.0	0.0	18.71	0.0
Zcchc14	7.07	0.0	0.0	0.1	0.08	0.05	0.96	0.19	0.04	33.98	296.55	0.29	0.0	0.0	0.29	5.14	0.06
