	Ntsr1_tdTpos_100cell_1	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2
0610009L18Rik	0.52	0.0	0.0	0.0	5.69	10.08
0610038B21Rik	0.41	0.0	0.0	0.0	0.7	1.18
0610040F04Rik	0.53	0.0	0.0	0.0	2.02	1.53
1110020A21Rik	2.04	0.0	0.0	0.0	1.62	1.35
1300017J02Rik	0.13	0.0	0.0	0.0	0.0	0.08
1700001G17Rik	1.06	0.0	0.0	0.0	1.37	0.65
1700007K13Rik	2.35	0.0	0.0	0.0	4.82	5.26
1700023L04Rik	0.49	0.0	0.0	0.0	0.31	0.44
1700029J03Rik	2.0	0.0	0.0	0.0	0.0	0.0
1700034K08Rik	0.52	0.0	0.0	0.0	0.44	0.95
1700037C18Rik	0.28	0.0	0.0	0.0	7.08	6.57
1700066J24Rik	0.45	0.0	0.0	0.0	122.44	120.76
1700091E21Rik	0.48	0.0	0.0	0.0	1.55	0.88
1700095B22Rik	0.28	0.0	0.0	0.0	2.09	2.38
2310008H04Rik	0.46	0.0	0.0	0.0	1.68	1.84
2610020H08Rik	0.45	0.0	0.0	0.0	0.56	0.95
2610318N02Rik	0.24	0.0	0.0	0.0	0.87	1.27
3110062M04Rik	1.84	0.0	0.0	0.0	2.24	2.95
4930432K21Rik	3.01	0.0	0.0	0.0	2.73	2.99
4930465K10Rik	0.24	0.0	0.0	0.0	0.16	0.15
4930467E23Rik	1.87	0.0	0.0	0.0	1.41	1.22
4930503B20Rik	0.92	0.0	0.0	0.0	0.0	0.09
4930549G23Rik	1.84	0.0	0.0	0.0	2.38	0.64
4930579C15Rik	1.25	0.0	0.0	0.0	1.14	1.69
4930581F22Rik	0.5	0.0	0.0	0.0	2.82	3.43
4931408A02Rik	1.4	0.0	0.0	0.0	1.2	1.92
4931414P19Rik	3.7	0.0	0.0	0.0	2.9	2.7
4932412H11Rik	0.2	0.0	0.0	0.0	0.17	0.16
4932441J04Rik	3.06	0.0	0.0	0.0	0.57	0.4
4933400F21Rik	0.9	0.0	0.0	0.0	0.03	0.0
4933403G14Rik	0.5	0.0	0.0	0.0	2.55	2.38
4933406C10Rik	0.19	0.0	0.0	0.0	0.98	0.92
4933430I17Rik	0.17	0.0	0.0	0.0	0.39	0.79
6230427J02Rik	0.29	0.0	0.0	0.0	2.66	3.31
6530411M01Rik	0.75	0.0	0.0	0.0	1.48	1.47
9230102K24Rik	2.35	0.0	0.0	0.0	0.15	0.14
9530048J24Rik	0.49	0.0	0.0	0.0	0.0	0.15
9930014A18Rik	0.2	0.0	0.0	0.0	1.55	1.89
A230065H16Rik	0.98	0.0	0.0	0.0	1.88	2.51
AA986860	0.2	0.0	0.0	0.0	2.44	2.49
AU018829	0.2	0.0	0.0	0.0	0.0	0.0
Abcc2	0.05	0.0	0.0	0.0	0.18	0.09
Acaa1b	5.01	0.0	0.0	0.0	1.0	1.05
Acbd7	1.84	0.0	0.0	0.0	1.17	0.55
Acr	0.61	0.0	0.0	0.0	1.73	2.33
Adam6b	0.13	0.0	0.0	0.0	0.0	0.0
Adamtsl3	0.44	0.0	0.0	0.0	0.75	0.87
Adcy10	0.11	0.0	0.0	0.0	0.28	0.3
Agxt2l1	1.13	0.0	0.0	0.0	10.38	11.04
Ahrr	2.06	0.0	0.0	0.0	0.5	0.57
Alas2	0.31	0.0	0.0	0.0	2.36	1.46
Aldh1a1	3.25	0.0	0.0	0.0	52.79	48.87
Aldob	0.46	0.0	0.0	0.0	2.9	2.95
Allc	2.09	0.0	0.0	0.0	1.1	0.58
Alpk1	0.06	0.0	0.0	0.0	2.99	2.86
Amdhd1	1.48	0.0	0.0	0.0	0.53	0.23
Amigo3	0.12	0.0	0.0	0.0	5.01	4.83
Angptl3	0.19	0.0	0.0	0.0	0.25	0.12
Ap1g2	4.79	0.0	0.0	0.0	5.51	4.63
