	Ctgf_tdTpositive_cell_3	Rbp4_tdTnegative_cell_6	Rorb_tdTpositive_cell_55	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700001J03Rik	0.0	0.0	0.0	0.53	0.37	0.68
1700001K23Rik	0.0	0.0	0.0	0.22	0.2	0.22
1700011F14Rik	0.0	0.0	0.0	0.19	0.09	0.19
1700019B03Rik	0.0	0.0	0.0	0.12	0.23	0.13
1700023A16Rik	0.0	0.0	0.0	0.16	0.07	0.16
1700034F02Rik	0.0	0.0	0.0	0.14	0.13	0.14
1700055N04Rik	0.0	0.0	0.0	0.03	0.11	0.06
1700120G07Rik	0.0	0.0	0.0	0.06	0.0	0.12
1700125D06Rik	0.0	0.0	0.0	0.19	0.7	0.77
2010001M06Rik	0.0	0.0	0.0	6.52	8.12	6.52
2010005H15Rik	0.0	0.0	0.0	0.2	0.37	0.2
2310065F04Rik	0.0	0.0	0.0	0.07	0.14	0.07
2410057H14Rik	0.0	0.0	0.0	0.53	0.5	0.37
2610021K21Rik	0.0	0.0	0.0	0.19	0.18	0.4
4833403I15Rik	0.0	0.0	0.0	0.03	0.09	0.03
4833419F23Rik	0.0	0.0	0.0	0.12	0.11	0.36
4833423E24Rik	0.0	0.0	0.0	0.12	0.11	0.06
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930443G12Rik	0.0	0.0	0.0	0.06	0.18	0.07
4930444M15Rik	0.0	0.0	0.0	0.12	0.11	0.06
4930447K03Rik	0.0	0.0	0.0	0.2	0.28	0.2
4930515G01Rik	0.0	0.0	0.0	0.48	0.53	0.66
4930538K18Rik	0.0	0.0	0.0	2.06	3.0	2.33
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
4932411G14Rik	0.0	0.0	0.0	0.03	0.05	0.08
5830411N06Rik	0.0	0.0	0.0	0.07	0.03	0.07
5830432E09Rik	0.0	0.0	0.0	0.28	0.45	0.28
9930005F22Rik	0.0	0.0	0.0	1.52	1.97	1.24
A230020J21Rik	0.0	0.0	0.0	0.19	0.49	0.55
A4gnt	0.0	0.0	0.0	0.07	0.13	0.07
A930004D18Rik	0.0	0.0	0.0	3.04	3.56	3.04
AF251705	0.0	0.0	0.0	4.05	4.23	4.84
Abca13	0.0	0.0	0.0	0.03	0.02	0.03
Abca4	0.0	0.0	0.0	1.27	1.07	1.35
Abhd16b	0.0	0.0	0.0	0.06	0.05	0.06
Acoxl	0.0	0.0	0.0	0.1	0.19	0.18
Actn3	0.0	0.0	0.0	0.76	1.04	0.76
Adamts12	0.0	0.0	0.0	0.19	0.22	0.19
Adh7	0.0	0.0	0.0	0.19	0.18	0.15
Ahdc1	0.31	0.11	0.0	21.02	21.81	21.88
Ano7	0.0	0.0	0.0	0.09	0.23	0.09
Arg1	0.0	0.0	0.0	0.2	0.13	0.14
Arr3	0.0	0.0	0.0	1.72	1.73	1.67
Asmt	0.0	0.0	0.0	0.08	0.08	0.09
Atp8b3	0.0	0.0	0.0	0.04	0.04	0.09
B230119M05Rik	0.0	0.0	0.0	0.21	0.19	0.21
B3gnt7	0.0	0.0	0.0	0.76	0.9	1.3
BC051537	0.0	0.0	0.0	0.24	0.11	0.24
Baiap2l2	0.0	0.0	0.0	2.34	3.74	2.67
Barhl1	0.0	0.0	0.0	0.03	0.08	0.03
Bhlhe23	0.0	0.0	0.0	0.08	0.18	0.08
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Bmp2	28.64	0.0	0.0	4.05	3.96	3.32
Bsnd	0.0	0.0	0.0	0.04	0.03	0.04
C3	0.0	0.0	0.0	0.1	0.23	0.28
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Cacng1	0.0	0.0	0.0	0.08	0.39	0.09
Cacng6	0.0	0.0	0.0	1.17	1.35	2.02
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Capg	0.0	0.0	0.0	2.67	3.23	3.39
Card14	0.0	0.0	0.0	0.2	0.19	0.22
Casc5	0.0	0.0	0.0	0.12	0.08	0.06
Ccdc114	0.0	0.0	0.0	2.34	2.03	2.58
Ccdc154	0.0	0.0	0.0	0.04	0.08	0.04
Ccdc158	0.0	0.0	0.0	0.24	0.38	0.17
Ccdc162	0.0	0.0	0.0	0.76	0.54	0.56
Ccdc63	0.0	0.0	0.0	0.09	0.24	0.09
Ccl22	0.0	0.0	0.0	0.38	0.31	0.17
Cd209b	0.0	0.0	0.0	0.11	0.41	0.11
Cd300lb	0.0	0.0	0.0	0.03	0.06	0.04
Cd37	0.0	0.0	0.0	4.99	4.47	4.99
Cd97	0.14	0.0	0.0	10.16	9.27	8.59
Cdca3	0.0	0.0	0.0	1.27	1.01	0.9
Cdca7l	0.0	0.0	0.0	1.17	0.95	1.43
Cdh15	0.0	0.0	0.0	0.38	0.98	1.15
Cdkn2a	0.0	0.0	0.0	0.24	0.11	0.49
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Ces1f	0.0	0.0	0.0	0.1	0.1	0.05
Ces2b	0.0	0.0	0.0	0.12	0.05	0.11
Cftr	0.0	0.0	0.0	0.43	0.45	0.75
Chrdl2	0.0	0.0	0.0	0.2	0.12	0.31
Cnga4	0.0	0.0	0.0	0.96	1.13	1.56
Cnksr1	0.0	0.0	0.0	0.24	0.23	0.17
Col5a3	0.0	0.0	0.0	1.61	1.49	1.76
Col6a3	0.0	0.0	0.0	1.27	1.39	0.96
Cpa3	0.0	0.0	0.0	0.07	0.06	0.07
Cyp27b1	0.0	0.0	0.0	0.38	0.35	0.59
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Defb1	0.0	0.0	0.0	0.11	0.21	0.11
Depdc1a	0.0	0.0	0.0	0.08	0.07	0.09
Dhx58	0.0	0.0	0.0	1.52	1.51	1.52
Dmrt3	0.0	0.0	0.0	0.12	0.23	0.09
Dnaic2	0.0	0.0	0.0	1.92	1.68	1.63
Dnase1l1	0.0	0.49	0.0	1.92	1.12	3.05
Dnmt3l	0.0	0.0	0.0	0.12	0.06	0.12
Dpt	0.0	0.0	0.0	0.12	0.23	0.13
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
E330034G19Rik	0.0	0.0	0.0	1.27	0.94	0.97
Ect2l	0.0	0.0	0.0	0.07	0.26	0.14
Edar	0.0	0.0	0.0	0.53	0.3	0.36
Epcam	0.0	0.0	0.0	0.24	0.36	0.35
Epsti1	0.0	0.0	0.0	0.96	0.75	1.02
Ercc6l	0.0	0.0	0.0	0.19	0.13	0.17
F13a1	0.0	0.0	0.0	1.61	1.62	1.65
F630028O10Rik	0.0	0.0	0.0	0.07	0.17	0.07
F7	0.0	0.0	0.0	0.05	0.3	0.17
F830045P16Rik	0.0	0.0	0.0	0.05	0.1	0.11
Fat2	0.0	0.0	0.0	0.03	0.08	0.09
Fcrla	0.0	0.0	0.0	0.06	0.11	0.37
Fgfr4	0.0	0.0	0.0	0.03	0.24	0.03
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Foxs1	0.0	0.0	0.0	0.76	0.5	0.95
Fpr1	0.0	0.0	0.0	0.53	1.07	1.02
Frem3	0.0	0.0	0.0	0.43	0.35	0.55
Galr1	0.0	0.0	0.0	0.38	0.36	0.28
Gata2	0.13	0.0	0.0	2.67	3.17	2.6
Gata3	0.0	0.0	0.0	0.03	0.03	0.04
Gbx1	0.0	0.0	0.0	0.76	0.39	0.78
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gem	0.0	0.0	0.0	2.1	2.23	1.99
Gen1	0.0	0.0	0.0	0.96	0.85	1.18
Gjb3	0.0	0.0	0.0	0.06	0.06	0.05
Gli3	0.0	0.0	0.0	3.04	3.58	3.93
Gm10474	0.0	0.0	0.0	0.14	0.27	0.15
Gm10863	0.0	0.0	0.0	0.76	1.57	1.25
Gm11710	0.0	0.0	0.0	0.43	0.66	0.68
Gm11711	0.0	0.0	0.0	0.43	0.66	0.68
Gm14207	0.0	0.0	0.0	0.12	0.24	0.37
Gm1661	0.0	0.0	0.0	0.43	0.51	0.17
Gm2447	0.0	0.0	0.0	0.06	0.05	0.17
Gm6484	0.0	0.0	0.0	0.12	0.44	1.58
Gm9961	0.0	0.0	0.0	0.19	0.18	0.2
Gmfg	0.0	0.0	0.0	1.03	1.36	1.27
Gpr44	0.0	0.0	0.0	0.08	0.11	0.08
Gpx8	0.0	0.0	0.0	8.75	9.37	7.07
Gstt3	0.0	0.0	0.0	2.54	2.4	2.3
Gxylt2	0.0	0.0	0.0	0.76	0.97	0.79
Gypc	0.0	0.0	0.0	2.54	2.01	1.59
H2-Q2	0.0	0.0	0.0	1.52	1.67	0.85
Haao	0.0	0.0	0.0	0.25	0.31	0.25
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxc8	0.0	0.0	0.0	0.04	0.04	0.09
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Hpn	0.0	0.0	0.0	1.61	1.01	1.45
Hsd3b2	0.0	0.0	0.0	0.12	0.0	0.27
Hydin	0.0	0.0	0.0	0.28	0.39	0.43
Icos	0.0	0.0	0.0	0.12	0.14	0.09
Ifi202b	0.0	0.0	0.0	0.06	0.0	0.11
Ifitm6	0.0	0.0	0.0	0.19	0.18	0.4
Igfbp1	0.0	0.0	0.0	0.07	0.12	0.07
Ikzf1	0.0	0.44	0.0	2.34	1.95	2.18
Il13	0.0	0.0	0.0	0.08	0.16	0.09
Il13ra2	0.0	0.0	0.0	0.19	0.67	0.4
Il17c	0.0	0.0	0.0	0.16	0.15	0.16
Il18rap	0.0	0.0	0.0	0.04	0.08	0.04
Inhbc	0.0	0.0	0.0	0.05	0.05	0.1
Insl5	0.0	0.0	0.0	2.1	1.7	1.55
Irak3	0.0	0.0	0.0	0.96	0.78	0.79
Irs4	0.0	0.0	0.0	0.86	0.92	0.94
Jph2	0.0	0.0	0.0	0.76	0.69	0.63
Kcnh8	0.0	0.0	0.0	0.24	0.39	0.42
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Kif27	0.0	0.0	0.0	3.04	2.92	2.82
Kif2c	0.0	0.0	0.0	0.28	0.28	0.42
Klk6	0.34	0.0	0.0	4.68	4.93	5.21
Krt19	0.0	0.0	0.0	0.07	0.0	0.15
Krt26	0.0	0.0	0.0	0.27	0.21	0.27
Lcn2	0.0	0.0	0.0	0.12	0.22	0.25
Lilrb4	0.0	0.0	0.0	0.38	0.33	0.61
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lmx1b	0.0	0.0	0.0	0.08	0.08	0.09
Lrit3	0.0	0.0	0.0	0.12	0.22	0.31
Lrrc10	0.0	0.0	0.0	0.07	0.0	0.14
Mab21l1	0.0	0.0	0.0	1.17	1.71	1.69
Mamdc4	0.0	0.0	0.0	0.96	0.95	0.79
Mapkapk3	0.0	0.0	0.0	2.34	2.47	2.22
Mat1a	0.0	0.0	0.0	0.03	0.06	0.16
Mcm9	0.0	0.19	0.0	3.04	3.39	3.22
Mep1a	0.0	0.0	0.0	0.03	0.06	0.03
Mfap4	0.0	0.0	0.0	2.37	2.3	3.13
Mir17hg	0.0	0.0	0.0	1.06	0.64	1.22
Mogat1	0.0	0.0	0.0	0.08	0.16	0.09
Mpz	0.0	0.0	0.0	0.1	0.14	0.1
Msh4	0.0	0.0	0.0	0.03	0.03	0.06
Msh5	0.0	0.0	0.0	0.24	0.45	0.37
Mybphl	0.0	0.0	0.0	0.08	0.07	0.09
Myh13	0.0	0.0	0.0	0.24	0.15	0.28
Myom2	0.0	0.0	0.0	0.08	0.07	0.08
Nagpa	0.0	0.0	0.0	10.16	10.63	10.4
Naip6	0.0	0.0	0.0	0.38	0.22	0.38
Nkapl	0.29	0.0	0.0	0.14	0.65	0.85
Nkx6-3	0.0	0.0	0.0	0.04	0.04	0.09
Nlrc3	0.0	0.0	0.0	0.48	0.54	0.45
Nlrp5	0.0	0.0	0.0	0.06	0.06	0.07
Nmur2	0.0	0.0	0.0	0.06	0.11	0.12
Nodal	0.0	0.0	0.0	0.38	0.27	0.49
Nr0b1	0.0	0.0	0.0	0.06	0.1	0.06
Nron	0.0	0.0	0.0	0.03	0.03	0.06
Oas2	0.0	0.0	0.0	0.53	0.41	0.39
Oasl1	0.0	0.0	0.0	0.19	0.35	0.48
Olfr1417	0.0	0.0	0.0	0.53	0.3	1.32
Olfr1419	0.0	0.0	0.0	0.1	0.09	0.1
Olfr1420	0.0	0.0	0.0	0.11	0.1	0.11
Olfr550	0.0	0.0	0.0	0.19	0.0	0.4
Olfr690	0.0	0.0	0.0	0.38	0.27	0.2
Otop3	0.0	0.0	0.0	0.04	0.12	0.04
Oxgr1	0.0	0.0	0.0	0.24	0.15	0.24
Padi6	0.0	0.0	0.0	0.38	0.56	0.31
Pate4	0.0	0.0	0.0	0.1	0.28	0.1
Pdcd1lg2	0.0	0.0	0.0	0.03	0.08	0.06
Pde7b	5.75	0.0	0.0	36.52	32.28	35.06
Pfn3	0.0	0.0	0.0	0.19	0.18	0.2
Pgpep1l	0.0	0.0	0.0	1.17	1.0	0.99
Pkhd1l1	0.0	0.0	0.0	0.12	0.09	0.1
Pla1a	0.0	0.0	0.0	1.06	0.9	1.19
Pla2g4f	0.0	0.0	0.0	0.06	0.12	0.1
Plek2	0.0	0.0	0.0	0.19	0.24	0.13
Pon3	0.0	0.0	0.0	1.84	1.89	2.07
Ppp1r36	0.0	0.0	0.0	1.72	1.62	0.92
Prdm13	0.0	0.0	0.0	0.03	0.09	0.06
Prlhr	0.0	0.0	0.0	0.19	0.42	0.2
Prss50	0.0	0.0	0.0	0.48	0.98	0.71
Psors1c2	0.0	0.0	0.0	0.24	0.8	0.25
Ptx3	0.0	0.0	0.0	0.21	0.58	0.21
Ptx4	0.0	0.0	0.0	0.07	0.18	0.07
Pxmp2	0.0	0.0	0.0	5.06	5.23	6.04
Qrfp	0.0	0.0	0.0	0.14	0.06	0.14
Rab17	0.0	0.0	0.0	0.06	0.0	0.13
Rab44	0.0	0.0	0.0	0.12	0.18	0.12
Rad51l1	0.0	0.0	0.0	0.06	0.2	0.28
Rd3	0.0	0.0	0.0	0.03	0.15	0.17
Rec8	0.0	0.0	0.0	3.22	4.18	3.63
Rgs13	0.0	0.0	0.0	0.53	0.44	0.83
Ribc1	0.0	0.0	0.0	0.53	0.94	1.23
Rnf133	0.0	0.0	0.0	0.08	0.14	0.08
Rtp1	0.0	0.0	0.0	0.16	0.33	0.16
Scn10a	0.0	0.0	0.0	0.19	0.21	0.16
Sdr9c7	0.0	0.0	0.0	0.03	0.13	0.14
Serpina3h	0.0	0.0	0.0	0.06	0.05	0.05
Sim2	0.0	0.0	0.0	0.03	0.08	0.14
Slc10a6	0.0	0.0	0.0	0.05	0.04	0.05
Slc22a14	0.0	0.0	0.0	0.05	0.04	0.05
Slc26a3	0.0	0.0	0.0	0.19	0.14	0.08
Slc34a1	0.0	0.0	0.0	0.1	0.06	0.1
Slc34a3	0.0	0.0	0.0	0.05	0.32	0.05
Slc43a1	0.0	0.0	0.0	0.12	0.04	0.2
Slc45a2	0.0	0.0	0.0	0.03	0.06	0.14
Slc4a5	0.0	0.0	0.0	0.04	0.13	0.04
Slco1c1	0.0	0.46	0.0	50.31	46.06	53.04
Snora44	0.0	0.0	0.0	6.08	8.02	7.54
Snord33	0.0	0.0	0.0	6.49	6.11	6.7
Snord37	0.0	0.0	0.0	6.08	0.0	12.56
Sox30	0.0	0.0	0.0	0.03	0.09	0.1
Spaca1	0.0	0.0	0.0	0.19	0.09	0.39
Spag17	0.0	0.0	0.0	0.24	0.38	0.31
Spatc1	0.0	0.0	0.0	0.06	0.0	0.13
Speer6-ps1	0.0	0.0	0.0	0.21	0.1	0.21
Spesp1	0.0	0.0	0.0	0.03	0.03	0.07
Spint3	0.0	0.0	0.0	0.19	0.34	0.39
Sqrdl	0.0	0.0	0.0	6.22	6.14	5.72
Srms	0.0	0.0	0.0	0.19	0.26	0.44
Stat5a	0.0	0.0	0.0	0.96	0.83	1.11
Stoml3	0.0	0.0	0.0	0.24	0.55	0.12
Stx11	0.0	0.0	0.0	0.14	0.09	0.14
Sun3	0.0	0.0	0.0	0.08	0.09	0.09
Syce1l	0.0	0.0	0.0	0.48	0.24	0.82
Synpo2	0.0	0.0	0.0	1.72	1.87	1.96
Tal2	0.0	0.0	0.0	0.18	0.33	0.18
Tas2r137	0.0	0.0	0.0	0.1	0.1	0.1
Tcp10b	0.0	0.0	0.0	0.48	0.35	0.5
Tg	0.0	0.0	0.0	0.08	0.04	0.08
Tktl1	0.0	0.0	0.0	0.08	0.11	0.08
Tlr6	0.0	0.0	0.0	0.48	0.32	0.49
Tlr8	0.0	0.0	0.0	0.12	0.18	0.13
Tmem154	0.11	0.0	0.0	0.38	0.39	0.27
Tmem26	0.0	0.0	0.0	0.12	0.18	0.14
Tmprss2	0.0	0.0	0.0	0.06	0.12	0.03
Traf3ip3	0.0	0.0	0.0	0.38	0.72	0.76
Trdn	0.0	0.0	0.0	0.19	0.1	0.18
Treml4	0.0	0.0	0.0	0.12	0.16	0.18
Trim75	0.0	0.0	0.0	0.2	0.19	0.2
Tshb	0.0	0.0	0.0	0.19	0.53	0.97
Tslp	0.0	0.0	0.0	0.09	0.17	0.09
Ttc39d	0.0	0.0	0.0	0.05	0.05	0.05
Tuba3a	0.0	0.0	0.0	0.2	0.22	0.2
Tubb1	0.0	0.0	0.0	0.07	0.2	0.07
