	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110028F11Rik	0.0	0.0	0.0	0.04	0.03	0.08
1700011F14Rik	0.0	0.0	0.0	0.19	0.09	0.19
1700023A16Rik	0.0	0.0	0.0	0.16	0.07	0.16
1700034F02Rik	0.0	0.0	0.0	0.14	0.13	0.14
1700034G24Rik	0.0	0.0	0.0	1.25	2.26	2.5
1700055N04Rik	0.0	0.0	0.0	0.03	0.11	0.06
2010005H15Rik	0.0	0.0	0.0	0.2	0.37	0.2
2310065F04Rik	0.0	0.0	0.0	0.07	0.14	0.07
4930403N07Rik	0.0	0.0	0.0	0.04	0.04	0.04
4930412C18Rik	0.0	0.0	0.0	0.89	1.4	0.89
4930447K03Rik	0.0	0.0	0.0	0.2	0.28	0.2
4931423N10Rik	0.0	0.0	0.0	0.22	0.2	0.22
4933416I08Rik	0.0	0.0	0.0	0.08	0.22	0.16
5830403M04Rik	0.0	0.0	0.0	0.16	0.31	0.16
5830411N06Rik	0.0	0.0	0.0	0.07	0.03	0.07
9330111N05Rik	0.0	0.0	0.0	0.07	0.13	0.07
9530068E07Rik	0.0	0.0	0.0	78.35	80.64	75.91
A4gnt	0.0	0.0	0.0	0.07	0.13	0.07
A530013C23Rik	0.0	0.0	0.0	0.05	0.04	0.05
A930004D18Rik	0.0	0.0	0.0	3.04	3.56	3.04
Actn3	0.0	0.0	0.0	0.76	1.04	0.76
Adamts12	0.0	0.0	0.0	0.19	0.22	0.19
Aknad1	0.0	0.0	0.0	0.08	0.07	0.16
Aldh4a1	0.0	0.0	0.0	18.48	20.09	18.02
Ano7	0.0	0.0	0.0	0.09	0.23	0.09
Arhgap8	0.0	0.0	0.0	0.07	0.25	0.14
Atp1a4	0.0	0.0	0.0	0.03	0.05	0.06
Atp9b	5.3	6.81	8.45	36.48	36.02	38.24
Awat2	0.0	0.0	0.0	0.13	0.24	0.13
B230119M05Rik	0.0	0.0	0.0	0.21	0.19	0.21
Barhl1	0.0	0.0	0.0	0.03	0.08	0.03
Bhlhe23	0.0	0.0	0.0	0.08	0.18	0.08
Blk	0.0	0.0	0.0	0.04	0.04	0.04
Bsnd	0.0	0.0	0.0	0.04	0.03	0.04
C8b	0.0	0.0	0.0	0.04	0.04	0.09
Calhm1	0.0	0.0	0.0	0.1	0.09	0.1
Ccdc154	0.0	0.0	0.0	0.04	0.08	0.04
Cd209b	0.0	0.0	0.0	0.11	0.41	0.11
Cd37	0.0	0.0	0.0	4.99	4.47	4.99
Ces1a	0.0	0.0	0.0	0.05	0.05	0.05
Coch	0.0	0.0	0.0	38.28	42.49	35.9
Cpa3	0.0	0.0	0.0	0.07	0.06	0.07
Cpb1	0.0	0.0	0.0	0.07	0.13	0.14
D630042P16Rik	0.0	0.0	0.0	0.08	0.14	0.16
D6Mm5e	0.0	0.0	0.0	0.1	0.09	0.1
Defb1	0.0	0.0	0.0	0.11	0.21	0.11
Dhrs2	0.0	0.0	0.0	0.08	0.15	0.08
Dnmt3l	0.0	0.0	0.0	0.12	0.06	0.12
Dppa1	0.0	0.0	0.0	0.09	0.04	0.09
Dspp	0.0	0.0	0.0	0.11	0.1	0.11
Dyrk4	0.0	0.0	0.0	0.1	0.09	0.1
E030018B13Rik	0.0	0.0	0.0	0.1	0.09	0.1
F630028O10Rik	0.0	0.0	0.0	0.07	0.17	0.07
Fam170b	0.0	0.0	0.0	0.12	0.06	0.12
Fam187a	0.0	0.0	0.0	0.13	0.06	0.13
Fam83b	0.0	0.0	0.0	0.06	0.18	0.06
Fam83g	0.0	0.0	0.0	0.02	0.08	0.02
Fgfr4	0.0	0.0	0.0	0.03	0.24	0.03
Fkbp7	0.0	0.0	4.3	5.65	5.75	5.37
Foxi1	0.0	0.0	0.0	0.04	0.04	0.09
Gabra6	0.0	0.0	0.0	0.04	0.04	0.08
Gabrr3	0.0	0.0	0.0	0.07	0.06	0.07
Gal	0.0	40.5	0.0	0.15	0.69	0.15
Gdf6	0.0	0.0	0.0	0.03	0.03	0.06
Gm711	0.0	0.0	0.0	0.14	0.56	0.28
Gpc4	0.0	0.0	0.0	13.61	13.83	13.61
Gpr44	0.0	0.0	0.0	0.08	0.11	0.08
H19	0.0	0.0	0.0	0.04	0.25	0.08
H2-M2	0.0	0.0	0.0	0.07	0.15	0.14
Haao	0.0	0.0	0.0	0.25	0.31	0.25
Hephl1	0.0	0.0	0.0	0.02	0.04	0.04
Hhla1	0.0	0.0	0.0	0.04	0.04	0.09
Hist1h3f	0.0	0.0	0.0	0.14	0.14	0.14
Hoxd8	0.0	0.0	0.0	0.07	0.07	0.07
Igfbp1	0.0	0.0	0.0	0.07	0.12	0.07
Il17c	0.0	0.0	0.0	0.16	0.15	0.16
Il18rap	0.0	0.0	0.0	0.04	0.08	0.04
Itgad	0.0	0.0	0.0	0.07	0.18	0.14
Kbtbd11	3.54	1.73	0.13	53.75	58.79	54.92
Kera	0.0	0.0	0.0	0.05	0.05	0.05
Krt26	0.0	0.0	0.0	0.27	0.21	0.27
Lao1	0.0	0.0	0.0	0.05	0.05	0.05
Lipm	0.0	0.0	0.0	0.11	0.1	0.11
Lrrtm1	0.0	0.0	0.39	62.55	63.75	60.55
Ltbp2	0.0	0.0	0.0	0.3	0.2	0.3
Mael	0.0	0.0	0.0	0.13	0.06	0.13
Mark4	0.0	0.0	0.0	61.37	67.18	65.64
Mctp2	0.0	0.0	0.0	0.73	0.65	0.73
Mep1a	0.0	0.0	0.0	0.03	0.06	0.03
Mmp24	0.19	0.0	0.0	27.56	27.39	26.04
