	Cux2_tdTpositive_cell_3	Cux2_tdTpositive_cell_8	Cux2_tdTpositive_cell_14	Cux2_tdTpositive_cell_52	Cux2_tdTpositive_cell_73	Ndnf_tdTpositive_cell_4	Ndnf_tdTpositive_cell_20	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_3	Nr5a1_tdTpositive_cell_4	Nr5a1_tdTpositive_cell_5	Rorb_tdTpositive_cell_24	Rorb_tdTpositive_cell_36	Rorb_tdTpositive_cell_38	Scnn1a.Tg3_tdTpositive_cell_2	Scnn1a.Tg3_tdTpositive_cell_4	Scnn1a.Tg3_tdTpositive_cell_20	Scnn1a.Tg3_tdTpositive_cell_66	Scnn1a.Tg3_tdTpositive_cell_73	Scnn1a.Tg3_tdTpositive_cell_99	Slc17a6_tdTpositive_cell_18	Vip_tdTpositive_cell_16
1110021L09Rik	11.25	5.03	3.17	3.61	2.7	0.0	3.12	4.7	43.11	5.13	4.93	104.54	4.65	4.68	4.69	5.03	5.57	8.56	93.62	48.77	2.66	0.0
1810013D10Rik	38.8	0.0	0.0	0.0	0.0	0.0	1119.06	183.13	0.0	8.7	0.0	173.16	612.89	261.64	0.38	0.0	0.36	215.98	132.49	0.0	0.0	0.0
1810020D17Rik	158.47	0.35	0.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	156.01	0.32	0.0	0.0	111.4	4.15	0.44	115.92	144.14	0.0	0.0	0.0
2010015L04Rik	8.58	10.39	4.06	8.28	1.59	2.75	0.0	15.52	7.75	75.52	29.29	13.21	1.3	7.05	7.19	50.02	8.64	227.15	183.93	0.16	8.5	1.88
9130221F21Rik	6.92	7.6	13.2	10.24	9.5	1.21	0.0	6.77	14.76	15.46	19.54	6.75	6.37	2.13	7.66	15.92	13.98	12.83	18.71	15.44	6.56	0.67
A230072C01Rik	28.31	17.58	65.26	37.08	52.63	4.39	0.0	208.57	302.84	33.75	15.05	35.76	136.99	23.88	55.78	18.19	40.64	105.02	337.71	29.22	18.57	0.0
AW555464	0.03	0.03	3.24	1.93	0.0	0.0	0.0	2.89	6.65	21.82	0.06	1.08	0.03	0.2	19.47	0.0	1.38	18.64	30.6	9.26	0.0	0.0
Actr6	92.79	0.54	132.15	0.0	0.0	0.0	0.0	269.93	39.49	169.03	217.34	32.88	7.64	104.38	35.41	73.88	256.72	0.0	148.87	314.53	0.0	0.0
Acvr1c	0.18	0.0	0.47	0.0	0.0	0.0	0.0	8.18	0.0	36.47	0.02	0.01	12.09	2.43	14.29	72.66	0.04	1.21	11.22	24.48	22.75	0.0
Akap5	142.27	219.99	155.08	220.33	58.59	2.04	1.28	161.81	92.61	294.42	207.59	83.68	130.32	288.38	157.73	174.27	284.13	367.34	187.76	476.25	167.74	8.75
Arhgef2	0.06	24.13	29.18	27.14	0.0	0.0	0.0	0.0	0.08	30.73	0.8	0.07	17.2	3.46	31.45	143.31	34.32	1.51	56.2	47.26	14.82	0.09
Arsb	0.0	7.63	102.62	0.0	0.0	0.0	0.0	85.27	0.05	3.82	0.0	2.81	79.22	4.49	1.4	43.84	0.0	131.67	96.53	0.15	0.0	28.34
Asxl1	0.01	0.0	0.0	14.14	0.0	0.0	0.0	44.63	0.0	53.8	0.0	0.56	0.0	0.0	5.76	0.0	0.1	34.55	69.43	54.27	48.41	0.06
Atg16l1	23.55	4.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.81	0.0	39.6	6.77	0.06	0.47	0.0	98.61	167.99	139.6	0.0	0.0
Bax	105.99	0.0	61.59	0.0	0.0	0.0	0.0	0.23	145.35	52.19	97.25	1.27	143.13	63.8	0.0	0.0	0.0	196.7	76.24	173.81	258.81	0.45
Bbs1	6.59	5.54	6.3	16.08	10.01	6.92	0.0	9.66	4.83	2.49	26.06	5.15	8.82	5.8	9.83	6.69	2.39	16.7	26.94	5.76	7.5	0.5
Brd9	7.18	163.08	8.96	182.71	14.35	0.0	0.0	117.06	5.18	98.31	172.98	373.98	13.04	29.88	5.1	13.57	72.29	210.68	78.03	537.47	83.86	0.62
Brms1	1.78	0.0	0.0	86.32	23.42	0.34	383.73	0.14	125.1	102.83	0.0	0.0	127.35	111.57	0.4	121.8	2.53	196.22	146.22	239.05	0.0	0.0
Caprin1	1.07	8.15	133.01	49.21	34.87	0.0	13.41	114.82	0.05	24.87	0.43	64.87	0.07	8.6	36.35	51.53	46.11	1.1	160.18	65.42	0.0	2.49
Ccdc107	20.96	0.0	92.0	0.0	0.0	0.0	0.0	91.48	0.0	75.0	0.25	115.54	0.14	0.15	0.23	5.92	132.92	0.0	0.0	219.39	0.0	0.0
Ccl27b	2.22	7.78	72.87	45.32	0.0	0.0	0.0	2.24	98.78	98.8	157.47	71.38	106.16	180.86	123.99	271.66	370.84	127.63	123.96	342.75	74.04	0.0
Ccr4	0.3	0.56	1.23	0.27	0.47	0.0	0.0	1.37	0.5	0.81	0.23	0.98	0.27	0.57	1.46	1.85	1.49	2.72	1.22	0.47	0.48	0.13
Cdr2l	1.31	0.62	68.25	0.33	49.89	0.12	0.0	17.35	3.77	65.35	0.38	64.24	0.89	40.8	1.05	0.74	0.09	200.37	70.68	76.99	69.02	0.0
Csf2rb	0.16	0.0	0.08	0.0	0.0	0.0	0.0	0.25	0.04	0.1	0.08	0.07	0.1	0.05	0.03	0.12	0.0	0.39	0.0	0.0	0.0	0.0
Csnk1a1	0.1	0.0	103.97	80.53	10.86	0.0	0.0	160.52	1.23	169.23	79.32	78.51	149.13	5.57	76.63	10.84	46.95	141.06	64.11	22.16	74.14	0.0
Cuedc2	407.39	265.02	203.49	273.43	155.5	0.0	0.0	356.6	92.42	184.81	108.43	96.82	133.0	348.23	339.58	259.61	193.09	308.58	344.15	556.21	153.7	0.98
Ddr2	0.04	0.11	0.32	0.42	0.31	0.0	0.0	0.11	0.09	0.1	0.04	0.27	0.1	0.1	0.02	0.18	0.04	0.84	0.8	0.14	0.32	0.0
Dfna5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18	27.63	0.16	0.0	0.05	0.0	6.35	0.16	145.7	0.0	142.46	0.0	192.92	0.0	0.0
