	Ctgf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTpositive_cell_12	Ndnf_tdTpositive_cell_20	Ndnf_tdTpositive_cell_21	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
1110021J02Rik	1.84	2.07	2.36	0.74	0.0	0.75	33.32	34.72
1600015I10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04
1700003L19Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14
1700009J07Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.11
1700024P03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.21
1700061J05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.11
2310001A20Rik	0.0	0.0	0.0	0.0	0.0	0.0	59.4	57.4
2410004N09Rik	0.0	0.0	0.0	0.0	0.0	0.0	13.52	14.46
4930528F23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06
4930544D05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.16
4930555B11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07
9230104L09Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.16
Adamtsl4	0.0	0.0	0.0	0.0	0.0	0.0	4.26	6.1
Adcy5	0.0	0.0	0.0	0.0	0.0	0.0	139.88	149.99
Akr1c12	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.08
Ankib1	0.0	0.0	347.63	0.0	0.0	0.0	26.36	28.18
Atp10b	0.34	0.53	0.38	0.16	0.0	0.28	1.55	1.86
B3gntl1	0.0	0.0	0.0	0.0	0.0	0.0	5.52	6.45
Calhm1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1
Capn13	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04
Ccdc22	0.0	0.0	0.0	0.0	0.0	0.0	32.69	35.18
Ccr3	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03
Ceacam15	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07
Clec12b	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07
Clk3	0.0	0.0	935.86	0.0	0.0	0.0	47.75	47.6
Cyb5d2	1.94	0.45	3.75	1.91	0.0	0.26	13.72	12.14
Cyp3a57	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06
D330012F22Rik	3.85	0.64	4.89	0.0	0.0	0.32	5.35	6.08
D6Mm5e	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1
Diexf	0.0	0.07	0.0	0.0	0.0	0.0	9.29	8.12
Dnajc11	0.0	0.0	0.0	0.0	0.0	0.0	46.64	49.07
Dnajc5b	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.11
Dusp16	0.0	0.0	0.0	0.0	0.0	0.0	7.05	7.57
Dyrk4	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1
E030018B13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1
Exd2	0.0	0.0	0.0	0.0	0.0	0.0	79.47	80.61
Fbxl17	2.1	3.41	6.25	0.43	0.0	2.3	19.78	19.47
Fmo5	0.07	0.12	0.19	0.0	0.0	0.0	2.03	2.54
Fndc3c1	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.02
Gm12633	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06
Gm1647	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.14
Gm4745	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.08
Gm9895	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.8
Gpt	0.0	0.0	0.0	0.0	0.0	0.0	14.83	14.72
Gzma	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.12
Hal	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04
Hdgfrp3	0.0	0.0	196.71	0.0	0.0	0.24	56.56	56.34
Hspb11	0.0	0.0	0.0	0.0	0.0	0.0	16.78	17.52
Immp1l	0.0	0.0	0.0	0.0	0.0	0.0	37.0	33.06
Itm2a	13435.48	28258.71	44601.9	19778.69	21453.5	27583.62	90.62	79.88
Kctd19	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03
Kel	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04
Lect2	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.12
Ltf	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04
Mamdc4	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.79
Mnt	0.0	138.49	0.0	0.0	0.0	0.0	24.86	21.08
Mtap6	0.0	0.0	0.0	0.0	0.0	0.0	99.94	104.04
Muc4	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.02
Myog	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07
Ncr1	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.07
Nox4	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06
Olfr1419	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1
Olfr15	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.11
Pclo	0.05	0.11	0.18	0.03	0.0	0.04	60.14	64.43
Pkn2	1.06	0.11	0.0	0.0	0.0	0.0	13.76	13.86
Prps1l1	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06
Raet1d	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.16
Rnase13	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.17
Rrp12	0.0	0.0	0.0	0.0	0.0	0.0	25.79	27.25
Sct	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.21
Sh3kbp1	0.0	0.0	0.0	0.0	0.0	0.0	19.45	21.42
Skint7	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06
Slc4a1	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.02
Slfnl1	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.06
Tac4	0.0	0.0	0.0	0.0	0.0	0.0	0.08	0.08
Taf11	0.0	0.0	0.0	0.0	0.0	0.0	51.09	49.09
Tas1r2	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03
Tcstv1	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.12
Tlcd2	0.0	0.0	0.34	0.0	0.0	0.0	9.03	11.19
Trim59	0.0	0.0	0.0	0.0	0.0	0.0	13.81	16.73
Usp26	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.02
Vmn1r210	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.11
Vmn2r11	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04
Zdhhc4	0.0	0.0	0.0	0.0	0.0	0.0	26.62	25.09
Zfp180	0.0	0.0	0.0	0.0	0.0	0.0	35.55	33.49
Zfp433	0.0	0.0	0.0	3.07	0.0	0.0	12.58	12.27
Zswim1	0.0	0.0	0.0	0.0	0.0	0.0	20.31	21.12
