	Nr5a1_tdTpositive_cell_40	Nr5a1_tdTpositive_cell_49	Nr5a1_tdTpositive_cell_50	Rbp4_tdTpositive_cell_186	Scnn1a.Tg3_tdTpositive_cell_100	Scnn1a.Tg3_tdTpositive_cell_101	Scnn1a.Tg3_tdTpositive_cell_102	Rbp4_CTX_10pg_1	Rbp4_CTX_10pg_2	Rbp4_CTX_10pg_4	Rbp4_CTX_10pg_5	Rbp4_CTX_10pg_6
1700029F12Rik	1.87	3.65	2.27	2.32	8.32	11.33	1.09	0.52	0.06	0.0	0.38	0.0
1700034H15Rik	2.27	10.26	27.33	4.02	16.04	86.37	11.91	1.23	1.22	0.72	4.63	0.93
1700128F08Rik	51.31	458.35	105.9	66.63	495.48	513.16	85.1	2.45	26.94	6.65	12.43	30.05
4921515E04Rik	28.87	44.32	47.12	17.34	102.32	116.52	20.87	10.88	12.44	5.42	5.19	11.97
4930470H14Rik	441.72	3611.61	479.24	377.24	2343.47	4384.64	1837.91	131.37	203.5	120.16	71.08	52.74
4930511M06Rik	146.76	220.85	300.57	102.25	264.98	429.89	173.64	33.55	33.64	33.63	31.97	20.14
4932411L15	292.15	1834.81	483.68	309.82	2171.75	2989.56	573.29	47.01	50.22	24.94	41.11	56.54
5430427O19Rik	7.18	45.19	7.99	8.48	29.71	56.94	6.78	0.13	2.41	0.44	0.47	1.84
6030422M02Rik	109.4	196.47	201.26	61.1	214.24	353.22	127.23	32.12	32.03	23.8	15.45	17.96
9530026F06Rik	1.41	12.1	4.24	2.2	2.55	16.46	1.0	0.88	0.4	0.36	1.47	0.22
A630055G03Rik	21.83	75.73	39.32	30.94	88.17	103.88	58.03	14.49	13.18	9.25	10.38	9.71
A630089N07Rik	585.24	2593.5	1040.6	654.98	3498.09	3904.5	1458.07	83.27	139.23	106.62	117.0	139.69
A730017L22Rik	143.67	298.76	374.55	103.63	444.89	390.84	175.68	30.87	33.15	25.01	47.94	30.42
AU018091	0.1	2.61	1.96	0.23	2.43	4.85	2.1	0.06	0.24	0.06	0.0	0.11
Acnat1	31.9	48.95	47.96	33.17	61.34	89.8	42.64	8.36	6.22	4.68	4.51	5.72
Acsm2	0.93	8.04	7.13	0.96	5.1	11.9	4.52	0.2	0.2	0.36	0.22	0.19
Ankle1	2.41	14.75	8.27	5.29	12.46	23.76	5.98	1.32	1.93	0.18	0.46	0.21
Barhl2	0.22	2.14	1.29	0.25	0.85	4.62	1.28	0.06	2.16	0.01	0.0	0.0
Brip1	11.73	20.44	27.67	15.93	19.43	33.52	15.09	3.85	3.99	3.44	4.1	2.4
C2cd2	0.57	2.26	1.36	0.68	3.96	11.39	0.91	0.21	0.45	0.06	0.17	0.03
C920009B18Rik	1.91	11.85	3.15	1.55	16.92	13.24	3.03	0.29	0.87	0.42	0.6	1.03
Cyp4a31	0.22	1.86	2.52	0.32	3.32	8.92	0.79	0.35	0.18	0.08	0.05	0.21
Cytip	0.08	0.56	0.58	0.12	0.24	1.89	0.28	0.0	0.0	0.0	0.0	0.0
D630045M09Rik	12.24	32.21	30.26	11.47	88.74	143.16	17.52	4.95	2.34	1.89	1.22	3.53
D830005E20Rik	114.48	439.1	171.73	78.34	524.86	750.87	124.05	7.76	9.63	6.85	7.48	31.64
Dkk1	0.99	4.27	3.64	1.28	2.76	8.77	2.54	0.64	0.32	0.12	0.06	0.13
