	Chrna2_tdTpositive_cell_31	Ctgf_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_4	Cux2_tdTnegative_cell_4	Cux2_tdTnegative_cell_12	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_44	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTnegative_cell_2	Rbp4_tdTnegative_cell_12	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_65	Sst_tdTpositive_cell_101
1110003E01Rik	51.91	0.0	0.0	0.0	0.0	0.23	0.0	0.0	122.15	29.41	89.34	81.39	25.32	67.5	21.61	23.3	83.36	37.3	23.1	23.3	10.34	93.2	63.9	4.66	28.29	36.3	54.25	0.0	0.12	25.54	69.09	82.65	190.19	57.29
Ccl27a	247.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.8	261.51	194.03	35.49	86.6	151.57	127.61	50.41	393.66	221.27	247.1	191.12	216.47	256.68	300.58	57.32	358.07	217.84	500.78	0.0	0.0	126.32	234.03	209.35	456.02	117.24
Ccl27b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.03	0.0	1.74	0.58	0.27	0.0	0.0	2.47	0.77	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	4.31	0.0	0.0	0.0	4.89	0.0	33.56	1.88
Dgkg	71.53	0.0	0.0	0.0	0.0	0.21	0.05	0.0	83.53	98.09	5.69	88.01	74.05	101.66	64.78	88.81	98.77	76.82	50.81	62.18	10.41	58.39	107.12	39.33	51.19	100.67	41.98	0.0	0.0	103.68	28.27	27.9	124.25	100.46
Disp2	149.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.25	70.24	15.37	78.4	36.54	112.57	123.28	73.28	113.28	120.55	78.08	24.26	95.35	124.99	56.0	46.44	97.87	88.04	64.07	0.1	0.0	48.52	78.5	84.89	276.45	109.04
Efna5	89.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.35	152.22	0.07	63.85	41.61	117.07	61.49	0.04	74.02	141.01	72.9	36.93	54.05	334.71	163.8	120.3	289.59	220.3	60.73	0.0	0.1	235.15	154.52	151.16	223.41	15.53
Elavl2	89.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.08	56.84	69.94	78.8	146.36	37.71	61.46	31.43	202.77	109.26	55.57	6.53	74.71	99.07	39.31	8.71	113.2	208.23	86.17	0.0	0.0	37.62	106.92	128.1	153.9	56.23
Fbxo3	101.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.21	98.97	0.03	157.72	7.06	197.37	58.69	69.06	147.17	50.93	64.91	25.28	0.22	91.51	79.9	50.14	160.73	86.5	48.1	0.49	0.0	36.26	27.74	66.71	177.99	59.18
Fktn	0.73	0.16	0.29	0.31	0.0	0.59	0.84	0.0	16.82	0.94	76.14	1.83	1.06	0.43	0.73	0.52	94.18	3.21	0.75	2.12	43.9	40.87	1.17	0.73	21.47	0.87	31.52	0.63	0.0	1.0	6.0	0.9	124.55	41.36
Gak	40.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.74	0.6	0.35	71.94	0.62	21.95	0.47	30.33	10.16	34.13	3.94	0.68	0.51	1.3	0.5	0.26	0.67	14.83	0.99	0.0	0.0	17.42	2.4	0.7	17.88	17.48
Gap43	1133.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1219.62	1080.02	949.0	1335.07	973.26	1409.82	987.8	610.34	1237.15	778.38	1010.79	421.63	667.55	973.59	1078.03	971.86	857.51	1016.28	1073.79	0.0	0.0	1331.72	1477.64	1125.39	1292.31	1573.67
Gm13306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.03	0.0	1.74	0.58	0.27	0.0	0.0	2.47	0.77	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	4.31	0.0	0.0	0.0	4.89	0.0	33.56	1.88
Gm14430	2.27	0.0	0.0	0.0	0.0	0.0	0.03	0.0	6.19	15.98	0.27	6.16	5.5	2.84	0.37	0.47	0.12	6.27	0.0	0.11	0.0	5.6	4.55	0.54	1.09	2.37	12.18	0.0	0.03	2.39	0.82	4.29	0.26	8.42
Gm14434	2.27	0.0	0.0	0.0	0.0	0.0	0.03	0.0	6.19	15.98	0.27	6.16	5.5	2.84	0.37	0.47	0.12	6.27	0.0	0.11	0.0	5.6	4.55	0.54	1.09	2.37	12.18	0.0	0.03	2.39	0.82	4.29	0.26	8.42
Gm2506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.46	0.03	0.0	1.74	0.58	0.27	0.0	0.0	2.47	0.77	0.0	0.29	0.0	2.79	1.65	1.9	0.13	2.24	4.31	0.0	0.0	0.0	4.89	0.0	33.56	1.88
Gm4724	2.27	0.0	0.0	0.0	0.0	0.0	0.03	0.0	6.19	15.98	0.27	6.16	5.5	2.84	0.37	0.47	0.12	6.27	0.0	0.11	0.0	5.6	4.55	0.54	1.09	2.37	12.18	0.0	0.03	2.39	0.82	4.29	0.26	8.42
Grin2b	219.83	0.0	0.0	0.36	0.0	0.0	0.13	0.99	113.0	121.66	53.4	74.67	101.71	147.24	81.73	52.66	107.74	95.18	99.52	52.28	59.89	109.06	114.44	84.45	84.2	110.92	120.96	0.15	0.03	141.51	107.93	68.92	255.97	76.58
