	Chrna2_tdTpositive_cell_51	Htr3a_tdTpositive_cell_98	Ndnf_tdTpositive_cell_2	Ndnf_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_41	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_24	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rorb_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_23	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27
1110032A03Rik	0.12	156.08	119.45	0.0	0.0	30.97	0.0	84.59	83.57	125.84	128.25	124.4	81.99	0.0	0.31	103.75	52.02	237.11
2700060E02Rik	66.91	22.21	228.85	0.0	1.65	11.6	0.0	0.0	10.85	112.22	3.79	0.51	95.69	8.61	73.61	0.0	2.2	139.39
5930434B04Rik	0.33	122.25	1.46	0.0	0.0	0.0	0.0	0.0	71.9	0.16	0.62	1.64	0.59	176.96	8.53	0.15	0.21	0.0
B4galt2	0.0	2.21	0.0	0.0	0.0	0.0	0.0	0.0	65.69	108.5	0.0	0.0	0.23	0.0	0.0	0.0	2.44	0.0
Btrc	18.24	31.07	72.17	0.0	40.69	0.0	0.04	0.0	117.76	86.03	89.54	0.0	35.52	0.12	86.52	76.08	56.63	0.68
Camk1	17.54	129.15	14.65	0.0	18.98	0.0	0.0	0.0	0.0	6.35	9.33	0.0	152.58	0.53	0.0	0.0	1.48	0.0
Cct2	359.81	106.41	234.36	0.0	332.13	0.0	0.0	47.65	145.68	496.91	0.0	755.04	136.34	637.91	326.18	236.18	208.62	120.2
Cdh11	78.6	168.68	6.29	0.0	104.03	0.0	0.0	0.0	79.73	8.58	5.03	321.57	63.99	3.72	12.46	22.89	11.87	0.93
Chd3	5.81	51.61	0.0	0.0	0.0	0.0	0.0	0.0	27.1	0.11	2.88	0.0	0.0	0.0	2.05	23.07	6.31	0.24
Clcn3	35.82	218.8	68.19	0.0	1.26	22.08	0.05	235.42	54.83	173.4	263.28	190.73	285.26	75.23	156.35	57.08	149.12	87.29
Eif4g3	33.81	106.86	79.58	0.0	15.6	1.12	0.27	0.0	33.41	13.8	5.31	177.45	42.21	22.74	13.91	57.03	53.1	9.76
Emd	0.0	121.6	5.03	0.0	0.0	0.0	0.0	0.0	0.27	101.51	0.0	0.0	21.48	0.0	47.63	0.0	161.65	16.02
Erc1	0.68	49.99	18.86	0.0	16.41	0.72	0.0	0.17	2.26	10.1	2.51	17.23	33.75	1.73	33.2	1.92	0.28	6.52
Esco1	0.14	72.97	0.0	0.0	0.0	0.0	0.0	0.0	58.15	36.99	10.56	125.56	104.66	113.9	0.06	20.74	0.06	0.0
Exosc10	28.02	105.3	0.0	0.0	121.52	0.0	0.0	0.0	55.81	10.42	44.82	158.78	0.98	144.0	0.0	55.04	55.48	39.85
Fahd1	1.95	173.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	150.53	64.18	2.09	190.89	0.0
Faim2	78.89	308.34	104.06	0.0	181.34	0.0	0.06	0.0	161.48	101.93	85.07	3.77	202.47	132.96	123.38	88.74	45.71	44.62
Fam168a	0.1	236.64	12.35	0.0	68.82	0.26	52.77	0.91	83.45	50.05	188.85	134.76	113.58	18.38	72.25	154.02	75.92	127.43
Fam169a	1.03	81.39	0.0	0.0	63.38	0.0	0.0	0.0	43.18	10.03	0.0	117.03	39.42	238.19	0.0	13.92	32.35	0.47
Ftsj3	0.0	90.41	55.21	0.0	85.97	0.0	0.0	20.38	46.3	0.0	0.0	47.12	145.19	15.72	0.0	29.1	0.52	0.0
Glod4	55.28	163.68	263.57	0.0	403.12	1.43	0.74	7.6	2.84	207.66	299.99	133.9	2.59	23.76	22.53	254.17	108.4	14.22
Gm10778	1.57	87.75	1.78	2.09	10.83	1.97	2.93	0.9	3.3	26.82	3.92	4.36	2.54	6.09	16.51	5.31	4.35	6.42
Gm14318	0.0	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.13	0.0	0.0	0.0	0.0	0.0
Gm14430	8.59	0.04	0.0	0.0	11.42	0.0	0.01	0.04	4.08	1.8	0.01	0.0	13.09	0.0	2.35	13.98	0.21	0.0
Gm14434	8.59	0.04	0.0	0.0	11.42	0.0	0.01	0.04	4.08	1.8	0.01	0.0	13.09	0.0	2.35	13.98	0.21	0.0
Gm3317	0.0	8.01	0.0	0.0	4.78	0.0	0.0	0.0	0.0	6.71	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0
Gm3494	0.0	8.01	0.0	0.0	4.78	0.0	0.0	0.0	0.0	6.71	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0
Gm4724	8.59	0.04	0.0	0.0	11.42	0.0	0.01	0.04	4.08	1.8	0.01	0.0	13.09	0.0	2.35	13.98	0.21	0.0
Gtf2f1	31.78	30.16	80.72	0.0	177.76	0.0	0.0	0.0	215.04	465.86	238.31	353.91	6.53	0.0	141.53	103.42	0.52	11.87
Lias	99.05	106.68	100.38	0.0	0.21	0.0	39.61	0.0	303.77	69.5	0.0	0.0	127.9	60.32	0.0	0.0	19.99	0.0
Lmx1a	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0
Magee1	0.06	68.02	11.35	0.0	62.48	0.0	0.0	0.0	10.19	21.29	0.11	0.11	40.27	0.0	3.54	21.24	0.08	0.0
Myt1l	50.75	154.84	59.1	0.0	67.56	0.0	0.08	0.0	54.32	16.75	133.24	136.73	81.29	4.74	45.62	98.16	110.67	50.28
Nsun2	0.0	59.56	3.7	0.0	0.0	0.0	0.0	0.0	25.38	0.23	0.0	0.0	17.24	0.0	0.0	0.0	0.0	0.0
Pds5a	0.0	48.27	4.25	0.0	15.61	0.0	0.0	0.0	11.63	5.46	0.0	0.0	3.7	0.0	116.07	2.53	35.38	0.0
Pigyl	170.4	311.76	48.91	0.0	229.44	0.0	297.09	0.0	2.16	5.6	0.0	7.07	1.48	276.71	0.44	187.16	34.38	0.0
Rab4b	21.32	297.57	63.78	0.0	107.71	0.0	0.0	0.0	92.27	76.18	137.84	339.71	229.18	244.82	0.0	0.0	0.0	0.0
Rhpn2	0.0	15.34	0.0	0.0	0.26	0.0	0.08	0.0	0.1	0.1	0.11	0.44	0.09	0.23	0.0	0.07	0.0	0.09
Rnmt	50.48	76.47	58.04	0.0	60.74	0.0	5.23	0.0	54.19	10.76	0.0	86.2	54.52	44.88	38.03	74.94	53.4	20.71
Rpe65	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.0	0.0	0.21	0.0	0.1	0.0	0.78	0.0	2.68
Sgip1	6.28	171.79	17.4	0.0	43.94	0.0	0.0	0.1	9.78	55.99	5.22	111.72	131.81	0.4	7.01	49.09	9.6	6.33
Sgsm1	3.33	82.5	15.99	0.0	81.32	1.35	1.78	0.0	3.64	45.74	15.65	74.26	10.07	9.34	2.61	21.08	6.21	1.36
Slc6a17	33.19	82.35	18.73	0.0	58.44	0.0	0.0	0.0	40.18	21.83	1.18	5.62	89.21	3.41	0.04	0.11	0.14	27.72
Smarcd3	1.57	63.35	0.21	0.0	0.0	0.0	0.0	0.0	0.0	4.27	3.07	0.0	0.08	0.0	0.0	0.0	0.0	0.0
Sncb	110.48	298.39	56.82	0.0	63.33	0.0	0.0	0.0	342.3	219.7	119.55	198.78	245.72	170.04	26.65	15.73	12.74	12.36
Snrnp25	0.0	235.98	83.13	0.0	0.0	0.0	0.0	0.0	0.0	101.74	0.0	170.18	75.45	0.0	387.9	47.64	0.37	0.0
Socs7	10.63	3.17	5.04	1.06	6.61	0.0	0.0	0.0	0.93	22.3	45.99	0.0	6.04	4.33	0.0	28.18	2.25	7.53
Stmn1	10587.49	3635.09	10862.63	2682.21	12096.72	6105.52	5921.51	10015.46	9644.83	8519.23	13005.25	11961.92	10665.83	10788.95	10789.21	12161.23	10051.01	11287.74
Stx12	208.78	415.46	287.74	0.0	676.2	0.0	334.88	0.0	353.39	250.03	110.41	569.22	248.67	0.0	137.35	139.15	218.27	44.86
Tor1aip2	41.11	0.47	0.67	0.0	133.94	0.36	0.34	0.15	61.83	6.43	0.32	143.06	0.44	197.65	120.49	52.42	0.63	83.29
Tspan6	200.66	335.73	0.0	0.0	0.0	0.0	0.47	0.0	86.45	166.63	0.0	1.57	0.08	0.0	0.0	0.41	0.17	147.33
Ube2k	106.7	111.27	111.57	0.0	0.07	0.0	0.0	0.0	153.22	60.18	225.95	24.32	27.08	39.09	77.33	58.7	1.27	9.05
Vezt	0.28	63.03	4.32	0.0	41.9	0.0	0.0	0.0	0.0	0.51	20.5	0.0	49.62	32.11	50.17	31.31	56.33	17.63
Zkscan1	9.42	66.33	55.19	0.0	0.0	0.0	0.03	0.0	34.98	10.11	0.14	0.23	42.71	0.0	21.88	10.59	51.78	23.95
