	Calb2_tdTpositive_cell_24	Chrna2_tdTpositive_cell_75	Ctgf_tdTpositive_cell_17	Ctgf_tdTpositive_cell_20	Htr3a_tdTpositive_cell_86	Htr3a_tdTpositive_cell_97	Htr3a_tdTpositive_cell_106	Htr3a_tdTpositive_cell_109	Nos1_tdTpositive_cell_42	Nos1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_2	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_26	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_30	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_43	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_56	Rbp4_tdTpositive_cell_60	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_165	Slc17a6_tdTpositive_cell_24	Vip_tdTpositive_cell_69	Ntsr1_tdTpos_10cell_10	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_10	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1700111N16Rik	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.42	0.75
2410004P03Rik	0.0	0.77	26.33	3.77	2.34	0.0	0.78	2.02	43.96	1.26	1.96	1.41	0.61	4.56	4.95	3.03	2.93	2.42	8.21	0.44	2.55	1.55	2.15	7.96	0.0	5.22	3.44	8.18	1.25	2.05	0.0	1.58	0.33	1.53	2.73	0.44	0.52	0.1	5.25	5.57	6.2
9530008L14Rik	0.0	0.0	0.0	0.85	7.87	0.4	0.16	0.28	26.16	0.0	0.86	0.3	0.78	0.44	0.24	0.3	0.28	0.0	0.0	0.07	0.71	0.13	0.14	0.18	0.0	1.25	0.0	1.55	0.43	0.44	0.0	0.44	0.42	0.11	0.69	0.39	0.27	0.0	1.55	1.21	1.85
A230072E10Rik	0.85	4.1	2.75	1.78	11.38	1.87	2.44	1.83	28.36	1.58	2.74	2.32	2.04	2.88	1.9	1.92	12.56	1.31	2.58	0.82	2.3	3.38	1.44	2.26	0.33	3.43	5.69	5.14	1.74	1.67	1.7	2.29	1.24	2.02	2.56	6.57	2.74	1.14	2.43	2.12	3.27
A3galt2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.19	0.18
A630072M18Rik	0.54	2.75	0.47	3.49	7.79	1.22	1.28	0.95	1.54	0.57	1.33	0.74	1.19	0.71	2.05	0.38	0.16	0.14	1.32	3.37	0.74	0.66	1.92	0.21	0.13	2.27	0.99	2.88	1.83	0.91	0.85	0.9	0.45	0.64	0.57	1.24	0.2	0.42	4.79	4.03	4.74
A730015I17	0.0	0.17	0.33	0.0	0.0	0.0	0.1	0.23	1.54	0.0	0.25	0.0	0.23	0.0	0.36	0.0	0.0	0.0	0.55	0.24	0.25	0.83	0.48	0.0	0.0	0.33	0.0	0.37	0.0	0.16	0.17	0.19	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.21	0.21
AV051173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	0.46	0.17
Afmid	0.0	0.0	0.0	0.0	0.64	0.0	0.0	0.0	61.65	7.75	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8	2.44	2.41
Akr1b7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25
Alx4	0.48	0.32	0.21	0.51	0.74	0.23	0.5	0.52	1.41	0.39	0.75	0.58	0.99	0.24	0.18	0.1	0.17	0.54	0.6	0.15	0.74	0.1	0.28	0.1	0.0	0.88	0.46	0.41	0.11	0.31	0.0	0.12	0.25	0.15	0.16	0.1	0.17	0.33	1.44	0.95	1.11
Arrdc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.2	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.43	19.49	0.0	0.42	0.0	0.0	0.0	0.0	0.0	1.77	0.0	3.12	0.0	9.9	11.87	9.88
Arsj	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.74	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.89	1.53	1.65
Atp8b3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.09
B3gnt4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.64	0.0	0.0	1.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.18	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.04	1.1	1.51
Blk	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.04	0.04
Bloc1s3	0.26	5.56	2.4	6.85	4.9	4.77	2.78	7.24	7.61	5.57	2.36	4.69	5.44	12.74	3.88	2.97	2.96	1.97	4.01	1.93	9.25	6.58	2.25	2.42	0.22	4.93	3.9	5.88	3.75	4.26	1.01	6.16	3.15	2.42	2.19	3.24	3.78	3.95	16.15	16.72	15.16
