	Calb2_tdTpositive_cell_40	Calb2_tdTpositive_cell_42	Cux2_tdTnegative_cell_2	Htr3a_tdTpositive_cell_100	Htr3a_tdTpositive_cell_109	Htr3a_tdTpositive_cell_110	Nos1_tdTpositive_cell_37	Nos1_tdTpositive_cell_51	Ntsr1_tdTpositive_cell_19	Ntsr1_tdTpositive_cell_21	Ntsr1_tdTpositive_cell_25	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_48	Ntsr1_tdTpositive_cell_49	Ntsr1_tdTpositive_cell_70	Ntsr1_tdTpositive_cell_76	Ntsr1_tdTnegative_cell_5	Ntsr1_tdTnegative_cell_6	Rbp4_tdTpositive_cell_50	Rbp4_tdTpositive_cell_99	Rorb_tdTpositive_cell_49	Vip_tdTpositive_cell_20	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_6	CAV_LP_Ipsi_tdTpos_cell_11
4921513D23Rik	0.0	50.46	0.0	63.31	63.19	20.2	94.63	100.49	98.63	57.99	69.19	3.04	26.08	31.48	88.14	35.32	0.0	122.43	45.69	0.0	35.48	0.19	77.29	77.8	92.35	115.06	51.22
4933407C03Rik	0.28	144.08	0.0	109.13	67.8	61.38	128.2	55.74	68.74	65.99	94.91	33.44	46.09	41.84	49.6	162.79	0.52	31.74	57.4	30.94	96.83	4.69	70.97	49.59	41.88	82.36	8.83
5730494M16Rik	1.8	14.77	3.21	44.33	112.51	6.27	80.27	46.13	150.25	3.24	153.78	50.21	112.93	21.86	116.5	75.46	0.0	88.88	85.04	0.19	11.07	11.75	82.91	70.12	62.54	210.87	147.37
Aldoa	10293.64	13597.95	2480.3	10937.95	12694.2	10545.24	12406.05	10709.74	12801.23	13515.12	10324.61	14715.13	13848.9	11472.28	9747.34	11924.07	7349.77	12605.63	10471.46	8775.75	10151.86	11283.91	8326.82	10997.44	10660.26	10590.73	12521.72
B3galtl	0.0	0.0	0.0	0.0	0.0	0.0	40.26	2.94	0.0	30.82	20.19	0.0	6.49	0.0	27.02	0.0	0.0	0.0	4.34	0.0	0.0	0.0	1.17	5.4	4.4	0.0	3.76
C130079G13Rik	0.24	0.33	0.0	0.0	0.49	0.0	0.14	0.0	0.59	0.11	0.0	0.0	0.12	0.0	0.14	0.49	0.0	0.0	0.54	0.0	0.11	0.0	0.12	0.12	0.13	0.4	0.38
Ccl27b	10.98	22.87	0.0	49.23	415.15	131.96	0.0	22.57	47.74	81.28	86.45	272.53	147.69	178.93	143.81	92.75	0.0	3.5	19.48	0.0	1.79	0.0	132.22	76.52	71.98	89.39	74.33
Chmp1a	0.0	0.0	0.0	0.18	0.0	159.92	23.56	48.98	151.06	0.0	62.98	65.06	0.79	0.15	124.82	172.3	0.0	0.0	288.14	106.51	101.78	0.0	58.29	75.72	77.21	77.38	0.15
Clcn6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.26	0.0	0.65	0.0	0.28	0.0	0.0	6.3	0.06	0.0	3.44	6.99	0.0	0.0	0.0	6.09	4.61	1.07	0.0	0.0
Clcn7	0.0	0.0	0.0	0.09	1.01	0.0	0.85	0.0	0.0	5.65	0.09	0.0	0.08	0.0	0.0	0.88	0.0	0.0	0.0	0.77	18.34	0.0	1.39	7.74	8.4	17.78	0.48
Dmxl1	8.91	13.07	0.0	0.61	0.07	9.43	19.69	4.32	2.98	0.46	0.64	2.08	4.88	0.27	22.53	6.19	0.0	7.93	6.72	0.0	3.16	0.0	0.81	3.6	4.25	0.84	4.0
Epn1	0.0	0.38	0.0	6.23	0.0	0.21	3.07	4.71	0.68	0.0	0.14	1.69	12.88	19.26	16.53	0.0	0.0	2.0	1.87	0.0	0.39	0.0	1.4	4.04	3.93	2.33	2.79
Gm13306	10.98	22.87	0.0	49.23	415.15	131.96	0.0	22.57	47.74	81.28	86.45	272.53	147.69	178.93	143.81	92.75	0.0	3.5	19.48	0.0	1.79	0.0	132.22	76.52	71.98	89.39	74.33
Gm14430	0.21	3.35	0.0	0.0	0.0	0.1	17.58	12.36	0.0	9.33	6.78	0.22	0.0	0.0	0.0	0.02	0.0	0.36	0.14	0.17	0.14	0.23	7.0	5.97	4.22	0.36	0.74
Gm14434	0.21	3.35	0.0	0.0	0.0	0.1	17.58	12.36	0.0	9.33	6.78	0.22	0.0	0.0	0.0	0.02	0.0	0.36	0.14	0.17	0.14	0.23	7.0	5.97	4.22	0.36	0.74
Gm2506	10.98	22.87	0.0	49.23	415.15	131.96	0.0	22.57	47.74	81.28	86.45	272.53	147.69	178.93	143.81	92.75	0.0	3.5	19.48	0.0	1.79	0.0	132.22	76.52	71.98	89.39	74.33
Gm4724	0.21	3.35	0.0	0.0	0.0	0.1	17.58	12.36	0.0	9.33	6.78	0.22	0.0	0.0	0.0	0.02	0.0	0.36	0.14	0.17	0.14	0.23	7.0	5.97	4.22	0.36	0.74
