	Calb2_tdTpositive_cell_1	Calb2_tdTpositive_cell_24	Calb2_tdTpositive_cell_26	Calb2_tdTpositive_cell_31	Calb2_tdTpositive_cell_34	Calb2_tdTpositive_cell_43	Cux2_tdTpositive_cell_17	Cux2_tdTpositive_cell_80	Cux2_tdTpositive_cell_100	Cux2_tdTpositive_cell_103	Cux2_tdTpositive_cell_106	Cux2_tdTpositive_cell_111	Cux2_tdTpositive_cell_119	Gad2_tdTpositive_cell_32	Gad2_tdTpositive_cell_71	Htr3a_tdTpositive_cell_6	Htr3a_tdTpositive_cell_71	Nos1_tdTpositive_cell_65	Ntsr1_tdTnegative_cell_5	Pvalb_tdTpositive_cell_23	Rbp4_tdTnegative_cell_4	Scnn1a.Tg3_tdTpositive_cell_8	Scnn1a.Tg3_tdTpositive_cell_9	Scnn1a.Tg3_tdTpositive_cell_11	Scnn1a.Tg3_tdTpositive_cell_17	Scnn1a.Tg3_tdTpositive_cell_97	Slc17a6_tdTpositive_cell_33	Sst_tdTpositive_cell_42	Sst_tdTpositive_cell_59	Vip_tdTpositive_cell_2	Vip_tdTpositive_cell_5	Vip_tdTpositive_cell_18	Vip_tdTpositive_cell_29	Vip_tdTpositive_cell_64	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_3
1110038B12Rik	0.0	0.0	0.0	0.0	0.0	0.0	62.53	139.11	62.3	168.14	0.0	245.13	21.32	93.55	0.0	0.0	453.14	37.51	0.0	1.28	0.0	0.0	108.5	0.99	81.71	30.77	0.0	69.24	0.0	94.02	0.0	0.0	0.0	93.09	32.46	37.36
1700123M08Rik	0.0	0.0	0.0	0.0	0.0	4.15	0.0	2.28	1.98	0.0	0.0	0.58	1.8	0.0	0.0	86.16	0.0	0.29	0.0	0.49	0.0	0.0	0.0	2.64	1.8	0.0	46.6	0.0	0.52	0.0	0.99	0.0	0.35	0.0	1.45	0.34
9830147E19Rik	2.98	0.34	3.42	2.1	1.86	1.75	0.66	5.79	69.76	3.14	1.94	6.03	3.11	3.58	1.95	2.18	0.71	2.21	1.02	6.48	1.84	5.87	4.12	5.67	5.03	97.01	2.01	0.62	2.88	2.78	1.72	2.36	0.88	1.98	2.35	7.1
A230073K19Rik	0.05	0.0	28.73	55.17	13.24	0.0	0.0	3.94	14.18	8.97	20.86	38.39	34.65	23.55	1.97	0.05	0.06	3.4	0.0	49.21	0.0	8.07	0.19	42.63	1.73	0.76	0.64	24.91	4.19	2.46	0.0	0.06	0.0	0.0	11.03	11.58
AI646023	33.1	9.38	5.0	23.04	11.81	3.51	1.42	56.2	16.89	61.97	34.04	24.4	19.23	2.24	12.47	4.03	11.62	31.59	8.23	10.2	0.04	11.63	27.2	85.27	27.98	60.36	4.55	3.94	16.13	1.69	19.06	5.79	0.95	24.89	35.42	21.82
Alyref2	0.68	0.79	0.58	0.0	0.68	1.72	0.0	89.93	0.52	1.67	0.56	0.95	0.66	0.35	6.38	0.27	1.01	0.1	0.0	0.4	0.91	0.26	0.0	105.75	2.09	0.11	1.75	1.81	0.0	2.67	0.0	101.83	0.0	0.0	1.44	6.15
Ap3s1	0.0	0.0	120.66	126.65	11.02	0.0	0.0	115.29	0.0	0.0	21.64	83.29	0.04	0.0	2.11	0.0	0.0	14.08	0.0	16.19	0.0	4.37	0.0	22.81	0.0	65.43	0.0	73.17	92.13	90.53	0.0	0.0	0.0	110.19	24.87	25.59
Atp5d	93.34	3.84	76.79	1.94	40.1	56.91	6.94	431.34	328.18	208.37	184.75	270.1	313.7	153.61	263.46	340.67	0.0	24.14	9.64	82.4	0.0	159.68	28.61	562.01	35.65	101.76	105.11	167.38	172.13	188.61	85.49	0.0	0.0	221.65	22.1	115.85
BC030336	1.43	48.82	0.12	0.47	4.91	0.0	0.0	172.63	27.76	43.77	64.98	44.04	13.52	18.07	44.1	0.0	0.0	10.47	27.48	68.04	0.0	16.9	17.27	76.67	24.59	5.6	52.58	29.93	108.25	52.39	27.37	137.09	49.44	0.0	32.96	34.66
Bod1	0.11	0.0	0.0	0.0	0.0	61.1	0.0	210.18	110.87	2.27	62.03	91.94	44.35	32.13	51.26	0.0	0.0	36.77	0.0	0.0	0.0	3.7	0.0	12.9	85.1	0.3	48.4	28.06	92.19	0.0	0.0	0.0	0.0	0.0	48.47	53.61
Bpnt1	293.84	787.52	30.97	141.78	36.8	272.42	43.81	463.59	88.65	175.79	39.07	174.13	154.29	179.9	17.82	2.73	171.5	82.13	331.34	269.42	0.41	41.38	43.39	114.26	145.85	2.13	127.45	191.6	283.19	62.52	4.12	403.62	58.61	5.45	199.72	182.15
Cadm1	32.98	43.63	65.67	0.0	83.61	0.25	33.67	182.9	62.6	139.15	53.08	117.81	55.65	18.43	28.82	205.09	0.0	117.76	10.94	59.48	0.0	50.4	40.25	88.57	53.15	42.07	107.45	58.66	42.72	152.84	5.84	112.54	502.88	48.42	77.6	80.79
Camk2a	0.09	0.0	0.64	26.83	0.39	0.0	27.72	179.2	132.04	158.29	79.34	188.31	155.53	225.4	22.73	1.3	0.2	27.68	0.1	0.96	0.0	0.32	134.8	86.0	49.75	94.75	85.08	54.89	27.59	0.81	48.38	5.73	26.62	1.41	56.96	47.59
Camk2b	80.58	2.94	374.83	11.42	94.78	39.93	12.72	416.01	133.1	168.75	110.11	110.83	145.07	119.38	46.17	11.86	3.27	34.06	0.0	70.06	0.0	14.41	253.05	147.39	103.85	278.53	142.65	101.12	12.28	185.29	83.06	163.2	0.0	9.62	73.92	114.56
