	Cux2_tdTnegative_cell_2	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_6	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_12	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_26	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_69	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
0610012G03Rik	0.2	3.74	16.75	14.96	3.72	4.23	1.84	2.19	0.96	1.67	1.47	0.0	5.12	2.81	19.63	33.18	28.56	19.55	10.03	8.97	23.69	64.08	4.54	3.5	18.25	3.77	45.02	53.85	52.5
0610040B10Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.19	0.0	37.87	56.27	0.0	0.0	0.0	0.0	6.04	6.14	3.24
2310079F23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	20.59	0.0	0.0	0.0	0.0	4.16	4.48	4.42
3110001I22Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.93	0.0	0.0	0.0	0.0	2.16	2.57	1.28
4930419G24Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25	0.0	0.0	0.0	0.0	0.19	0.18	0.2
4932412H11Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	1.08	0.0	0.0	0.61	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.38	2.55	0.0	0.0	0.0	0.17	0.16	0.21
A930041C12Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.18	0.2
AW555464	0.0	0.53	6.08	33.83	19.51	1.26	8.72	9.18	27.69	4.32	1.66	1.42	0.58	22.15	17.15	4.18	8.48	4.47	7.79	5.17	1.1	31.33	1.28	0.07	11.21	0.0	91.23	94.01	97.53
Adnp	0.12	30.91	0.05	4.83	17.72	56.03	13.08	59.97	0.26	0.16	9.73	33.93	23.61	13.71	30.25	14.92	87.44	2.02	15.32	0.74	14.52	57.55	5.34	27.01	6.3	0.63	76.15	75.6	70.89
Arfgef2	0.0	0.08	0.0	4.29	0.0	10.47	11.68	11.67	2.14	0.0	6.2	11.74	4.37	0.09	0.2	11.78	6.95	2.17	15.04	14.45	0.0	24.5	13.27	13.78	4.36	0.61	31.51	30.54	31.38
Bard1	0.15	0.13	0.0	0.0	0.06	0.14	0.4	0.0	0.23	0.0	0.19	0.0	0.18	0.57	0.1	0.06	0.39	0.0	0.11	0.37	0.16	0.21	0.1	0.28	0.08	0.32	0.86	0.76	0.77
C030044B11Rik	0.0	0.0	0.17	0.0	7.14	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	17.3	41.86	0.0	0.0	0.0	12.76	49.46	0.0	0.0	0.0	0.0	24.47	32.0	30.13
C1qtnf4	0.0	0.0	0.37	0.0	0.51	0.0	0.0	2.49	1.43	0.0	0.0	0.0	0.0	1.16	0.0	2.15	4.47	0.0	0.0	0.0	0.33	0.0	1.21	0.0	0.34	0.0	181.7	250.29	223.5
Catsper2	0.0	0.0	0.0	0.0	1.37	1.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68	0.0	0.0	0.0	0.0	0.0	12.24	5.3	0.86	0.0	0.0	4.23	2.95	3.64
Ccl27b	0.0	0.92	0.0	6.15	2.68	8.29	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31	0.0	0.0	2.62	4.77	9.42	8.14	1.21	0.0	9.34	30.63	28.29	22.96
Cecr6	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	26.15	0.0	4.79	0.0	0.04	48.26	48.63	46.62
Chd7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.82	0.11	0.0	0.66	0.0	4.51	4.46	4.76
Chkb	0.33	0.4	0.72	78.91	0.2	2.22	25.9	8.64	53.48	3.63	3.8	6.9	0.0	15.59	0.0	50.25	0.0	4.54	1.6	9.9	5.78	65.84	0.0	29.39	2.09	40.65	28.32	30.98	29.23
Clstn1	0.0	63.11	0.0	0.0	15.37	13.64	19.79	27.2	20.22	20.63	13.24	25.65	4.29	0.0	0.0	24.21	81.23	18.89	18.68	10.42	7.72	25.51	42.42	31.76	5.55	8.76	777.34	797.87	800.57
Crim1	0.0	0.12	0.0	0.0	0.0	2.16	0.57	0.69	0.43	0.0	0.08	0.59	0.0	1.4	0.0	0.77	0.0	0.0	0.09	5.05	0.36	12.1	0.0	0.0	0.0	0.0	32.44	32.38	31.12
Cstf2	0.0	24.92	13.79	28.32	22.64	24.24	1.61	0.19	15.36	21.07	3.93	17.44	29.9	15.47	0.0	25.07	28.98	23.8	24.63	54.65	0.3	44.15	53.37	13.7	0.1	33.75	76.47	73.56	73.98
D10Jhu81e	0.0	0.0	0.0	0.72	0.0	11.55	0.0	7.48	19.07	0.0	0.0	49.74	0.0	27.77	0.0	0.32	37.18	0.54	0.0	0.61	2.29	0.0	45.28	0.0	0.0	6.7	85.3	93.83	90.89
Dctn1	0.0	8.79	1.44	9.57	34.26	41.61	14.25	18.71	12.5	17.34	17.73	15.87	10.31	0.34	25.12	24.33	39.47	6.73	6.27	0.48	5.36	27.8	8.91	22.64	5.12	16.26	236.1	267.0	252.09
Egln1	0.0	0.0	0.0	0.0	0.0	0.0	25.69	0.0	0.18	19.86	11.31	0.0	1.1	0.0	0.0	19.31	27.69	0.61	0.08	25.61	0.0	35.6	0.0	0.0	2.42	0.33	59.34	62.16	58.89
Extl3	0.09	14.95	8.89	1.96	7.15	15.29	0.0	0.0	0.14	25.6	4.69	13.04	0.0	0.0	11.32	17.23	26.81	2.84	0.0	5.92	0.14	35.17	4.82	11.45	0.0	2.64	77.78	77.85	79.78
Fbn1	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.84	0.0	0.0	0.0	0.0	0.06	0.0	0.0	10.72	0.0	0.0	0.27	1.35	2.98	3.08	3.28
Fbxw11	0.0	0.87	0.0	1.77	14.52	30.86	17.38	37.0	46.51	2.34	32.83	33.98	45.27	1.72	0.07	32.0	57.88	20.86	16.62	0.0	44.47	40.19	3.6	0.82	8.71	0.0	96.8	95.03	97.22
Gm13306	0.0	0.92	0.0	6.15	2.68	8.29	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31	0.0	0.0	2.62	4.77	9.42	8.14	1.21	0.0	9.34	30.63	28.29	22.96
Gm2506	0.0	0.92	0.0	6.15	2.68	8.29	0.77	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.31	0.0	0.0	2.62	4.77	9.42	8.14	1.21	0.0	9.34	30.63	28.29	22.96
Gm9961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.18	0.2
Hn1l	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.32	0.0	0.0	0.0	0.0	3.7	5.25	4.34
Hspa12a	0.0	26.97	38.65	22.26	3.71	59.54	13.34	45.17	45.81	50.68	54.64	8.04	103.38	0.13	5.48	60.95	45.01	39.09	34.4	21.1	26.89	18.81	64.2	34.17	40.13	12.33	120.9	114.32	124.73
Ifnar2	0.0	0.0	0.0	0.0	0.78	29.16	1.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.0	73.73	0.0	73.78	0.0	0.0	0.0	0.0	21.88	22.18	20.05
Kcnb1	0.04	20.28	6.28	4.81	3.89	0.0	5.96	0.0	3.39	16.89	16.22	4.9	14.9	0.0	0.0	11.83	11.35	5.24	10.51	1.41	14.26	30.24	12.09	10.09	5.74	6.41	80.83	75.26	86.16
Kcnmb4	0.0	1.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.89	0.0	0.0	0.0	0.0	0.27	71.25	2.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.51	120.71	110.01
Klc4	0.0	0.0	0.0	2.27	6.79	0.0	0.24	0.0	51.94	0.0	0.0	0.0	0.0	35.02	0.0	69.96	0.0	0.0	0.0	0.0	59.86	95.01	0.0	8.31	0.0	0.0	24.07	21.75	21.55
L3mbtl4	0.56	0.47	0.0	0.71	0.5	0.34	0.12	0.54	0.75	0.72	0.55	0.73	0.24	0.17	0.32	0.41	0.73	0.16	0.3	0.09	1.1	1.62	0.98	0.54	0.18	0.79	1.03	0.79	0.97
Ldhb	4317.46	8750.45	10118.08	10894.4	8525.9	8892.3	8217.62	8583.06	8517.89	9220.91	8808.99	8574.79	10165.1	9166.61	7343.35	7785.08	11261.44	9074.03	13571.31	12546.17	9755.78	8904.1	11010.48	8275.76	10182.84	11746.38	737.58	774.98	752.92
Lhfpl4	0.21	0.65	1.58	18.72	13.37	2.74	20.07	18.18	4.4	6.91	5.08	0.86	12.85	40.72	54.79	18.35	81.89	4.95	3.76	1.66	2.17	27.54	40.99	0.39	37.36	24.38	70.47	72.39	74.47
Mex3c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	8.35	0.0	0.0	0.0	41.68	0.13	0.82	17.59	0.0	30.19	27.49	26.64
Mib1	0.0	1.65	0.0	0.0	4.29	1.01	0.0	0.0	3.33	0.0	0.0	25.53	0.0	27.29	0.0	0.48	35.95	4.89	3.93	0.43	0.11	0.0	0.14	5.92	12.91	31.61	49.4	40.57	49.68
Mlf2	0.0	0.94	6.15	6.87	39.9	89.41	102.27	17.77	56.85	101.4	12.87	27.94	30.79	0.0	144.07	30.31	125.99	29.67	45.75	39.55	96.57	127.14	30.98	35.01	43.62	38.38	601.77	641.42	627.04
Mon1a	0.0	0.0	0.0	0.0	9.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.45	0.0	0.0	38.69	0.0	0.27	0.0	0.0	0.0	0.52	0.23	0.0	0.0	21.47	25.22	22.26
Mthfr	0.0	0.0	0.64	0.0	4.72	0.0	0.0	0.0	0.0	20.79	0.0	0.0	0.0	0.0	0.0	0.0	31.22	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.04	16.49	17.06	15.82
Nbea	0.0	1.73	5.89	5.39	4.31	27.06	18.65	7.38	36.72	6.94	12.26	11.67	47.25	4.35	6.19	24.79	18.0	16.53	9.35	8.29	16.66	48.58	23.83	18.61	14.05	10.9	86.62	79.29	87.87
Nrcam	95.3	48.39	3.6	15.35	24.15	31.74	16.22	34.48	26.25	27.22	47.24	17.93	12.85	1.03	0.65	45.42	6.89	13.62	5.88	9.89	32.44	80.5	1.05	43.1	3.69	2.14	149.64	137.89	151.29
Pcgf2	0.0	3.0	0.0	1.43	0.0	21.08	0.23	25.6	0.27	0.0	7.59	1.79	4.44	0.0	0.0	0.0	25.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.16	26.18	25.53
Pdia3	0.0	15.43	30.36	122.0	25.09	38.51	32.19	27.4	85.95	21.85	48.96	20.82	78.45	18.09	33.55	24.81	74.13	34.94	71.98	0.15	39.26	122.51	51.07	57.17	22.93	1.55	154.5	153.1	147.09
Pfn3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.18	0.2
Phlpp1	0.37	0.68	0.0	0.0	0.22	14.22	0.09	0.0	15.53	1.02	0.0	0.19	0.0	0.0	0.0	0.3	28.91	0.0	0.0	0.0	2.77	0.47	0.0	3.04	1.1	0.0	46.57	46.47	51.56
