	Chrna2_tdTpositive_cell_18	Chrna2_tdTpositive_cell_51	Chrna2_tdTpositive_cell_75	Ctgf_tdTpositive_cell_11	Ctgf_tdTpositive_cell_18	Htr3a_tdTpositive_cell_96	Htr3a_tdTpositive_cell_108	Htr3a_tdTpositive_cell_111	Htr3a_tdTpositive_cell_114	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_62	Ntsr1_tdTpositive_cell_11	Ntsr1_tdTpositive_cell_20	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_35	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_40	Ntsr1_tdTpositive_cell_42	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_49	Rbp4_tdTpositive_cell_6	Rbp4_tdTpositive_cell_44	Rbp4_tdTpositive_cell_73	Rbp4_tdTpositive_cell_135	Rorb_tdTpositive_cell_43	Slc17a6_tdTpositive_cell_24	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_1	CAV_LP_Ipsi_tdTpos_cell_7	CAV_LP_Ipsi_tdTpos_cell_16	CAV_LP_Ipsi_tdTpos_cell_19	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_32	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110028F18Rik	0.0	0.0	0.79	0.0	0.0	0.0	0.0	0.25	0.0	0.06	1.27	0.0	0.0	0.0	0.0	0.0	0.33	0.0	0.27	0.0	0.25	0.0	1.74	0.3	0.0	0.0	0.27	0.52	0.0	0.21	0.0	0.0	0.0	0.26	0.6	0.0	0.0	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.37	0.38	0.23
1700013N18Rik	0.0	0.0	0.0	1.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.41	0.0	0.0	0.0	8.84	5.91	0.0	3.3	0.0	6.52	0.93	2.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.81	0.0	0.07	0.0	0.0
1700027A23Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.85	0.0	0.0	0.0	0.0	0.0	2.29	0.0	0.81	0.0	1.58	1.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45	1.37	0.81
1700028D13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.11	0.17
1700120C14Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.59	0.0	0.0	0.0	1.06	0.0	0.0	0.78	0.0	0.0	0.0	1.09	0.0	15.64	1.71	3.02	0.0	0.0	0.0	0.0	0.0	0.0	1.87	0.47	1.9
1810012P15Rik	0.69	0.14	7.63	0.95	0.54	0.76	1.35	47.63	1.35	0.51	3.67	1.07	0.28	0.49	0.55	0.75	1.28	0.71	1.63	0.46	1.15	3.92	95.18	1.95	0.98	1.37	6.65	8.45	9.08	16.24	11.65	0.78	3.89	5.05	0.28	1.68	0.74	0.95	0.7	0.55	1.09	6.76	0.67	1.69	23.63	22.63	23.83
1810049H13Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.38	1.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.44	11.86	10.66
2310020H05Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14	0.27	0.44
4921511H03Rik	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.42	0.0	0.69	0.0	4.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0
4922501L14Rik	0.0	0.0	0.0	0.0	0.0	19.4	0.0	4.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	77.49	0.0	0.0	0.0	29.23	0.0	53.32	0.0	0.0	0.0	1.42	15.26	5.87	0.13	0.37	0.0	1.04	0.35	0.0	0.0	0.0	0.0	37.74	0.6	0.0	15.41	0.0	0.0	9.48	7.63	7.39
