	Calb2_tdTpositive_cell_27	Cux2_tdTpositive_cell_37	Cux2_tdTnegative_cell_16	Ndnf_tdTpositive_cell_2	Ntsr1_tdTpositive_cell_14	Ntsr1_tdTnegative_cell_44	Rbp4_tdTpositive_cell_1	Rbp4_tdTpositive_cell_123	Rbp4_tdTpositive_cell_161	Rorb_tdTpositive_cell_31	Scnn1a.Tg3_tdTpositive_cell_49	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_25	CAV_LP_Ipsi_tdTpos_cell_27
1110037F02Rik	0.0	62.86	0.0	12.06	0.83	0.0	0.16	50.67	40.33	0.0	44.58	0.03	0.0	0.0
2310040G24Rik	0.0	201.87	0.0	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A930013F10Rik	0.0	245.69	282.97	153.94	0.37	0.0	21.03	0.0	0.16	0.11	179.14	109.66	8.81	78.04
Aak1	0.0	102.24	2.34	14.17	3.03	0.0	43.93	26.48	34.23	30.64	36.82	3.14	25.87	6.4
Actr1b	17.33	502.69	82.66	286.41	417.55	0.18	290.76	234.32	316.88	170.09	327.53	87.22	50.85	94.94
Akap1	0.0	66.81	0.0	0.0	0.0	0.0	0.0	62.29	0.0	0.0	74.45	50.96	2.77	0.0
Amigo1	0.0	99.96	0.0	34.76	1.74	0.0	21.42	0.0	0.0	29.34	69.62	18.57	1.89	0.0
Arhgap23	0.0	33.75	0.0	0.0	0.0	0.0	0.04	0.0	9.66	0.0	22.82	0.0	0.22	0.0
Bcas3	0.0	316.9	0.0	28.06	49.18	0.0	51.08	0.11	0.11	0.39	248.94	14.17	6.02	38.79
C130074G19Rik	0.0	61.54	0.0	0.0	0.0	0.0	0.0	0.13	0.31	61.5	63.3	0.08	0.0	0.0
Ccl17	0.0	133.45	0.0	0.0	0.0	0.0	0.0	0.0	107.11	0.29	99.86	0.0	0.0	0.0
Cggbp1	0.0	100.06	0.0	0.49	64.64	0.0	7.93	0.0	0.26	15.59	93.76	0.0	18.16	7.68
Chm	0.0	102.05	0.0	14.52	2.5	0.0	0.0	0.0	72.15	0.03	71.49	49.73	0.0	19.23
Ctcf	0.0	49.84	20.83	0.46	25.51	0.0	30.49	0.0	0.1	82.85	72.27	0.0	24.02	20.94
Dcakd	0.0	368.33	0.0	0.0	110.86	0.22	217.91	211.71	126.26	105.63	218.04	0.0	12.61	0.0
Ddn	0.0	74.35	52.83	0.19	10.44	0.0	53.35	0.0	0.0	34.19	0.0	0.06	0.0	0.0
Ddx26b	0.0	111.27	0.0	0.0	0.0	0.0	4.51	0.0	0.0	0.07	0.0	0.06	0.0	0.0
Dlk2	0.0	148.06	0.0	63.9	2.32	0.0	0.0	31.85	0.0	0.0	73.53	0.0	0.0	0.0
Dohh	0.0	243.93	0.0	14.04	0.0	0.0	0.0	0.0	0.8	0.19	0.46	0.0	0.0	0.21
Fundc2	0.0	187.7	1.43	51.02	0.63	0.0	165.72	0.12	9.96	84.39	204.05	50.51	7.64	0.0
Gm10052	0.0	179.48	0.0	0.0	0.0	0.0	17.54	0.0	2.62	0.0	0.0	0.0	28.47	0.0
Gm9767	0.0	68.91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.4	0.0	0.0	0.0
Larp1	0.0	83.18	0.0	30.79	3.98	0.0	25.91	70.2	0.57	1.74	65.1	5.78	0.0	0.05
Lrrn2	0.0	172.46	0.0	1.9	93.7	0.0	9.88	75.18	0.0	13.06	142.73	2.51	1.85	9.59
Mtmr14	0.0	126.62	0.0	0.0	0.0	0.0	0.0	112.35	0.0	0.0	67.82	0.0	0.0	0.0
Nfatc3	0.0	62.49	0.0	0.35	0.0	0.0	0.0	0.0	0.56	0.0	9.48	0.0	0.0	0.0
Nme3	7.53	312.53	0.0	56.58	210.96	292.58	30.03	0.0	1.69	8.25	81.04	0.0	0.0	0.0
Nmnat2	4.34	233.27	5.29	177.28	92.49	0.0	287.57	15.69	84.41	84.68	297.69	37.9	73.43	93.78
Nrbp1	0.0	272.62	0.0	7.33	112.45	0.0	154.54	20.21	0.18	0.06	387.65	0.0	12.36	0.0
Ntm	0.0	1283.38	36.77	93.34	48.07	0.0	238.19	412.46	330.89	254.94	774.82	0.4	350.16	42.18
Numb	0.0	272.3	0.0	38.37	123.43	384.94	116.5	0.0	18.47	50.39	156.56	0.67	6.24	0.0
OTTMUSG00000016609	0.0	314.66	0.0	109.0	9.58	0.0	36.82	30.11	0.35	0.0	155.06	0.0	111.07	0.0
Peg13	0.0	147.8	0.0	12.73	68.36	0.0	111.41	46.92	88.11	149.01	200.46	10.73	0.06	15.88
Plekhg5	0.0	141.56	0.0	2.48	0.0	0.0	0.05	0.0	0.0	0.0	46.45	0.12	0.0	0.0
Prkcdbp	0.0	208.19	0.0	45.98	0.0	0.0	0.0	0.0	0.0	0.0	92.94	0.0	0.0	62.13
Rnu12	0.0	85.56	0.0	34.35	0.0	0.0	0.0	0.0	59.96	0.0	0.0	0.0	0.0	0.0
Scamp1	0.18	419.81	0.33	197.56	198.54	0.0	519.34	38.75	0.85	250.2	278.89	1.33	120.64	27.31
Serf2	83.08	384.63	27.58	66.65	44.45	148.94	62.93	21.37	57.57	141.92	231.87	170.27	117.69	152.33
Setbp1	0.0	113.17	18.44	4.18	0.0	0.0	0.02	0.0	0.0	0.01	46.54	3.26	0.0	0.0
Sgk3	0.38	48.91	1.84	0.24	3.83	0.09	69.02	5.0	0.94	0.24	53.96	7.58	38.72	0.06
Sncb	0.0	421.22	120.61	56.82	63.33	0.0	136.35	119.55	198.78	245.72	237.77	15.73	12.74	12.36
Srsf12	0.0	181.08	311.72	0.0	0.12	0.0	0.15	0.0	0.26	1.39	105.53	71.48	0.1	0.0
Ssh1	0.0	8.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.71	0.0	0.0	0.0
Stmn1	10414.48	6219.84	11391.73	10862.63	12096.72	10015.46	9224.38	13005.25	11961.92	10665.83	7087.31	12161.23	10051.01	11287.74
Tfg	0.0	450.13	0.0	0.2	187.17	0.0	10.7	0.0	8.3	0.0	310.63	7.6	0.0	0.0
Trrap	0.0	30.48	14.33	0.87	9.83	0.0	35.61	0.03	15.34	30.35	36.17	0.72	6.68	0.1
Wdr37	0.16	235.5	0.61	84.79	68.39	0.0	272.9	0.29	232.71	1.49	100.83	1.92	119.39	11.88
Zc3h8	0.0	292.17	204.89	114.94	0.0	0.0	156.83	50.55	0.0	124.7	0.84	17.01	0.0	0.0
Zfp507	0.0	88.6	0.0	0.0	14.33	0.0	0.17	0.0	0.0	0.0	22.67	0.0	0.17	0.0
