	PvalbF.Gad2_tdTpositive_cell_36	Rbp4_CTX_250ng_1
0610043K17Rik	0.0	1.01
1110032F04Rik	0.0	14.78
1110038D17Rik	0.0	11.76
1500009L16Rik	0.0	19.69
1600015I10Rik	0.0	0.04
1700010I14Rik	0.0	1.22
1700019L03Rik	0.0	1.59
1700031M16Rik	0.0	0.12
1700042B14Rik	0.0	0.0
2310008N11Rik	0.0	0.0
2510003D18Rik	0.0	0.21
2610021K21Rik	0.0	0.19
2810405F15Rik	0.0	1.42
4930447C04Rik	0.0	10.29
4930521E06Rik	0.0	0.0
4931440L10Rik	0.0	0.0
4933411G11Rik	0.0	0.0
5033404E19Rik	0.0	0.58
5430425J12Rik	0.0	0.0
8030442B05Rik	0.0	1.86
A930011G23Rik	0.0	0.82
AB099516	0.0	0.08
AF366264	0.0	0.12
AV039307	0.0	2.1
Aasdh	0.0	10.81
Abca15	0.0	0.02
Abca9	0.0	5.13
Accn3	0.0	0.46
Ace2	0.0	1.55
Acsf2	0.0	11.92
Acss1	0.0	21.61
Adamts7	0.0	0.22
Adamtsl2	0.0	4.25
Adamtsl3	0.0	0.75
Agbl2	0.0	1.34
Aldh1a7	0.0	1.06
Aldh3a2	0.0	38.73
Ankdd1b	0.0	4.56
Ankrd13a	0.0	31.18
Ankrd9	0.0	8.46
Anpep	0.0	2.41
Aox3l1	0.0	0.0
Apln	0.0	21.49
Apob	0.0	0.01
Apol10a	0.0	0.0
Arfip1	0.0	14.44
Arhgap42	0.0	9.03
Arhgdig	0.0	88.82
Arhgef38	0.0	0.0
Aspm	0.0	0.21
BC002230	0.0	11.8
BC037032	0.0	0.59
BC037704	0.0	1.34
Bank1	0.0	1.36
Bhlha9	0.0	2.83
Bicc1	0.0	4.07
Bmp10	0.0	0.0
C2cd4d	0.0	1.07
Calcr	0.0	0.54
Cars2	0.0	13.21
Casp2	0.0	9.77
Cbx8	0.0	18.02
Ccbp2	0.0	1.91
Ccdc19	0.0	2.78
Ccdc38	0.0	0.64
Ccdc94	0.0	9.31
Ccnd3	0.0	20.42
Cd163l1	0.0	0.09
Cd177	0.0	0.0
Cd300e	0.0	0.15
Cdc20	0.0	0.95
Cdca2	0.0	0.23
Cdh26	0.0	0.17
Chmp4c	0.0	0.11
Chrm5	0.0	1.14
Chrnd	0.0	0.0
Clec5a	0.0	1.0
Col18a1	0.0	3.16
Col6a4	0.0	1.29
Col6a5	0.0	0.43
Cyp1b1	0.0	1.38
Cyp2b13	0.0	0.0
Cyp2b23	0.0	0.0
D030018L15Rik	0.0	0.02
D930007P13Rik	0.0	0.0
D930028M14Rik	0.0	0.56
Dnajc22	0.0	0.0
Dub3	0.0	0.0
E130203B14Rik	0.0	2.41
E430016F16Rik	0.0	0.29
Edaradd	0.0	0.13
Eln	0.0	5.82
Emp1	0.0	2.21
En1	0.0	0.0
Entpd3	0.0	6.95
Epha1	0.0	0.21
Epn3	0.0	0.61
Erbb2	0.0	1.92
Espl1	0.0	0.55
Extl1	0.0	50.72
F9	0.0	0.14
Fam115e	0.0	0.03
Fam123c	0.0	19.12
Fam151b	0.0	7.19
