	Chrna2_tdTpositive_cell_23	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Ctgf_tdTpositive_cell_4	Gad2_tdTpositive_cell_68	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_83	Htr3a_tdTpositive_cell_91	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_70	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_7	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_46	Sst_tdTpositive_cell_92	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
1110006O24Rik	0.0	0.0	35.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	2.63	2.47
1500017E21Rik	8.76	0.0	30.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.0	0.0	1.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.64	3.71	1.87	0.0	11.41	0.0	1.4	0.0	1.31	1.86	0.69	1.3	0.43
1700096J18Rik	0.0	0.0	38.63	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.24
1700111N16Rik	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.42	0.75
2410017P09Rik	0.18	20.01	30.27	0.0	0.0	0.1	0.0	0.01	10.43	0.06	5.57	0.0	4.77	0.2	0.15	6.74	0.06	5.41	1.21	0.16	0.0	5.04	5.81	8.3	5.39	0.06	10.33	0.23	0.04	0.68	6.98	10.39	8.63	10.81	5.73	6.42	7.12
2810032G03Rik	0.0	0.0	15.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.77	0.0	0.0	0.0	0.0	0.0	0.0	1.7	12.12	11.64	11.44
2810459M11Rik	0.0	0.0	10.89	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	1.06	0.42	9.97	9.65	10.75
4930538K18Rik	0.0	0.0	17.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	3.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.16	0.0	2.06	3.0	2.33
9230105E05Rik	0.0	0.0	1.04	0.16	0.15	0.18	0.0	0.0	0.3	0.04	0.0	0.0	0.0	0.0	0.37	0.37	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.3	0.16	0.08	0.04	0.18
AU022252	0.0	0.0	45.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.53	0.0	0.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.73	0.0	0.0	0.56	0.0	0.0	0.0	0.0	2.42	0.56	0.38	16.01	16.89	16.36
