	Calb2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_54	Cux2_tdTnegative_cell_5	Cux2_tdTnegative_cell_12	Gad2_tdTpositive_cell_65	Ndnf_tdTnegative_cell_6	Nkx2.1_tdTpositive_cell_18	Ntsr1_tdTnegative_cell_19	Pvalb_tdTpositive_cell_3	Pvalb_tdTpositive_cell_4	Pvalb_tdTpositive_cell_5	Pvalb_tdTpositive_cell_7	Pvalb_tdTpositive_cell_8	Pvalb_tdTpositive_cell_13	Pvalb_tdTpositive_cell_17	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_22	Pvalb_tdTpositive_cell_40	Pvalb_tdTpositive_cell_42	Pvalb_tdTpositive_cell_45	Pvalb_tdTpositive_cell_46	Pvalb_tdTpositive_cell_49	Pvalb_tdTpositive_cell_55	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_69	Pvalb_tdTpositive_cell_71	Pvalb_tdTpositive_cell_75	PvalbD.Slc32a1_tdTpositive_cell_18	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_5	PvalbF.Gad2_tdTpositive_cell_8	PvalbF.Gad2_tdTpositive_cell_15	PvalbF.Gad2_tdTpositive_cell_21	PvalbF.Gad2_tdTpositive_cell_23	PvalbF.Gad2_tdTpositive_cell_30	PvalbF.Gad2_tdTpositive_cell_34	PvalbF.Gad2_tdTpositive_cell_40	PvalbF.Gad2_tdTpositive_cell_42	Rbp4_tdTpositive_cell_51	Rbp4_tdTnegative_cell_16
0610010B08Rik	0.0	0.24	0.06	0.0	32.72	0.0	48.31	0.0	30.03	1.11	12.26	1.56	78.97	8.58	37.24	28.14	15.71	37.78	14.76	2.68	0.7	30.43	28.48	1.95	10.96	2.35	11.07	15.46	12.05	5.5	15.13	0.26	24.77	11.97	0.47	11.04	74.99	6.95	7.16	0.11
2610008E11Rik	0.0	0.0	0.0	0.0	92.05	23.63	6.69	0.0	7.4	8.53	0.0	0.0	0.0	0.0	1.94	25.03	41.76	38.57	4.72	0.0	0.0	0.0	0.0	1.44	0.0	0.0	69.56	10.07	9.45	8.82	7.47	0.0	7.3	0.0	0.63	0.0	27.14	7.32	0.0	0.0
2810008M24Rik	0.0	12.47	0.0	0.0	215.02	148.38	107.96	0.0	7.6	0.0	19.16	7.51	46.09	44.15	62.7	47.11	0.0	0.0	0.0	0.0	0.0	72.8	2.4	6.58	0.0	41.33	55.72	0.0	62.17	123.04	52.56	45.78	105.39	0.25	28.64	71.91	80.98	61.7	57.3	0.0
2810474O19Rik	0.66	4.39	0.54	0.18	41.78	0.06	27.31	0.0	14.24	0.0	2.79	11.37	0.09	11.51	3.64	20.44	9.64	0.19	8.18	1.76	11.25	11.82	7.04	6.35	4.99	22.63	0.37	9.08	0.63	5.63	7.88	7.41	1.97	4.93	11.21	16.37	9.28	9.03	0.54	21.78
Adipor1	0.0	28.9	0.0	42.38	67.85	5.79	12.11	0.0	6.63	0.0	1.43	9.59	4.83	83.6	9.49	3.54	9.18	0.59	20.68	0.77	7.55	4.93	5.98	4.91	2.97	13.09	18.51	5.7	13.41	48.09	6.9	50.51	57.05	37.92	13.41	83.02	1.63	57.58	19.64	0.0
Ankrd34c	0.0	0.0	0.0	0.0	118.1	0.0	41.95	0.0	0.0	0.0	0.19	44.29	58.01	8.75	94.21	34.88	41.31	0.0	11.57	0.0	0.0	0.0	33.59	0.0	80.46	19.17	39.27	51.83	40.16	0.33	0.0	41.09	135.84	104.2	5.46	0.0	0.0	5.85	0.0	0.0
Arid5a	0.0	0.0	0.0	0.0	34.96	0.0	6.25	0.0	0.0	0.0	0.0	0.97	0.0	1.04	0.07	0.0	25.3	0.21	0.0	0.0	0.0	0.0	14.44	0.0	0.74	7.63	0.49	6.21	0.09	0.0	0.0	0.0	41.11	0.0	0.0	0.02	0.0	0.0	0.0	0.13
Brix1	0.0	59.67	0.0	0.0	126.8	0.14	64.4	0.0	123.67	63.84	110.99	39.21	55.42	67.39	0.0	37.24	45.62	38.08	40.63	44.8	49.08	9.76	68.13	41.66	1.26	8.33	45.09	30.19	3.35	24.2	0.0	31.56	65.51	42.36	87.87	40.05	54.08	105.95	50.56	0.4
Cacng2	0.0	0.0	0.0	0.0	29.2	0.0	13.06	0.0	5.1	2.76	8.29	7.46	9.09	14.67	25.5	6.83	9.76	8.27	16.4	1.07	2.73	6.45	6.44	1.97	4.38	3.64	5.52	7.54	10.22	3.4	3.37	6.33	35.29	18.45	11.22	11.14	6.23	5.0	3.43	0.0
Crebzf	0.0	0.0	0.0	0.09	64.18	0.0	9.0	0.0	7.45	0.0	0.0	4.17	23.24	0.0	0.0	19.33	24.37	0.12	4.95	0.15	10.46	39.62	5.76	0.46	0.0	21.72	15.02	16.19	1.39	0.25	1.28	1.05	9.4	1.65	3.03	19.86	0.0	2.9	0.0	0.0
