	Chrna2_tdTpositive_cell_62	Ctgf_tdTpositive_cell_16	Cux2_tdTpositive_cell_9	Cux2_tdTpositive_cell_48	Gad2_tdTpositive_cell_20	Htr3a_tdTpositive_cell_72	Nos1_tdTpositive_cell_55	Pvalb_tdTpositive_cell_21	Pvalb_tdTpositive_cell_66	Pvalb_tdTpositive_cell_70	PvalbD.Slc32a1_tdTpositive_cell_23	PvalbD.Slc32a1_tdTpositive_cell_27	PvalbD.Slc32a1_tdTpositive_cell_37	PvalbD.Slc32a1_tdTpositive_cell_39	PvalbF.Gad2_tdTpositive_cell_22	Vip_tdTpositive_cell_24	Vip_tdTpositive_cell_29	Rbp4_CTX_250ng_2
2010109K11Rik	0.0	18.29	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	38.26	0.12	0.0	0.0	0.0	13.41
2310030N02Rik	0.0	3.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.89
2610039C10Rik	0.0	77.28	0.63	0.0	0.0	40.24	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.9	47.06	0.0	0.0	10.02
2810453I06Rik	24.54	31.49	0.21	0.0	11.85	2.39	0.13	1.45	0.0	0.74	0.0	0.0	28.17	5.24	2.55	0.0	0.0	43.28
4930579G18Rik	1.59	13.21	2.18	1.76	3.13	0.0	5.45	6.62	1.33	1.01	0.64	7.16	2.21	3.11	0.56	2.84	0.0	5.24
5730455O13Rik	45.13	133.3	0.0	17.83	22.0	0.0	0.0	39.83	5.27	0.0	73.05	125.75	19.21	44.93	59.32	0.0	0.0	19.6
9030624G23Rik	0.0	4.93	87.06	0.0	0.08	0.0	0.0	0.0	0.0	0.0	3.44	0.0	0.0	0.0	8.92	0.0	0.0	16.02
9430008C03Rik	1.55	50.73	1.37	1.53	0.58	1.34	2.92	0.62	4.02	1.36	16.65	1.14	1.47	2.24	1.58	1.52	0.94	8.49
AA792892	0.0	0.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	0.0	7.43	0.0	0.0	0.47
Acad11	48.32	52.17	0.0	0.0	0.0	25.88	0.0	0.0	1.69	81.65	1.49	0.0	2.89	49.84	0.0	0.0	0.0	19.18
Acss2	33.16	37.11	2.75	0.0	0.0	0.0	0.4	0.0	0.0	1.86	40.67	0.0	0.0	0.61	39.18	0.0	0.0	50.32
Actn4	0.19	46.08	64.01	0.0	0.0	0.0	2.33	5.77	0.0	0.11	0.55	0.0	0.4	25.6	21.6	0.0	0.0	95.06
Aplf	10.57	37.68	16.9	0.85	28.63	6.53	10.54	12.66	12.51	28.31	11.73	4.72	7.89	8.41	10.53	11.41	0.0	12.8
Athl1	0.0	30.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.99
B430306N03Rik	0.0	0.19	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16
B4galt4	5.49	74.57	41.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	27.34	0.0	20.53
BC017158	0.0	34.94	0.0	0.0	0.0	0.43	0.0	0.0	0.15	0.0	2.85	0.0	0.0	0.0	0.0	0.0	0.0	19.36
BC030307	0.0	20.08	0.0	0.0	0.0	21.2	0.0	0.0	0.0	0.66	9.41	0.0	0.0	22.32	0.0	0.0	0.0	0.97
Bard1	0.21	1.11	0.81	0.26	0.07	0.42	0.31	0.0	0.28	0.07	0.11	0.14	0.12	0.37	0.23	0.0	0.0	0.76
Cdc25b	0.0	45.17	0.0	0.0	0.0	33.06	0.0	3.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.87
Cenpt	0.64	215.74	31.25	1.02	1.51	39.0	0.0	38.92	0.0	51.85	0.0	144.27	0.0	55.24	54.04	0.0	0.0	15.74
Chd8	4.9	19.16	0.0	0.0	0.57	16.13	1.28	15.12	4.89	1.12	2.64	0.0	0.77	2.65	4.46	6.81	0.0	34.06
Chpf	0.0	19.49	0.0	0.0	0.0	0.0	0.0	9.94	0.0	0.0	1.61	0.24	16.58	8.5	14.13	54.75	0.0	77.14
Chrm1	1.77	40.39	1.91	2.39	31.01	9.78	1.73	1.65	1.22	3.64	1.21	1.07	13.08	1.24	5.56	1.4	0.4	77.79
Chrna4	0.0	69.84	0.0	0.0	38.09	11.92	4.88	0.0	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.43
Cmtm4	0.33	29.25	0.0	0.0	0.0	2.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.14
D19Ertd737e	0.0	50.16	0.0	0.0	0.0	0.0	0.0	1.56	0.0	0.4	0.0	0.0	0.0	3.12	0.79	42.0	0.0	17.62
Dip2a	11.33	17.57	0.0	0.0	0.06	8.52	0.0	0.0	1.3	19.18	14.77	0.0	16.54	10.6	1.05	0.0	0.0	40.77
Dll4	0.0	43.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.38
Dus3l	3.55	157.38	0.0	0.0	57.35	80.97	1.24	8.26	0.0	75.19	0.24	0.32	225.39	22.21	51.19	0.0	0.0	69.77
Dusp19	14.18	133.92	0.0	0.0	0.0	4.9	0.0	0.0	0.0	0.0	0.0	44.65	38.08	0.0	0.0	8.44	0.0	18.78
E330023G01	5.47	18.44	10.47	0.62	8.37	1.57	2.34	3.44	4.33	2.23	3.95	11.77	0.92	0.0	7.84	0.0	0.0	4.43
Fam100b	0.0	3.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.08
Fam3c	5.27	174.29	37.01	11.07	174.39	45.0	34.27	15.58	10.25	4.0	2.84	20.14	3.27	10.35	7.85	39.83	6.34	56.61
Fam57b	12.19	42.43	1.17	0.0	0.18	13.67	0.0	0.0	1.47	0.0	5.52	0.0	14.37	12.04	2.71	0.0	0.0	64.37
Gimap1	18.24	45.88	12.18	6.99	22.37	14.99	10.21	8.05	17.41	16.82	13.95	16.84	4.99	4.66	18.94	10.57	0.0	9.7
Gm12824	0.0	14.06	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.16
Gm19424	0.0	0.41	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13
Gm6249	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08
Gm9855	48.09	61.56	109.92	20.27	0.0	23.47	87.67	2.45	1.83	83.25	0.0	46.5	0.35	6.41	2.2	0.0	0.0	28.68
Gpr110	0.0	0.18	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.01
Gpr45	0.0	29.43	0.0	0.0	0.0	27.83	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.83
Hapln4	28.43	44.46	7.54	0.0	0.0	24.1	2.84	11.88	0.42	31.52	34.79	0.41	1.14	43.66	43.76	18.14	0.0	87.78
Haus3	22.17	104.67	0.0	70.54	0.0	13.38	0.0	28.16	0.0	27.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.02
Hmgcll1	42.15	89.01	0.0	0.0	51.76	35.14	128.49	13.04	0.0	6.81	23.24	90.25	38.49	69.27	43.94	1.67	0.0	13.61
Irak4	0.13	0.48	0.15	0.0	0.07	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.08	0.0	0.27	1.5
Itgb7	0.0	6.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87
Kcnh6	0.0	14.56	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.89
Kcnq3	0.0	41.03	0.14	0.0	0.07	0.26	0.0	0.0	0.0	38.33	0.0	0.0	0.0	25.34	20.73	0.0	0.0	40.28
Klc4	0.0	44.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.26	15.72	2.58	0.0	0.0	21.75
Klhl10	0.0	77.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.51
LOC432958	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lrrc29	0.0	4.77	0.0	0.0	3.06	0.0	0.0	0.0	0.0	2.13	3.64	0.0	0.0	1.65	1.04	0.0	0.0	1.65
Lrrc34	0.0	2.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36
Lss	0.0	0.21	0.0	0.0	0.0	0.0	0.0	2.54	105.8	0.0	40.38	0.0	0.0	2.39	0.0	0.0	0.0	20.62
Lyplal1	124.92	135.59	0.0	0.0	52.77	52.7	142.54	65.18	0.0	0.0	1.07	0.0	0.0	0.0	0.0	0.0	0.0	6.67
Mapk4	0.0	30.7	51.94	13.32	0.2	0.0	1.71	1.19	0.0	0.09	1.61	2.08	0.0	0.0	0.0	0.0	0.0	38.73
Mbnl3	0.08	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07
Mfsd10	0.0	66.48	0.23	0.0	70.83	0.0	0.47	0.0	0.0	0.0	28.74	0.0	0.0	0.0	0.0	0.0	0.0	23.51
Mlxipl	0.1	0.27	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	2.21
Mta2	0.0	37.99	0.0	0.0	0.0	6.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	196.52	0.0	39.23
Neto1	1.88	43.57	1.85	0.0	0.0	29.84	0.0	24.94	0.0	0.0	2.9	0.0	0.93	30.91	11.75	0.0	0.0	55.61
Nrbp2	0.15	152.9	0.0	0.0	13.83	94.96	1.25	0.0	0.15	0.0	36.03	0.0	0.0	46.01	0.0	1.62	0.0	131.14
Nup62-il4i1	0.48	0.57	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	1.83
Pcdhga12	0.0	43.17	0.0	8.03	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.09
Pfkfb4	0.0	44.27	154.84	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.33	0.0	10.34
Pkm2	4143.72	2219.16	4450.71	3937.72	4253.32	4007.13	4532.45	4154.04	4124.21	4313.35	4225.41	4327.46	4426.64	4191.54	4325.36	4968.45	3734.28	1296.7
Pnmal2	14.48	107.89	79.13	38.12	5.87	9.13	0.27	2.84	5.72	1.94	23.39	43.0	35.37	29.14	14.95	5.32	0.75	213.32
Prdx6b	0.38	0.67	0.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.1	0.0	0.0	0.0	0.0
Ptpro	0.81	18.95	0.0	0.0	39.52	0.0	2.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	19.07
Rapgef3	0.0	0.34	0.0	0.0	0.0	0.0	4.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.68
Rasgef1c	0.0	26.75	0.18	0.0	0.0	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.19
Rdh19	0.2	0.54	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06
Rmi1	1.33	33.53	1.48	0.19	0.63	0.21	0.24	0.44	0.11	0.45	4.79	0.0	0.41	0.32	4.98	0.0	0.0	10.42
Rnf214	2.04	89.97	139.61	0.48	84.23	53.79	22.81	6.02	17.26	21.56	75.43	0.0	30.37	44.55	20.09	98.78	0.0	43.52
Rnf24	18.25	44.45	57.98	0.0	0.0	0.0	0.05	0.7	0.0	0.31	11.65	0.0	10.64	1.73	0.42	0.0	0.0	24.48
Samd4b	4.18	11.74	13.54	0.0	0.0	2.59	0.13	0.36	0.0	0.37	0.0	0.0	0.0	1.23	6.3	0.0	0.0	34.92
Scmh1	0.0	82.71	0.0	0.0	52.82	19.88	0.1	0.27	0.0	3.93	1.25	0.0	125.04	33.02	16.24	0.0	1.54	33.61
Scrib	0.0	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.38
Sertad3	0.0	47.2	160.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.59	0.0	0.0	2.71
Sez6	0.09	206.72	0.0	92.58	33.7	4.85	15.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.39	3.92	0.0	159.71
Sfi1	0.0	20.83	107.63	1.88	0.79	0.37	1.12	1.56	2.15	3.92	4.81	0.0	0.99	7.92	0.1	0.0	0.0	18.29
Sirt7	0.0	107.8	56.22	0.0	0.0	0.66	0.0	5.13	0.0	23.98	0.0	78.36	0.15	0.85	0.0	0.0	0.0	45.07
Slc43a3	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.71
Smug1	5.71	43.14	0.0	0.0	0.05	0.0	0.0	25.9	0.0	0.1	0.0	0.0	0.0	17.54	4.28	0.0	0.0	11.41
Snx29	0.0	49.37	23.67	0.0	0.0	0.28	0.0	15.38	0.0	2.43	24.13	0.0	34.37	3.65	0.0	0.0	0.0	7.76
Spata19	0.0	49.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28
Srp54a	20.09	86.95	16.76	13.87	5.27	13.35	0.0	5.57	15.67	10.58	4.03	8.83	2.76	1.82	3.33	44.32	16.57	24.93
St6gal2	0.0	98.22	1.09	0.0	0.08	0.33	0.0	0.0	0.0	0.0	1.35	0.0	0.0	30.68	0.0	0.0	0.0	11.91
Surf6	0.72	132.0	0.39	0.18	0.29	0.45	9.85	29.29	0.0	0.69	0.54	4.07	0.61	0.89	14.22	0.0	0.0	18.38
Taok3	18.32	44.57	6.53	0.11	24.63	30.24	2.04	6.84	0.18	0.19	15.95	0.0	23.04	13.52	7.46	17.03	0.0	33.81
Tfap2b	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.04	0.0	0.0	0.0	0.0	0.48
Tmem181a	40.95	53.83	3.28	0.0	6.1	11.38	29.43	18.26	0.0	0.0	2.46	0.0	13.56	11.24	12.11	0.0	0.0	72.85
Tmem90a	0.0	9.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.91	0.0	45.13
Tmtc1	6.64	26.2	11.13	0.0	0.0	0.39	0.03	30.68	0.7	0.0	0.0	0.17	0.15	0.1	0.0	0.0	0.0	36.63
Tnmd	0.0	1756.38	0.0	0.0	0.0	1462.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78
Uox	0.0	53.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61
Usp31	32.96	21.26	0.04	0.13	0.73	17.02	9.3	7.4	0.04	5.73	3.53	0.0	0.96	3.68	16.36	0.2	0.07	34.03
Vmn2r3	0.0	0.24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.0	0.0	0.04
Vmn2r84	0.0	27.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
Vps37c	0.0	41.0	0.0	0.0	88.74	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	37.7	0.0	0.0	24.48
Xpnpep3	0.23	57.19	0.26	0.56	0.28	0.34	0.09	0.49	1.18	0.62	0.28	0.83	0.62	0.46	10.52	0.0	0.0	8.43
Zfp27	0.31	151.84	47.64	0.38	137.0	0.42	0.0	0.0	0.0	18.34	14.67	8.61	17.73	47.16	16.39	0.0	0.0	12.04
Zfp64	1.34	28.54	0.0	0.0	0.0	18.42	0.0	0.0	4.41	0.0	2.12	0.0	0.0	0.0	0.0	0.0	0.0	12.06
Zfp691	0.0	24.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48	0.0	0.0	2.31	7.78	0.0	5.04
Zfp775	0.9	0.16	0.0	0.0	0.0	0.0	0.69	0.0	0.0	3.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.09
Zmym3	48.3	105.44	0.0	0.0	41.89	2.08	83.82	28.56	0.0	1.37	4.6	0.0	55.96	1.54	0.0	0.0	6.58	84.03
